Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2012-08-24,,Dortmund,2–1,Werder Bremen,,,Felix Zwayer,Match Report,
1,Sat,2012-08-25,,Greuther Fürth,0–3,Bayern Munich,,,Peter Gagelmann,Match Report,
1,Sat,2012-08-25,,M'Gladbach,2–1,Hoffenheim,,,Peter Sippel,Match Report,
1,Sat,2012-08-25,,Stuttgart,0–1,Wolfsburg,,,Tobias Welz,Match Report,
1,Sat,2012-08-25,,Hamburger SV,0–1,Nürnberg,,,Marco Fritz,Match Report,
1,Sat,2012-08-25,,Eint Frankfurt,2–1,Leverkusen,,,Thorsten Kinhöfer,Match Report,
1,Sat,2012-08-25,,Augsburg,0–2,Düsseldorf,,,Knut Kircher,Match Report,
1,Sat,2012-08-25,,Freiburg,1–1,Mainz 05,,,Deniz Aytekin,Match Report,
1,Sun,2012-08-26,,Hannover 96,2–2,Schalke 04,,,Felix Brych,Match Report,
2,Fri,2012-08-31,,Mainz 05,0–1,Greuther Fürth,,,Tobias Stieler,Match Report,
2,Sat,2012-09-01,,Schalke 04,3–1,Augsburg,,,Daniel Siebert,Match Report,
2,Sat,2012-09-01,,Leverkusen,2–0,Freiburg,,,Florian Meyer,Match Report,
2,Sat,2012-09-01,,Hoffenheim,0–4,Eint Frankfurt,,,Michael Weiner,Match Report,
2,Sat,2012-09-01,,Nürnberg,1–1,Dortmund,,,Tobias Welz,Match Report,
2,Sat,2012-09-01,,Düsseldorf,0–0,M'Gladbach,,,Günter Perl,Match Report,
2,Sat,2012-09-01,,Werder Bremen,2–0,Hamburger SV,,,Knut Kircher,Match Report,
2,Sun,2012-09-02,,Bayern Munich,6–1,Stuttgart,,,Thorsten Kinhöfer,Match Report,
2,Sun,2012-09-02,,Wolfsburg,0–4,Hannover 96,,,Wolfgang Stark,Match Report,
3,Fri,2012-09-14,,Augsburg,0–0,Wolfsburg,,,Guido Winkmann,Match Report,
3,Sat,2012-09-15,,M'Gladbach,2–3,Nürnberg,,,Christian Dingert,Match Report,
3,Sat,2012-09-15,,Hannover 96,3–2,Werder Bremen,,,Deniz Aytekin,Match Report,
3,Sat,2012-09-15,,Dortmund,3–0,Leverkusen,,,Felix Brych,Match Report,
3,Sat,2012-09-15,,Greuther Fürth,0–2,Schalke 04,,,Florian Meyer,Match Report,
3,Sat,2012-09-15,,Stuttgart,0–0,Düsseldorf,,,Robert Hartmann,Match Report,
3,Sat,2012-09-15,,Bayern Munich,3–1,Mainz 05,,,Markus Schmidt,Match Report,
3,Sun,2012-09-16,,Eint Frankfurt,3–2,Hamburger SV,,,Wolfgang Stark,Match Report,
3,Sun,2012-09-16,,Freiburg,5–3,Hoffenheim,,,Felix Zwayer,Match Report,
4,Fri,2012-09-21,,Nürnberg,1–2,Eint Frankfurt,,,Felix Zwayer,Match Report,
4,Sat,2012-09-22,,Schalke 04,0–2,Bayern Munich,,,Knut Kircher,Match Report,
4,Sat,2012-09-22,,Düsseldorf,0–0,Freiburg,,,Bastian Dankert,Match Report,
4,Sat,2012-09-22,,Hamburger SV,3–2,Dortmund,,,Günter Perl,Match Report,
4,Sat,2012-09-22,,Wolfsburg,1–1,Greuther Fürth,,,Markus Schmidt,Match Report,
4,Sat,2012-09-22,,Mainz 05,2–0,Augsburg,,,Michael Weiner,Match Report,
4,Sun,2012-09-23,,Hoffenheim,3–1,Hannover 96,,,Marco Fritz,Match Report,
4,Sun,2012-09-23,,Werder Bremen,2–2,Stuttgart,,,Guido Winkmann,Match Report,
4,Sun,2012-09-23,,Leverkusen,1–1,M'Gladbach,,,Peter Gagelmann,Match Report,
5,Tue,2012-09-25,,Schalke 04,3–0,Mainz 05,,,Robert Hartmann,Match Report,
5,Tue,2012-09-25,,Greuther Fürth,0–2,Düsseldorf,,,Tobias Welz,Match Report,
5,Tue,2012-09-25,,Eint Frankfurt,3–3,Dortmund,,,Florian Meyer,Match Report,
5,Tue,2012-09-25,,Bayern Munich,3–0,Wolfsburg,,,Christian Dingert,Match Report,
5,Wed,2012-09-26,,Freiburg,1–2,Werder Bremen,,,Thorsten Kinhöfer,Match Report,
5,Wed,2012-09-26,,Hannover 96,4–1,Nürnberg,,,Daniel Siebert,Match Report,
