Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sat,2021-12-11,15:30 (17:30),Bochum,0.9,1–1,2.5,Dortmund,13799,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,
15,Sat,2021-12-11,15:30 (17:30),Freiburg,1.6,1–2,1.1,Hoffenheim,750,Europa-Park Stadion,Frank Willenborg,Match Report,
15,Sat,2021-12-11,18:30 (20:30),Wolfsburg,1.5,0–2,1.4,Stuttgart,5000,Volkswagen Arena,Sascha Stegemann,Match Report,
15,Sun,2021-12-12,15:30 (17:30),Greuther Fürth,0.7,1–0,1.2,Union Berlin,,Sportpark Ronhof Thomas Sommer,Sven Jablonski,Match Report,
15,Sun,2021-12-12,17:30 (19:30),Eint Frankfurt,1.6,5–2,1.7,Leverkusen,12000,Commerzbank-Arena,Marco Fritz,Match Report,
16,Tue,2021-12-14,18:30 (20:30),Stuttgart,0.9,0–5,3.3,Bayern Munich,750,Mercedes-Benz Arena,Robert Schröder,Match Report,
16,Tue,2021-12-14,20:30 (22:30),Wolfsburg,2.5,2–3,3.3,Köln,5000,Volkswagen Arena,Robert Hartmann,Match Report,
16,Tue,2021-12-14,20:30 (22:30),Arminia,0.9,2–0,0.6,Bochum,13750,SchücoArena,Benjamin Brand,Match Report,
16,Tue,2021-12-14,20:30 (22:30),Mainz 05,2.6,4–0,0.5,Hertha BSC,10000,Opel Arena,Harm Osmers,Match Report,
16,Wed,2021-12-15,18:30 (20:30),M'Gladbach,1.9,2–3,1.8,Eint Frankfurt,10028,Stadion im Borussia-Park,Martin Petersen,Match Report,
16,Wed,2021-12-15,20:30 (22:30),Union Berlin,1.8,0–0,1.4,Freiburg,5000,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
16,Wed,2021-12-15,20:30 (22:30),Augsburg,1.4,1–1,2.4,RB Leipzig,,WWK Arena,Florian Badstübner,Match Report,
16,Wed,2021-12-15,20:30 (22:30),Dortmund,1.8,3–0,0.6,Greuther Fürth,15000,Signal Iduna Park,Daniel Schlager,Match Report,
