,Game,Attendance,Total_goals,goals_diff,Game_Class,League
0,ADO Den Haag vs AZ Alkmaar,12125.333333333334,3,1,Competitive_Game,D
1,ADO Den Haag vs Ajax,14013.833333333334,2,1,Closed_Game,D
2,ADO Den Haag vs Cambuur,10181.5,3,1,Competitive_Game,D
3,ADO Den Haag vs De Graafschap,10808.5,3,0,Competitive_Game,D
4,ADO Den Haag vs Dordrecht,11023.0,2,2,Competitive_Game,D
5,ADO Den Haag vs Emmen,11324.0,1,0,Closed_Game,D
6,ADO Den Haag vs Excelsior,12053.4,4,1,Competitive_Open_Game,D
7,ADO Den Haag vs Feyenoord,13304.0,2,0,Closed_Game,D
8,ADO Den Haag vs Fortuna Sittard,6269.5,3,2,Competitive_Game,D
9,ADO Den Haag vs Go Ahead Eag,10267.5,3,1,Competitive_Game,D
10,ADO Den Haag vs Groningen,9975.857142857143,2,1,Closed_Game,D
11,ADO Den Haag vs Heerenveen,11302.0,2,0,Closed_Game,D
12,ADO Den Haag vs Heracles Almelo,10982.833333333334,2,1,Closed_Game,D
13,ADO Den Haag vs NAC Breda,12310.333333333334,2,1,Closed_Game,D
14,ADO Den Haag vs NEC Nijmegen,10520.0,1,1,Closed_Game,D
15,ADO Den Haag vs PSV Eindhoven,13846.0,4,2,Competitive_Open_Game,D
16,ADO Den Haag vs RKC Waalwijk,12433.0,2,0,Closed_Game,D
17,ADO Den Haag vs Roda JC,10746.666666666666,4,1,Competitive_Open_Game,D
18,ADO Den Haag vs Sparta R'dam,11603.666666666666,1,0,Closed_Game,D
19,ADO Den Haag vs Twente,12611.2,3,1,Competitive_Game,D
20,ADO Den Haag vs Utrecht,11190.0,3,2,Competitive_Game,D
21,ADO Den Haag vs VVV-Venlo,10602.0,3,1,Competitive_Game,D
22,ADO Den Haag vs Vitesse,12662.0,2,1,Closed_Game,D
23,ADO Den Haag vs Willem II,11478.166666666666,4,1,Competitive_Open_Game,D
24,ADO Den Haag vs Zwolle,11633.8,2,1,Closed_Game,D
25,AZ Alkmaar vs ADO Den Haag,14613.833333333334,3,2,Competitive_Game,D
26,AZ Alkmaar vs Ajax,16726.166666666668,3,1,Competitive_Game,D
27,AZ Alkmaar vs Cambuur,14826.5,2,1,Closed_Game,D
28,AZ Alkmaar vs De Graafschap,14999.5,3,2,Competitive_Game,D
29,AZ Alkmaar vs Dordrecht,14714.0,2,2,Competitive_Game,D
30,AZ Alkmaar vs Emmen,10664.0,3,3,One_Side_Game,D
31,AZ Alkmaar vs Excelsior,14220.6,2,1,Closed_Game,D
32,AZ Alkmaar vs Feyenoord,15037.0,3,2,Competitive_Game,D
33,AZ Alkmaar vs Fortuna Sittard,14000.0,3,2,Competitive_Game,D
34,AZ Alkmaar vs Go Ahead Eag,14191.333333333334,3,2,Competitive_Game,D
35,AZ Alkmaar vs Groningen,14685.57142857143,2,1,Closed_Game,D
36,AZ Alkmaar vs Heerenveen,14081.833333333334,4,1,Competitive_Open_Game,D
37,AZ Alkmaar vs Heracles Almelo,12999.333333333334,4,2,Competitive_Open_Game,D
38,AZ Alkmaar vs NAC Breda,14178.333333333334,2,1,Closed_Game,D
39,AZ Alkmaar vs NEC Nijmegen,14483.5,3,1,Competitive_Game,D
40,AZ Alkmaar vs PSV Eindhoven,16205.833333333334,4,1,Competitive_Open_Game,D
41,AZ Alkmaar vs RKC Waalwijk,14712.0,3,2,Competitive_Game,D
42,AZ Alkmaar vs Roda JC,14577.666666666666,2,1,Closed_Game,D
43,AZ Alkmaar vs Sparta R'dam,13040.333333333334,3,1,Competitive_Game,D
44,AZ Alkmaar vs Twente,12752.2,3,1,Competitive_Game,D
45,AZ Alkmaar vs Utrecht,14915.0,3,2,Competitive_Game,D
46,AZ Alkmaar vs VVV-Venlo,11394.0,2,1,Closed_Game,D
47,AZ Alkmaar vs Vitesse,15341.4,3,1,Competitive_Game,D
48,AZ Alkmaar vs Willem II,14842.166666666666,3,1,Competitive_Game,D
49,AZ Alkmaar vs Zwolle,14062.0,3,1,Competitive_Game,D
50,Abha vs Al-Adalah,1972.0,4,0,Competitive_Open_Game,SPL
51,Abha vs Al-Ahli,2822.0,2,1,Closed_Game,SPL
52,Abha vs Al-Ain,13.0,1,1,Closed_Game,SPL
53,Abha vs Al-Batin,220.0,2,1,Closed_Game,SPL
54,Abha vs Al-Ettifaq,2978.0,2,0,Closed_Game,SPL
55,Abha vs Al-Faisaly,50.0,1,1,Closed_Game,SPL
56,Abha vs Al-Fateh,626.5,3,1,Competitive_Game,SPL
57,Abha vs Al-Fayha,,2,0,Closed_Game,SPL
58,Abha vs Al-Hazem,149.5,2,1,Closed_Game,SPL
59,Abha vs Al-Hilal,6151.5,2,0,Closed_Game,SPL
60,Abha vs Al-Ittihad,1117.0,3,2,Competitive_Game,SPL
61,Abha vs Al-Nassr,3114.5,3,1,Competitive_Game,SPL
62,Abha vs Al-Qadsiah,50.0,4,0,Competitive_Open_Game,SPL
63,Abha vs Al-Raed,457.0,2,1,Closed_Game,SPL
64,Abha vs Al-Shabab,1159.0,3,1,Competitive_Game,SPL
65,Abha vs Al-Taawoun,40.0,1,0,Closed_Game,SPL
66,Abha vs Al-Wehda,46.0,3,2,Competitive_Game,SPL
67,Abha vs Damac,1624.5,5,1,Competitive_Open_Game,SPL
68,Académica vs Arouca,2949.5,1,0,Closed_Game,P
69,Académica vs Beira-Mar,,2,1,Closed_Game,P
70,Académica vs Belenenses,3671.5,4,0,Competitive_Open_Game,P
71,Académica vs Benfica,17522.0,2,1,Closed_Game,P
72,Académica vs Boavista,2935.5,1,1,Closed_Game,P
73,Académica vs Braga,4080.5,1,0,Closed_Game,P
74,Académica vs Estoril,4708.0,2,1,Closed_Game,P
75,Académica vs Feirense,,4,4,One_Side_Game,P
76,Académica vs Gil Vicente,2000.0,2,1,Closed_Game,P
77,Académica vs Marítimo,3379.5,2,0,Closed_Game,P
78,Académica vs Moreirense,2880.0,1,0,Closed_Game,P
79,Académica vs Nacional,2939.5,2,1,Closed_Game,P
80,Académica vs Olhanense,,2,0,Closed_Game,P
81,Académica vs Paços,2688.0,3,0,Competitive_Game,P
82,Académica vs Penafiel,2458.0,2,0,Closed_Game,P
83,Académica vs Porto,6792.5,2,2,Competitive_Game,P
84,Académica vs Rio Ave,3662.5,1,1,Closed_Game,P
85,Académica vs Sporting CP,13514.5,2,1,Closed_Game,P
86,Académica vs Tondela,2170.0,3,1,Competitive_Game,P
87,Académica vs União,2387.0,4,2,Competitive_Open_Game,P
88,Académica vs União de Leiria,,0,0,Closed_Game,P
89,Académica vs Vitória,4193.5,2,1,Closed_Game,P
90,Académica vs Vitória Setúbal,3032.5,3,1,Competitive_Game,P
91,Ajaccio vs Auxerre,,3,1,Competitive_Game,FL
92,Ajaccio vs Bastia,,1,0,Closed_Game,FL
93,Ajaccio vs Bordeaux,,1,1,Closed_Game,FL
94,Ajaccio vs Brest,,0,0,Closed_Game,FL
95,Ajaccio vs Caen,,4,0,Competitive_Open_Game,FL
96,Ajaccio vs Dijon,,3,1,Competitive_Game,FL
97,Ajaccio vs Evian,,3,1,Competitive_Game,FL
98,Ajaccio vs Guingamp,,3,1,Competitive_Game,FL
99,Ajaccio vs Lille,,4,1,Competitive_Open_Game,FL
100,Ajaccio vs Lorient,,2,0,Closed_Game,FL
101,Ajaccio vs Lyon,,3,1,Competitive_Game,FL
102,Ajaccio vs Marseille,,2,1,Closed_Game,FL
103,Ajaccio vs Monaco,,5,3,One_Side_Game,FL
104,Ajaccio vs Montpellier,,3,1,Competitive_Game,FL
105,Ajaccio vs Nancy,,1,0,Closed_Game,FL
106,Ajaccio vs Nantes,,1,1,Closed_Game,FL
107,Ajaccio vs Nice,,1,0,Closed_Game,FL
108,Ajaccio vs Paris S-G,,2,1,Closed_Game,FL
109,Ajaccio vs Reims,,2,1,Closed_Game,FL
110,Ajaccio vs Rennes,,3,1,Competitive_Game,FL
111,Ajaccio vs Saint-Étienne,,1,0,Closed_Game,FL
112,Ajaccio vs Sochaux,,2,0,Closed_Game,FL
113,Ajaccio vs Toulouse,,3,1,Competitive_Game,FL
114,Ajaccio vs Troyes,,1,1,Closed_Game,FL
115,Ajaccio vs Valenciennes,,3,1,Competitive_Game,FL
116,Ajax vs ADO Den Haag,50552.5,3,2,Competitive_Game,D
117,Ajax vs AZ Alkmaar,42769.71428571428,3,2,Competitive_Game,D
118,Ajax vs Cambuur,45261.0,5,4,One_Side_Game,D
119,Ajax vs De Graafschap,52135.0,5,3,One_Side_Game,D
120,Ajax vs Dordrecht,50760.0,4,4,One_Side_Game,D
121,Ajax vs Emmen,53004.5,4,4,One_Side_Game,D
122,Ajax vs Excelsior,48112.4,3,2,Competitive_Game,D
123,Ajax vs Feyenoord,52681.0,2,1,Closed_Game,D
124,Ajax vs Fortuna Sittard,53251.0,5,4,One_Side_Game,D
125,Ajax vs Go Ahead Eag,51383.0,3,3,One_Side_Game,D
126,Ajax vs Groningen,51004.57142857143,2,2,Competitive_Game,D
127,Ajax vs Heerenveen,51338.0,5,2,Competitive_Open_Game,D
128,Ajax vs Heracles Almelo,49856.5,3,2,Competitive_Game,D
129,Ajax vs NAC Breda,52144.666666666664,3,2,Competitive_Game,D
130,Ajax vs NEC Nijmegen,43988.0,4,2,Competitive_Open_Game,D
131,Ajax vs PSV Eindhoven,52336.142857142855,3,1,Competitive_Game,D
132,Ajax vs RKC Waalwijk,32619.5,2,2,Competitive_Game,D
133,Ajax vs Roda JC,50236.333333333336,4,2,Competitive_Open_Game,D
134,Ajax vs Sparta R'dam,52022.666666666664,3,2,Competitive_Game,D
135,Ajax vs Twente,44697.2,3,2,Competitive_Game,D
136,Ajax vs Utrecht,51185.42857142857,3,1,Competitive_Game,D
137,Ajax vs VVV-Venlo,52506.5,3,3,One_Side_Game,D
138,Ajax vs Vitesse,38194.42857142857,3,2,Competitive_Game,D
139,Ajax vs Willem II,50621.5,3,3,One_Side_Game,D
140,Ajax vs Zwolle,49847.4,3,2,Competitive_Game,D
141,Al-Adalah vs Abha,12640.0,3,1,Competitive_Game,SPL
142,Al-Adalah vs Al-Ahli,,2,0,Closed_Game,SPL
143,Al-Adalah vs Al-Ettifaq,,1,1,Closed_Game,SPL
144,Al-Adalah vs Al-Faisaly,,2,2,Competitive_Game,SPL
145,Al-Adalah vs Al-Fateh,,8,2,Competitive_Open_Game,SPL
146,Al-Adalah vs Al-Fayha,9315.0,2,0,Closed_Game,SPL
147,Al-Adalah vs Al-Hazem,8134.0,4,0,Competitive_Open_Game,SPL
148,Al-Adalah vs Al-Hilal,70.0,4,4,One_Side_Game,SPL
149,Al-Adalah vs Al-Ittihad,,2,2,Competitive_Game,SPL
150,Al-Adalah vs Al-Nassr,9299.0,3,3,One_Side_Game,SPL
151,Al-Adalah vs Al-Raed,,2,0,Closed_Game,SPL
152,Al-Adalah vs Al-Shabab,,1,1,Closed_Game,SPL
153,Al-Adalah vs Al-Taawoun,12819.0,0,0,Closed_Game,SPL
154,Al-Adalah vs Al-Wehda,,6,2,Competitive_Open_Game,SPL
155,Al-Adalah vs Damac,11922.0,4,4,One_Side_Game,SPL
156,Al-Ahli vs Abha,6052.5,3,2,Competitive_Game,SPL
157,Al-Ahli vs Al-Adalah,,2,0,Closed_Game,SPL
158,Al-Ahli vs Al-Ain,12.0,2,0,Closed_Game,SPL
159,Al-Ahli vs Al-Batin,11683.2,2,1,Closed_Game,SPL
160,Al-Ahli vs Al-Ettifaq,6411.166666666667,4,2,Competitive_Open_Game,SPL
161,Al-Ahli vs Al-Faisaly,10714.0,2,0,Closed_Game,SPL
162,Al-Ahli vs Al-Fateh,16013.875,3,2,Competitive_Game,SPL
163,Al-Ahli vs Al-Fayha,12193.0,1,0,Closed_Game,SPL
164,Al-Ahli vs Al-Hazem,24917.5,3,1,Competitive_Game,SPL
165,Al-Ahli vs Al-Hilal,36512.28571428572,1,0,Closed_Game,SPL
166,Al-Ahli vs Al-Ittihad,32583.85714285714,2,0,Closed_Game,SPL
167,Al-Ahli vs Al-Khaleej,14906.333333333334,3,1,Competitive_Game,SPL
168,Al-Ahli vs Al-Nassr,27486.625,2,1,Closed_Game,SPL
169,Al-Ahli vs Al-Orobah,29968.0,2,2,Competitive_Game,SPL
170,Al-Ahli vs Al-Qadsiah,11964.8,2,2,Competitive_Game,SPL
171,Al-Ahli vs Al-Raed,18746.5,4,1,Competitive_Open_Game,SPL
172,Al-Ahli vs Al-Shabab,21695.285714285714,3,0,Competitive_Game,SPL
173,Al-Ahli vs Al-Shoulla,17004.0,3,3,One_Side_Game,SPL
174,Al-Ahli vs Al-Taawoun,14791.285714285714,3,1,Competitive_Game,SPL
175,Al-Ahli vs Al-Wehda,12938.6,3,1,Competitive_Game,SPL
176,Al-Ahli vs Damac,7902.666666666667,4,2,Competitive_Open_Game,SPL
177,Al-Ahli vs Hajer,43796.0,4,3,One_Side_Game,SPL
178,Al-Ahli vs Najran,17751.0,3,1,Competitive_Game,SPL
179,Al-Ahli vs Ohod,4739.0,3,2,Competitive_Game,SPL
180,Al-Ain vs Abha,50.0,6,2,Competitive_Open_Game,SPL
181,Al-Ain vs Al-Ahli,45.0,7,1,Competitive_Open_Game,SPL
182,Al-Ain vs Al-Batin,250.0,7,1,Competitive_Open_Game,SPL
183,Al-Ain vs Al-Ettifaq,45.0,1,1,Closed_Game,SPL
184,Al-Ain vs Al-Faisaly,8.0,2,0,Closed_Game,SPL
185,Al-Ain vs Al-Fateh,20.0,6,2,Competitive_Open_Game,SPL
186,Al-Ain vs Al-Hilal,15.0,5,5,One_Side_Game,SPL
187,Al-Ain vs Al-Ittihad,46.0,3,1,Competitive_Game,SPL
188,Al-Ain vs Al-Nassr,13.0,2,2,Competitive_Game,SPL
189,Al-Ain vs Al-Qadsiah,22.0,3,1,Competitive_Game,SPL
190,Al-Ain vs Al-Raed,41.0,1,1,Closed_Game,SPL
191,Al-Ain vs Al-Shabab,33.0,3,3,One_Side_Game,SPL
192,Al-Ain vs Al-Taawoun,30.0,1,1,Closed_Game,SPL
193,Al-Ain vs Al-Wehda,12.0,4,4,One_Side_Game,SPL
194,Al-Ain vs Damac,10.0,2,0,Closed_Game,SPL
195,Al-Batin vs Abha,578.5,3,2,Competitive_Game,SPL
196,Al-Batin vs Al-Ahli,2804.25,2,1,Closed_Game,SPL
197,Al-Batin vs Al-Ain,38.0,3,1,Competitive_Game,SPL
198,Al-Batin vs Al-Ettifaq,1747.8,1,0,Closed_Game,SPL
199,Al-Batin vs Al-Faisaly,1422.25,2,1,Closed_Game,SPL
200,Al-Batin vs Al-Fateh,1755.2,2,0,Closed_Game,SPL
201,Al-Batin vs Al-Fayha,2585.3333333333335,1,1,Closed_Game,SPL
202,Al-Batin vs Al-Hazem,4049.5,0,0,Closed_Game,SPL
203,Al-Batin vs Al-Hilal,3786.6,3,1,Competitive_Game,SPL
204,Al-Batin vs Al-Ittihad,3205.8,3,1,Competitive_Game,SPL
205,Al-Batin vs Al-Khaleej,2207.0,1,1,Closed_Game,SPL
206,Al-Batin vs Al-Nassr,2701.75,3,1,Competitive_Game,SPL
207,Al-Batin vs Al-Qadsiah,1467.0,3,0,Competitive_Game,SPL
208,Al-Batin vs Al-Raed,1322.5,4,2,Competitive_Open_Game,SPL
209,Al-Batin vs Al-Shabab,2038.8,2,1,Closed_Game,SPL
210,Al-Batin vs Al-Ta'ee,2014.0,0,0,Closed_Game,SPL
211,Al-Batin vs Al-Taawoun,3011.25,3,1,Competitive_Game,SPL
212,Al-Batin vs Al-Wehda,2714.3333333333335,2,1,Closed_Game,SPL
213,Al-Batin vs Damac,968.0,2,2,Competitive_Game,SPL
214,Al-Batin vs Ohod,3467.0,1,1,Closed_Game,SPL
215,Al-Ettifaq vs Abha,2576.3333333333335,4,2,Competitive_Open_Game,SPL
216,Al-Ettifaq vs Al-Adalah,,1,1,Closed_Game,SPL
217,Al-Ettifaq vs Al-Ahli,4505.75,4,2,Competitive_Open_Game,SPL
218,Al-Ettifaq vs Al-Ain,45.0,3,1,Competitive_Game,SPL
219,Al-Ettifaq vs Al-Batin,1112.4,3,1,Competitive_Game,SPL
220,Al-Ettifaq vs Al-Faisaly,2627.2,2,1,Closed_Game,SPL
221,Al-Ettifaq vs Al-Fateh,2173.0,2,1,Closed_Game,SPL
222,Al-Ettifaq vs Al-Fayha,3358.3333333333335,3,1,Competitive_Game,SPL
223,Al-Ettifaq vs Al-Hazem,4109.0,3,1,Competitive_Game,SPL
224,Al-Ettifaq vs Al-Hilal,9917.5,2,1,Closed_Game,SPL
225,Al-Ettifaq vs Al-Ittihad,6563.4,2,1,Closed_Game,SPL
226,Al-Ettifaq vs Al-Khaleej,1330.0,4,2,Competitive_Open_Game,SPL
227,Al-Ettifaq vs Al-Nassr,6667.4,2,0,Closed_Game,SPL
228,Al-Ettifaq vs Al-Qadsiah,1887.25,4,1,Competitive_Open_Game,SPL
229,Al-Ettifaq vs Al-Raed,1708.6,2,1,Closed_Game,SPL
230,Al-Ettifaq vs Al-Shabab,2947.6,3,0,Competitive_Game,SPL
231,Al-Ettifaq vs Al-Taawoun,2032.1666666666667,3,2,Competitive_Game,SPL
232,Al-Ettifaq vs Al-Wehda,1517.75,3,1,Competitive_Game,SPL
233,Al-Ettifaq vs Damac,3696.0,3,1,Competitive_Game,SPL
234,Al-Ettifaq vs Ohod,3852.0,2,0,Closed_Game,SPL
235,Al-Faisaly vs Abha,3054.5,2,1,Closed_Game,SPL
236,Al-Faisaly vs Al-Adalah,,4,2,Competitive_Open_Game,SPL
237,Al-Faisaly vs Al-Ahli,958.7142857142857,4,1,Competitive_Open_Game,SPL
238,Al-Faisaly vs Al-Ain,,2,0,Closed_Game,SPL
239,Al-Faisaly vs Al-Batin,1294.6,3,0,Competitive_Game,SPL
240,Al-Faisaly vs Al-Ettifaq,1111.2,4,2,Competitive_Open_Game,SPL
241,Al-Faisaly vs Al-Fateh,954.5714285714286,3,1,Competitive_Game,SPL
242,Al-Faisaly vs Al-Fayha,2611.3333333333335,1,0,Closed_Game,SPL
243,Al-Faisaly vs Al-Hazem,561.0,2,1,Closed_Game,SPL
244,Al-Faisaly vs Al-Hilal,2077.714285714286,2,0,Closed_Game,SPL
245,Al-Faisaly vs Al-Ittihad,863.5,3,1,Competitive_Game,SPL
246,Al-Faisaly vs Al-Khaleej,165.66666666666666,3,1,Competitive_Game,SPL
247,Al-Faisaly vs Al-Nassr,1494.857142857143,4,1,Competitive_Open_Game,SPL
248,Al-Faisaly vs Al-Orobah,170.0,2,2,Competitive_Game,SPL
249,Al-Faisaly vs Al-Qadsiah,364.4,3,1,Competitive_Game,SPL
250,Al-Faisaly vs Al-Raed,489.5,2,0,Closed_Game,SPL
251,Al-Faisaly vs Al-Shabab,1819.75,2,1,Closed_Game,SPL
252,Al-Faisaly vs Al-Shoulla,66.0,0,0,Closed_Game,SPL
253,Al-Faisaly vs Al-Taawoun,1323.7142857142858,2,0,Closed_Game,SPL
254,Al-Faisaly vs Al-Wehda,288.75,3,1,Competitive_Game,SPL
255,Al-Faisaly vs Damac,2122.0,2,2,Competitive_Game,SPL
256,Al-Faisaly vs Hajer,218.0,3,2,Competitive_Game,SPL
257,Al-Faisaly vs Najran,74.5,2,0,Closed_Game,SPL
258,Al-Faisaly vs Ohod,927.5,2,2,Competitive_Game,SPL
259,Al-Fateh vs Abha,81.5,3,1,Competitive_Game,SPL
260,Al-Fateh vs Al-Adalah,,1,1,Closed_Game,SPL
261,Al-Fateh vs Al-Ahli,5062.75,2,1,Closed_Game,SPL
262,Al-Fateh vs Al-Ain,15.0,5,1,Competitive_Open_Game,SPL
263,Al-Fateh vs Al-Batin,2892.2,4,1,Competitive_Open_Game,SPL
264,Al-Fateh vs Al-Ettifaq,1929.0,1,0,Closed_Game,SPL
265,Al-Fateh vs Al-Faisaly,2808.714285714286,3,1,Competitive_Game,SPL
266,Al-Fateh vs Al-Fayha,1911.6666666666667,3,1,Competitive_Game,SPL
267,Al-Fateh vs Al-Hazem,3865.3333333333335,3,1,Competitive_Game,SPL
268,Al-Fateh vs Al-Hilal,8730.285714285714,3,1,Competitive_Game,SPL
269,Al-Fateh vs Al-Ittihad,6360.5,3,0,Competitive_Game,SPL
270,Al-Fateh vs Al-Khaleej,991.6666666666666,2,1,Closed_Game,SPL
271,Al-Fateh vs Al-Nassr,5534.875,1,0,Closed_Game,SPL
272,Al-Fateh vs Al-Orobah,273.0,1,1,Closed_Game,SPL
273,Al-Fateh vs Al-Qadsiah,1427.6,2,1,Closed_Game,SPL
274,Al-Fateh vs Al-Raed,1573.142857142857,3,1,Competitive_Game,SPL
275,Al-Fateh vs Al-Shabab,1914.0,1,1,Closed_Game,SPL
276,Al-Fateh vs Al-Shoulla,313.0,0,0,Closed_Game,SPL
277,Al-Fateh vs Al-Taawoun,1929.857142857143,2,1,Closed_Game,SPL
278,Al-Fateh vs Al-Wehda,3333.6,3,1,Competitive_Game,SPL
279,Al-Fateh vs Damac,6188.0,4,0,Competitive_Open_Game,SPL
280,Al-Fateh vs Hajer,1845.0,3,1,Competitive_Game,SPL
281,Al-Fateh vs Najran,7241.0,3,1,Competitive_Game,SPL
282,Al-Fateh vs Ohod,1361.0,2,2,Competitive_Game,SPL
283,Al-Fayha vs Abha,6116.0,1,1,Closed_Game,SPL
284,Al-Fayha vs Al-Adalah,,2,2,Competitive_Game,SPL
285,Al-Fayha vs Al-Ahli,2726.0,2,1,Closed_Game,SPL
286,Al-Fayha vs Al-Batin,830.5,2,1,Closed_Game,SPL
287,Al-Fayha vs Al-Ettifaq,1779.0,2,0,Closed_Game,SPL
288,Al-Fayha vs Al-Faisaly,2475.6666666666665,3,0,Competitive_Game,SPL
289,Al-Fayha vs Al-Fateh,1578.6666666666667,2,1,Closed_Game,SPL
290,Al-Fayha vs Al-Hazem,3589.0,2,0,Closed_Game,SPL
291,Al-Fayha vs Al-Hilal,3742.6666666666665,3,2,Competitive_Game,SPL
292,Al-Fayha vs Al-Ittihad,2012.5,4,2,Competitive_Open_Game,SPL
293,Al-Fayha vs Al-Nassr,3937.0,2,1,Closed_Game,SPL
294,Al-Fayha vs Al-Qadsiah,1753.0,4,2,Competitive_Open_Game,SPL
295,Al-Fayha vs Al-Raed,2623.5,3,1,Competitive_Game,SPL
296,Al-Fayha vs Al-Shabab,952.0,3,1,Competitive_Game,SPL
297,Al-Fayha vs Al-Ta'ee,,2,2,Competitive_Game,SPL
298,Al-Fayha vs Al-Taawoun,2171.0,3,0,Competitive_Game,SPL
299,Al-Fayha vs Al-Wehda,2618.5,4,2,Competitive_Open_Game,SPL
300,Al-Fayha vs Damac,,0,0,Closed_Game,SPL
301,Al-Fayha vs Ohod,831.0,2,2,Competitive_Game,SPL
302,Al-Hazem vs Abha,691.0,3,1,Competitive_Game,SPL
303,Al-Hazem vs Al-Adalah,35.0,3,1,Competitive_Game,SPL
304,Al-Hazem vs Al-Ahli,1333.0,4,1,Competitive_Open_Game,SPL
305,Al-Hazem vs Al-Batin,2900.0,1,1,Closed_Game,SPL
306,Al-Hazem vs Al-Ettifaq,1602.0,3,3,One_Side_Game,SPL
307,Al-Hazem vs Al-Faisaly,1096.0,2,0,Closed_Game,SPL
308,Al-Hazem vs Al-Fateh,1053.0,4,1,Competitive_Open_Game,SPL
309,Al-Hazem vs Al-Fayha,1150.0,3,1,Competitive_Game,SPL
310,Al-Hazem vs Al-Hilal,4478.0,3,0,Competitive_Game,SPL
311,Al-Hazem vs Al-Ittihad,2380.0,2,1,Closed_Game,SPL
312,Al-Hazem vs Al-Nassr,6200.0,2,2,Competitive_Game,SPL
313,Al-Hazem vs Al-Qadsiah,1350.0,3,1,Competitive_Game,SPL
314,Al-Hazem vs Al-Raed,1086.0,2,1,Closed_Game,SPL
315,Al-Hazem vs Al-Shabab,1963.5,2,1,Closed_Game,SPL
316,Al-Hazem vs Al-Ta'ee,1984.0,1,1,Closed_Game,SPL
317,Al-Hazem vs Al-Taawoun,1636.6666666666667,2,0,Closed_Game,SPL
318,Al-Hazem vs Al-Wehda,1266.0,1,1,Closed_Game,SPL
319,Al-Hazem vs Damac,,4,4,One_Side_Game,SPL
320,Al-Hazem vs Ohod,1043.0,4,0,Competitive_Open_Game,SPL
321,Al-Hilal vs Abha,50.0,5,1,Competitive_Open_Game,SPL
322,Al-Hilal vs Al-Adalah,15631.0,7,7,One_Side_Game,SPL
323,Al-Hilal vs Al-Ahli,16297.285714285714,3,1,Competitive_Game,SPL
324,Al-Hilal vs Al-Ain,30.0,1,1,Closed_Game,SPL
325,Al-Hilal vs Al-Batin,12919.2,2,1,Closed_Game,SPL
326,Al-Hilal vs Al-Ettifaq,5669.8,3,1,Competitive_Game,SPL
327,Al-Hilal vs Al-Faisaly,12479.5,2,1,Closed_Game,SPL
328,Al-Hilal vs Al-Fateh,12245.714285714286,3,1,Competitive_Game,SPL
329,Al-Hilal vs Al-Fayha,15240.333333333334,1,0,Closed_Game,SPL
330,Al-Hilal vs Al-Hazem,12286.0,4,2,Competitive_Open_Game,SPL
331,Al-Hilal vs Al-Ittihad,22253.0,2,1,Closed_Game,SPL
332,Al-Hilal vs Al-Khaleej,6527.333333333333,4,4,One_Side_Game,SPL
333,Al-Hilal vs Al-Nassr,29241.2,3,1,Competitive_Game,SPL
334,Al-Hilal vs Al-Orobah,13844.0,5,3,One_Side_Game,SPL
335,Al-Hilal vs Al-Qadsiah,8002.6,2,1,Closed_Game,SPL
336,Al-Hilal vs Al-Raed,10442.5,3,1,Competitive_Game,SPL
337,Al-Hilal vs Al-Shabab,9392.333333333334,2,0,Closed_Game,SPL
338,Al-Hilal vs Al-Shoulla,6090.0,3,1,Competitive_Game,SPL
339,Al-Hilal vs Al-Ta'ee,9002.0,1,1,Closed_Game,SPL
340,Al-Hilal vs Al-Taawoun,7900.285714285715,3,1,Competitive_Game,SPL
341,Al-Hilal vs Al-Wehda,15436.333333333334,3,2,Competitive_Game,SPL
342,Al-Hilal vs Damac,14944.0,2,2,Competitive_Game,SPL
343,Al-Hilal vs Hajer,2524.0,5,3,One_Side_Game,SPL
344,Al-Hilal vs Najran,13039.5,2,1,Closed_Game,SPL
345,Al-Hilal vs Ohod,12702.0,0,0,Closed_Game,SPL
346,Al-Ittihad vs Abha,3687.0,3,2,Competitive_Game,SPL
347,Al-Ittihad vs Al-Adalah,16912.0,0,0,Closed_Game,SPL
348,Al-Ittihad vs Al-Ahli,35628.0,2,1,Closed_Game,SPL
349,Al-Ittihad vs Al-Ain,211.0,1,1,Closed_Game,SPL
350,Al-Ittihad vs Al-Batin,14455.25,2,1,Closed_Game,SPL
351,Al-Ittihad vs Al-Ettifaq,20445.2,3,1,Competitive_Game,SPL
352,Al-Ittihad vs Al-Faisaly,14454.25,3,0,Competitive_Game,SPL
353,Al-Ittihad vs Al-Fateh,26847.714285714286,3,1,Competitive_Game,SPL
354,Al-Ittihad vs Al-Fayha,23866.333333333332,2,2,Competitive_Game,SPL
355,Al-Ittihad vs Al-Hazem,18074.5,3,0,Competitive_Game,SPL
356,Al-Ittihad vs Al-Hilal,43460.142857142855,3,1,Competitive_Game,SPL
357,Al-Ittihad vs Al-Khaleej,17827.0,3,1,Competitive_Game,SPL
358,Al-Ittihad vs Al-Nassr,25454.833333333332,3,1,Competitive_Game,SPL
359,Al-Ittihad vs Al-Orobah,43744.0,3,1,Competitive_Game,SPL
360,Al-Ittihad vs Al-Qadsiah,13688.2,2,1,Closed_Game,SPL
361,Al-Ittihad vs Al-Raed,18365.428571428572,3,1,Competitive_Game,SPL
362,Al-Ittihad vs Al-Shabab,25976.0,2,1,Closed_Game,SPL
363,Al-Ittihad vs Al-Shoulla,59731.0,5,1,Competitive_Open_Game,SPL
