,League,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Year,Month,Day_n,Game
258,IT,26,Sun,2022-02-20,12:30 (14:30),Fiorentina,,Atalanta,,Stadio Artemio Franchi,,Head-to-Head,,2022,02,20,Fiorentina vs Atalanta
259,IT,26,Sun,2022-02-20,15:00 (17:00),Venezia,,Genoa,,Stadio Pierluigi Penzo,,Head-to-Head,,2022,02,20,Venezia vs Genoa
260,IT,26,Sun,2022-02-20,18:00 (20:00),Inter,,Sassuolo,,Stadio Giuseppe Meazza,,Head-to-Head,,2022,02,20,Inter vs Sassuolo
261,IT,26,Sun,2022-02-20,20:45 (22:45),Udinese,,Lazio,,Dacia Arena,,Head-to-Head,,2022,02,20,Udinese vs Lazio
262,IT,26,Mon,2022-02-21,19:00 (21:00),Cagliari,,Napoli,,Sardegna Arena,,Head-to-Head,,2022,02,21,Cagliari vs Napoli
263,IT,26,Mon,2022-02-21,21:00 (23:00),Bologna,,Spezia,,Stadio Renato Dall'Ara,,Head-to-Head,,2022,02,21,Bologna vs Spezia
264,IT,27,Fri,2022-02-25,18:45 (20:45),Milan,,Udinese,,Stadio Giuseppe Meazza,,Head-to-Head,,2022,02,25,Milan vs Udinese
265,IT,27,Fri,2022-02-25,21:00 (23:00),Genoa,,Inter,,Stadio Comunale Luigi Ferraris,,Head-to-Head,,2022,02,25,Genoa vs Inter
266,IT,27,Sat,2022-02-26,15:00 (17:00),Salernitana,,Bologna,,Stadio Arechi,,Head-to-Head,,2022,02,26,Salernitana vs Bologna
267,IT,27,Sat,2022-02-26,18:00 (20:00),Empoli,,Juventus,,Stadio Carlo Castellani,,Head-to-Head,,2022,02,26,Empoli vs Juventus
268,IT,27,Sat,2022-02-26,20:45 (22:45),Sassuolo,,Fiorentina,,Stadio Città del Tricolore,,Head-to-Head,,2022,02,26,Sassuolo vs Fiorentina
269,IT,27,Sun,2022-02-27,12:30 (14:30),Torino,,Cagliari,,Stadio Olimpico di Torino,,Head-to-Head,,2022,02,27,Torino vs Cagliari
270,IT,27,Sun,2022-02-27,15:00 (17:00),Hellas Verona,,Venezia,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,,2022,02,27,Hellas Verona vs Venezia
271,IT,27,Sun,2022-02-27,18:00 (20:00),Spezia,,Roma,,Stadio Alberto Picco,,Head-to-Head,,2022,02,27,Spezia vs Roma
