Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2014-08-15,20:00 (22:00),Porto,2–0,Marítimo,48036,Estádio Do Dragão,Carlos Xistra,Match Report,
1,Sat,2014-08-16,18:00 (20:00),Gil Vicente,1–3,Vitória,1800,Estádio Cidade de Barcelos,João Santos Capela,Match Report,
1,Sat,2014-08-16,20:30 (22:30),Académica,1–1,Sporting CP,19029,Estádio EFAPEL,Artur Soares Dias,Match Report,
1,Sun,2014-08-17,16:00 (18:00),Nacional,0–1,Moreirense,1770,Estádio da Madeira,Paulo Baptista,Match Report,
1,Sun,2014-08-17,16:00 (18:00),Rio Ave,2–0,Vitória Setúbal,1959,Estádio do Rio Ave Futebol Clube,Nuno Miguel Serrano Almeida,Match Report,
1,Sun,2014-08-17,17:00 (19:00),Penafiel,1–3,Belenenses,1200,Estádio Municipal 25 de Abril,Luís Ferreira,Match Report,
1,Sun,2014-08-17,19:00 (21:00),Braga,3–0,Boavista,9000,Estádio Municipal de Braga,Vasco Santos,Match Report,
1,Sun,2014-08-17,19:15 (21:15),Benfica,2–0,Paços,42535,Estádio do Sport Lisboa e Benfica,Cosme Cunha Machado,Match Report,
1,Mon,2014-08-18,20:00 (22:00),Arouca,1–1,Estoril,1290,Estádio Municipal de Arouca,Marco Ferreira,Match Report,
2,Fri,2014-08-22,20:00 (22:00),Vitória,3–0,Penafiel,7184,Estádio Dom Afonso Henriques,Pedro Proença,Match Report,
2,Sat,2014-08-23,17:00 (19:00),Marítimo,2–1,Académica,3231,Estádio dos Barreiros,Vasco Santos,Match Report,
2,Sat,2014-08-23,18:00 (20:00),Paços,0–1,Porto,5785,Estádio da Capital do Móvel,Manuel Mota,Match Report,
2,Sat,2014-08-23,20:30 (22:30),Sporting CP,1–0,Arouca,37722,Estádio José Alvalade,Nuno Miguel Serrano Almeida,Match Report,
2,Sun,2014-08-24,16:00 (18:00),Belenenses,3–1,Nacional,5000,Estádio do Restelo,Carlos Xistra,Match Report,
2,Sun,2014-08-24,17:00 (19:00),Vitória Setúbal,2–0,Gil Vicente,6000,Estádio do Bonfim,Hugo Miguel,Match Report,
