Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2015-08-14,20:30 (22:30),Tondela,1–2,Sporting CP,22003,Estádio João Cardoso,Carlos Xistra,Match Report,
1,Sat,2015-08-15,18:30 (20:30),Belenenses,3–3,Rio Ave,3216,Estádio do Restelo,Manuel Mota,Match Report,
1,Sat,2015-08-15,20:45 (22:45),Porto,3–0,Vitória,48509,Estádio Do Dragão,Fábio Costa,Match Report,
1,Sun,2015-08-16,16:00 (18:00),União,2–1,Marítimo,2500,Estádio Municipal de Machico,Duarte Gomes,Match Report,
1,Sun,2015-08-16,16:00 (18:00),Vitória Setúbal,2–2,Boavista,3481,Estádio do Bonfim,Vasco Santos,Match Report,
1,Sun,2015-08-16,17:00 (19:00),Moreirense,0–2,Arouca,1337,P.D. Comendador Joaquim de Almeida Freit...,Rui Costa,Match Report,
1,Sun,2015-08-16,18:15 (20:15),Braga,2–1,Nacional,12880,Estádio Municipal de Braga,Jorge de Sousa,Match Report,
1,Sun,2015-08-16,20:30 (22:30),Benfica,4–0,Estoril,53285,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,
1,Mon,2015-08-17,20:00 (22:00),Paços,1–0,Académica,3077,Estádio da Capital do Móvel,João Santos Capela,Match Report,
2,Fri,2015-08-21,20:30 (22:30),Rio Ave,1–0,Braga,3825,Estádio do Rio Ave Futebol Clube,João Santos Capela,Match Report,
2,Sat,2015-08-22,18:30 (20:30),Sporting CP,1–1,Paços,40639,Estádio José Alvalade,Manuel Oliveira,Match Report,
2,Sat,2015-08-22,20:45 (22:45),Marítimo,1–1,Porto,7200,Estádio dos Barreiros,Hugo Miguel,Match Report,
2,Sun,2015-08-23,17:00 (19:00),Nacional,1–0,União,3761,Estádio da Madeira,Bruno Paixão,Match Report,
2,Sun,2015-08-23,17:00 (19:00),Boavista,1–0,Tondela,4334,Estádio do Bessa Século XXI,Luís Ferreira,Match Report,
2,Sun,2015-08-23,17:00 (19:00),Vitória,1–1,Belenenses,9009,Estádio Dom Afonso Henriques,Vasco Santos,Match Report,
2,Sun,2015-08-23,17:00 (19:00),Estoril,2–0,Moreirense,1387,Estádio António Coimbra da Mota,Luís Godinho,Match Report,
2,Sun,2015-08-23,19:15 (21:15),Arouca,1–0,Benfica,23540,Estádio Municipal de Arouca,Nuno Miguel Serrano Almeida,Match Report,
2,Mon,2015-08-24,20:00 (22:00),Académica,0–4,Vitória Setúbal,3062,Estádio EFAPEL,Cosme Cunha Machado,Match Report,
3,Sat,2015-08-29,16:15 (18:15),Vitória Setúbal,2–2,Rio Ave,4500,Estádio do Bonfim,Jorge de Sousa,Match Report,
3,Sat,2015-08-29,18:30 (20:30),Porto,2–0,Estoril,40609,Estádio Do Dragão,Duarte Gomes,Match Report,
3,Sat,2015-08-29,20:45 (22:45),Benfica,3–2,Moreirense,45000,Estádio do Sport Lisboa e Benfica,Jorge Ferreira,Match Report,
3,Sun,2015-08-30,16:00 (18:00),Tondela,1–0,Nacional,2800,Estádio João Cardoso,Sérgio Sousa,Match Report,
3,Sun,2015-08-30,17:00 (19:00),Braga,4–0,Boavista,24000,Estádio Municipal de Braga,Fábio Costa,Match Report,
3,Sun,2015-08-30,17:00 (19:00),Paços,1–1,Arouca,4500,Estádio da Capital do Móvel,Tiago Antunes,Match Report,
3,Sun,2015-08-30,19:15 (21:15),Académica,1–3,Sporting CP,8000,Estádio EFAPEL,Bruno Alexandre Da Silva Esteves,Match Report,
3,Mon,2015-08-31,19:00 (21:00),Belenenses,1–1,Marítimo,2513,Estádio do Restelo,Tiago Martins,Match Report,
3,Mon,2015-08-31,21:00 (23:00),União,0–0,Vitória,1500,Estádio Municipal de Machico,Rui Costa,Match Report,
4,Fri,2015-09-11,20:30 (22:30),Benfica,6–0,Belenenses,42454,Estádio do Sport Lisboa e Benfica,Bruno Paixão,Match Report,
4,Sat,2015-09-12,18:30 (20:30),Estoril,1–0,Braga,1468,Estádio António Coimbra da Mota,Artur Soares Dias,Match Report,
4,Sat,2015-09-12,20:45 (22:45),Arouca,1–3,Porto,3355,Estádio Municipal de Arouca,João Santos Capela,Match Report,
4,Sun,2015-09-13,16:00 (18:00),Marítimo,5–2,Vitória Setúbal,4860,Estádio dos Barreiros,Manuel Oliveira,Match Report,
4,Sun,2015-09-13,16:00 (18:00),Moreirense,0–0,União,1191,P.D. Comendador Joaquim de Almeida Freit...,Nuno Miguel Serrano Almeida,Match Report,
4,Sun,2015-09-13,16:00 (18:00),Nacional,2–0,Académica,1793,Estádio da Madeira,Luís Ferreira,Match Report,
4,Sun,2015-09-13,17:00 (19:00),Vitória,1–0,Tondela,10690,Estádio Dom Afonso Henriques,Duarte Gomes,Match Report,
4,Sun,2015-09-13,19:15 (21:15),Rio Ave,1–2,Sporting CP,6685,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
4,Mon,2015-09-14,20:00 (22:00),Boavista,0–1,Paços,3763,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
5,Fri,2015-09-18,20:30 (22:30),Vitória Setúbal,2–2,Vitória,3510,Estádio do Bonfim,Tiago Martins,Match Report,
5,Sat,2015-09-19,16:00 (18:00),Tondela,0–1,Estoril,963,Estádio João Cardoso,Cosme Cunha Machado,Match Report,
5,Sat,2015-09-19,20:45 (22:45),Paços,0–3,Rio Ave,2663,Estádio da Capital do Móvel,Jorge Ferreira,Match Report,
5,Sun,2015-09-20,16:00 (18:00),União,0–0,Arouca,1664,Estádio Municipal de Machico,Bruno Alexandre Da Silva Esteves,Match Report,
5,Sun,2015-09-20,16:00 (18:00),Académica,0–2,Boavista,3507,Estádio EFAPEL,João Pinheiro,Match Report,
5,Sun,2015-09-20,19:15 (21:15),Porto,1–0,Benfica,49209,Estádio Do Dragão,Artur Soares Dias,Match Report,
5,Mon,2015-09-21,18:00 (20:00),Belenenses,2–0,Moreirense,2028,Estádio do Restelo,Duarte Gomes,Match Report,
5,Mon,2015-09-21,19:00 (21:00),Braga,5–1,Marítimo,8991,Estádio Municipal de Braga,Carlos Xistra,Match Report,
5,Mon,2015-09-21,21:00 (23:00),Sporting CP,1–0,Nacional,30057,Estádio José Alvalade,Fábio Costa,Match Report,
6,Fri,2015-09-25,20:30 (22:30),Moreirense,2–2,Porto,4425,P.D. Comendador Joaquim de Almeida Freit...,Vasco Santos,Match Report,
6,Sat,2015-09-26,18:30 (20:30),Benfica,3–0,Paços,45276,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
6,Sat,2015-09-26,20:45 (22:45),Boavista,0–0,Sporting CP,9373,Estádio do Bessa Século XXI,Artur Soares Dias,Match Report,
6,Sun,2015-09-27,16:00 (18:00),Marítimo,1–0,Tondela,5872,Estádio dos Barreiros,Luís Godinho,Match Report,
6,Sun,2015-09-27,16:00 (18:00),Nacional,1–1,Vitória Setúbal,1733,Estádio da Madeira,Manuel Mota,Match Report,
6,Sun,2015-09-27,17:00 (19:00),Arouca,2–2,Belenenses,1480,Estádio Municipal de Arouca,Luís Ferreira,Match Report,
6,Sun,2015-09-27,17:00 (19:00),Estoril,2–1,União,1412,Estádio António Coimbra da Mota,Sérgio Sousa,Match Report,
6,Sun,2015-09-27,19:15 (21:15),Vitória,0–1,Braga,19545,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
6,Mon,2015-09-28,20:00 (22:00),Rio Ave,1–0,Académica,2558,Estádio do Rio Ave Futebol Clube,Nuno Miguel Serrano Almeida,Match Report,
7,Fri,2015-10-02,20:30 (22:30),Vitória Setúbal,1–0,Estoril,3018,Estádio do Bonfim,João Santos Capela,Match Report,
7,Sat,2015-10-03,16:00 (18:00),Paços,3–1,Nacional,1761,Estádio da Capital do Móvel,Nuno Miguel Serrano Almeida,Match Report,
7,Sat,2015-10-03,16:00 (18:00),Tondela,1–1,Moreirense,986,Estádio João Cardoso,André Moreira,Match Report,
7,Sat,2015-10-03,18:30 (20:30),Académica,1–0,Marítimo,2559,Estádio EFAPEL,Bruno Paixão,Match Report,
7,Sat,2015-10-03,20:45 (22:45),Rio Ave,1–0,Boavista,3912,Estádio do Rio Ave Futebol Clube,Carlos Xistra,Match Report,
7,Sun,2015-10-04,18:00 (20:00),Braga,0–0,Arouca,7810,Estádio Municipal de Braga,Manuel Oliveira,Match Report,
7,Sun,2015-10-04,18:15 (20:15),Porto,4–0,Belenenses,34109,Estádio Do Dragão,Jorge Ferreira,Match Report,
7,Sun,2015-10-04,20:30 (22:30),Sporting CP,5–1,Vitória,31295,Estádio José Alvalade,Rui Costa,Match Report,
8,Fri,2015-10-23,20:30 (22:30),Nacional,0–0,Boavista,1318,Estádio da Madeira,João Santos Capela,Match Report,
