Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-08-06,20:15 (22:15),Sporting CP,3–0,FC Vizela,9066,Estádio José Alvalade,António Nobre,Match Report,
1,Sat,2021-08-07,12:45 (14:45),Arouca,0–2,Estoril,513,Estádio Municipal de Arouca,Hugo Coelho,Match Report,
1,Sat,2021-08-07,18:00 (20:00),Moreirense,1–2,Benfica,1498,P.D. Comendador Joaquim de Almeida Freit...,Vitor Ferreira Fernandes,Match Report,
1,Sat,2021-08-07,20:30 (22:30),Marítimo,0–2,Braga,1782,Estádio dos Barreiros,André Narciso,Match Report,
1,Sun,2021-08-08,15:30 (17:30),Tondela,3–0,Santa Clara,764,Estádio João Cardoso,João Ferreira,Match Report,
1,Sun,2021-08-08,15:30 (17:30),Vitória,0–1,Portimonense,8224,Estádio Dom Afonso Henriques,Fábio Oliveira Melo,Match Report,
1,Sun,2021-08-08,18:00 (20:00),Porto,2–0,Belenenses,15429,Estádio Do Dragão,Gustavo Correia,Match Report,
1,Sun,2021-08-08,20:30 (22:30),Paços,2–0,Famalicão,1743,Estádio da Capital do Móvel,Miguel Nogueira,Match Report,
1,Mon,2021-08-09,20:15 (22:15),Gil Vicente FC,3–0,Boavista,2014,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,
2,Fri,2021-08-13,20:15 (22:15),Estoril,0–0,Vitória,876,Estádio António Coimbra da Mota,João Ferreira,Match Report,
2,Sat,2021-08-14,15:30 (17:30),FC Vizela,2–1,Tondela,613,Estádio Do Vizela,Manuel Oliveira,Match Report,
2,Sat,2021-08-14,18:00 (20:00),Benfica,2–0,Arouca,13973,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,
2,Sat,2021-08-14,20:30 (22:30),Braga,1–2,Sporting CP,7009,Estádio Municipal de Braga,Luís Godinho,Match Report,
2,Sun,2021-08-15,15:30 (17:30),Portimonense,0–1,Gil Vicente FC,717,Estádio do Portimonense SC,Rui Costa,Match Report,
2,Sun,2021-08-15,18:00 (20:00),Famalicão,1–2,Porto,1388,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,
2,Sun,2021-08-15,19:30 (22:30),Santa Clara,2–2,Moreirense,876,Estádio de São Miguel,David Silva,Match Report,
2,Mon,2021-08-16,19:00 (21:00),Boavista,3–0,Paços,2842,Estádio do Bessa Século XXI,António Nobre,Match Report,
2,Mon,2021-08-16,21:15 (23:15),Belenenses,1–2,Marítimo,653,Estádio Dr. Magalhães Pessoa,Cláudio Ruivo Pereira,Match Report,
3,Fri,2021-08-20,19:00 (21:00),Arouca,2–1,Famalicão,648,Estádio Municipal de Arouca,David Silva,Match Report,
3,Fri,2021-08-20,21:15 (23:15),Moreirense,2–3,Braga,861,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,
3,Sat,2021-08-21,18:00 (20:00),Gil Vicente FC,0–2,Benfica,3751,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,
3,Sat,2021-08-21,20:30 (22:30),Sporting CP,2–0,Belenenses,13135,Estádio José Alvalade,Manuel Oliveira,Match Report,
3,Sun,2021-08-22,15:30 (17:30),Tondela,0–3,Portimonense,906,Estádio João Cardoso,Luís Godinho,Match Report,
3,Sun,2021-08-22,18:00 (20:00),Marítimo,1–1,Porto,3591,Estádio dos Barreiros,João Pinheiro,Match Report,
3,Sun,2021-08-22,20:30 (22:30),Vitória,4–0,FC Vizela,8935,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
3,Mon,2021-08-23,19:00 (21:00),Paços,1–3,Estoril,1569,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,
3,Mon,2021-08-23,21:15 (23:15),Boavista,2–0,Santa Clara,2799,Estádio do Bessa Século XXI,Tiago Martins,Match Report,
4,Fri,2021-08-27,19:00 (21:00),Belenenses,1–1,Moreirense,573,Estádio Dr. Magalhães Pessoa,Fábio Oliveira Melo,Match Report,
4,Fri,2021-08-27,21:15 (23:15),Estoril,2–1,Marítimo,687,Estádio António Coimbra da Mota,António Nobre,Match Report,
4,Sat,2021-08-28,15:30 (17:30),FC Vizela,1–1,Boavista,1243,Estádio Do Vizela,Rui Costa,Match Report,
