Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-09,20:30 (22:30),Portimonense,0–0,Belenenses,3486,Estádio do Portimonense SC,Manuel Mota,Match Report,
1,Sat,2019-08-10,15:30 (18:30),Santa Clara,0–2,Famalicão,1659,Estádio de São Miguel,Rui Oliveira,Match Report,
1,Sat,2019-08-10,19:00 (21:00),Gil Vicente FC,2–1,Porto,10962,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,
1,Sat,2019-08-10,21:30 (23:30),Benfica,5–0,Paços,62956,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
1,Sun,2019-08-11,16:00 (18:00),Boavista,2–1,Aves,6010,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,
1,Sun,2019-08-11,18:30 (20:30),Marítimo,1–1,Sporting CP,9673,Estádio dos Barreiros,Tiago Martins,Match Report,
1,Sun,2019-08-11,21:00 (23:00),Braga,3–1,Moreirense,13223,Estádio Municipal de Braga,Fábio Costa,Match Report,
1,Mon,2019-08-12,20:15 (22:15),Vitória Setúbal,0–0,Tondela,3795,Estádio do Bonfim,Vitor Ferreira Fernandes,Match Report,
2,Fri,2019-08-16,20:30 (22:30),Famalicão,1–0,Rio Ave,4960,Estádio Municipal 22 de Junho,Rui Costa,Match Report,
2,Sat,2019-08-17,16:30 (18:30),Moreirense,3–0,Gil Vicente FC,1792,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,
2,Sat,2019-08-17,19:00 (21:00),Belenenses,0–2,Benfica,17821,Estádio Nacional,Fábio Costa,Match Report,
2,Sat,2019-08-17,21:30 (23:30),Porto,4–0,Vitória Setúbal,38820,Estádio Do Dragão,Manuel Mota,Match Report,
2,Sun,2019-08-18,16:00 (18:00),Aves,3–1,Marítimo,1511,Estádio Clube Desportivo das Aves,Jorge de Sousa,Match Report,
2,Sun,2019-08-18,16:00 (18:00),Paços,0–1,Santa Clara,3153,Estádio da Capital do Móvel,André Narciso,Match Report,
2,Sun,2019-08-18,18:30 (20:30),Vitória,1–1,Boavista,16765,Estádio Dom Afonso Henriques,Artur Soares Dias,Match Report,
2,Sun,2019-08-18,21:00 (23:00),Sporting CP,2–1,Braga,35692,Estádio José Alvalade,Luís Godinho,Match Report,
2,Mon,2019-08-19,20:15 (22:15),Tondela,1–2,Portimonense,2955,Estádio João Cardoso,Hugo Miguel,Match Report,
3,Fri,2019-08-23,19:00 (21:00),Vitória Setúbal,0–0,Moreirense,3787,Estádio do Bonfim,Iancu Vasilica,Match Report,
3,Fri,2019-08-23,21:15 (23:15),Rio Ave,5–1,Aves,2485,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,
3,Sat,2019-08-24,19:00 (21:00),Benfica,0–2,Porto,62735,Estádio do Sport Lisboa e Benfica,Jorge de Sousa,Match Report,
3,Sat,2019-08-24,21:30 (23:30),Boavista,1–1,Paços,6391,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
3,Sun,2019-08-25,15:00 (18:00),Santa Clara,0–0,Belenenses,3525,Estádio de São Miguel,João Pinheiro,Match Report,
3,Sun,2019-08-25,16:00 (18:00),Marítimo,2–3,Tondela,5568,Estádio dos Barreiros,André Narciso,Match Report,
3,Sun,2019-08-25,18:30 (20:30),Portimonense,1–3,Sporting CP,5634,Estádio do Portimonense SC,Carlos Xistra,Match Report,
3,Sun,2019-08-25,20:30 (22:30),Gil Vicente FC,1–1,Braga,6769,Estádio Cidade de Barcelos,Hugo Miguel,Match Report,
3,Sun,2019-08-25,21:00 (23:00),Vitória,1–1,Famalicão,16225,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,
4,Fri,2019-08-30,19:00 (21:00),Moreirense,1–0,Portimonense,1432,P.D. Comendador Joaquim de Almeida Freit...,Gustavo Correia,Match Report,
4,Fri,2019-08-30,21:15 (23:15),Belenenses,0–1,Boavista,1213,Estádio Nacional,Hugo Miguel,Match Report,
4,Sat,2019-08-31,16:30 (18:30),Paços,0–1,Marítimo,1714,Estádio da Capital do Móvel,Rui Oliveira,Match Report,
4,Sat,2019-08-31,16:30 (18:30),Aves,2–3,Famalicão,3573,Estádio Clube Desportivo das Aves,Luís Godinho,Match Report,
4,Sat,2019-08-31,19:00 (21:00),Sporting CP,2–3,Rio Ave,37942,Estádio José Alvalade,João Pinheiro,Match Report,
4,Sat,2019-08-31,21:30 (23:30),Gil Vicente FC,0–0,Vitória Setúbal,3200,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,
4,Sun,2019-09-01,16:00 (18:00),Tondela,0–0,Santa Clara,2122,Estádio João Cardoso,Manuel Mota,Match Report,
4,Sun,2019-09-01,18:30 (20:30),Porto,3–0,Vitória,47711,Estádio Do Dragão,Carlos Xistra,Match Report,
4,Sun,2019-09-01,21:00 (23:00),Braga,0–4,Benfica,15499,Estádio Municipal de Braga,Nuno Almeida,Match Report,
1,Sun,2019-09-08,15:00 (17:00),Rio Ave,1–1,Vitória,2713,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
5,Fri,2019-09-13,20:30 (22:30),Vitória Setúbal,1–0,Braga,3527,Estádio do Bonfim,Artur Soares Dias,Match Report,
5,Sat,2019-09-14,16:30 (18:30),Famalicão,4–2,Paços,4855,Estádio Municipal 22 de Junho,António Nobre,Match Report,
5,Sat,2019-09-14,19:00 (21:00),Benfica,2–0,Gil Vicente FC,54706,Estádio do Sport Lisboa e Benfica,João Pinheiro,Match Report,
5,Sat,2019-09-14,21:30 (23:30),Vitória,5–1,Aves,14529,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,
5,Sun,2019-09-15,15:00 (18:00),Santa Clara,2–0,Moreirense,2248,Estádio de São Miguel,Hélder Malheiro,Match Report,
5,Sun,2019-09-15,16:00 (18:00),Marítimo,1–3,Belenenses,5551,Estádio dos Barreiros,João Bento,Match Report,
5,Sun,2019-09-15,16:00 (18:00),Rio Ave,2–4,Tondela,2103,Estádio do Rio Ave Futebol Clube,Rui Oliveira,Match Report,
5,Sun,2019-09-15,18:00 (20:00),Portimonense,2–3,Porto,5499,Estádio do Portimonense SC,Rui Costa,Match Report,
5,Sun,2019-09-15,20:00 (22:00),Boavista,1–1,Sporting CP,12314,Estádio do Bessa Século XXI,Jorge de Sousa,Match Report,
6,Fri,2019-09-20,20:30 (22:30),Paços,2–1,Aves,2239,Estádio da Capital do Móvel,Cláudio Ruivo Pereira,Match Report,
6,Sat,2019-09-21,18:00 (20:00),Belenenses,0–2,Rio Ave,821,Estádio Nacional,André Narciso,Match Report,
6,Sat,2019-09-21,20:30 (22:30),Moreirense,1–2,Benfica,4220,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
6,Sun,2019-09-22,15:30 (17:30),Gil Vicente FC,0–0,Boavista,3885,Estádio Cidade de Barcelos,Fábio Costa,Match Report,
6,Sun,2019-09-22,18:00 (20:00),Tondela,1–3,Vitória,3178,Estádio João Cardoso,Hélder Malheiro,Match Report,
6,Sun,2019-09-22,18:00 (20:00),Vitória Setúbal,0–0,Portimonense,4833,Estádio do Bonfim,João Pinheiro,Match Report,
6,Sun,2019-09-22,20:30 (22:30),Porto,2–0,Santa Clara,36120,Estádio Do Dragão,Luís Godinho,Match Report,
6,Mon,2019-09-23,19:00 (21:00),Braga,2–2,Marítimo,8184,Estádio Municipal de Braga,Manuel Oliveira,Match Report,
6,Mon,2019-09-23,21:00 (23:00),Sporting CP,1–2,Famalicão,28576,Estádio José Alvalade,Hugo Miguel,Match Report,
7,Fri,2019-09-27,20:30 (22:30),Boavista,0–0,Tondela,14225,Estádio do Bessa Século XXI,Vitor Ferreira Fernandes,Match Report,
7,Sat,2019-09-28,16:30 (18:30),Marítimo,2–1,Moreirense,5380,Estádio dos Barreiros,Rui Costa,Match Report,
7,Sat,2019-09-28,19:00 (21:00),Benfica,1–0,Vitória Setúbal,53115,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,
7,Sat,2019-09-28,21:30 (23:30),Famalicão,3–1,Belenenses,4873,Estádio Municipal 22 de Junho,Iancu Vasilica,Match Report,
7,Sun,2019-09-29,15:00 (18:00),Santa Clara,1–0,Gil Vicente FC,1973,Estádio de São Miguel,João Bento,Match Report,
7,Sun,2019-09-29,16:00 (18:00),Vitória,1–0,Paços,18154,Estádio Dom Afonso Henriques,André Narciso,Match Report,
7,Sun,2019-09-29,18:00 (20:00),Portimonense,0–1,Braga,3430,Estádio do Portimonense SC,Hugo Miguel,Match Report,
7,Sun,2019-09-29,20:00 (22:00),Rio Ave,0–1,Porto,4411,Estádio do Rio Ave Futebol Clube,Nuno Almeida,Match Report,
7,Mon,2019-09-30,20:15 (22:15),Aves,0–1,Sporting CP,2850,Estádio Clube Desportivo das Aves,Carlos Xistra,Match Report,
9,Sat,2019-10-05,15:30 (17:30),Aves,0–1,Tondela,1336,Estádio Clube Desportivo das Aves,João Pinheiro,Match Report,
8,Fri,2019-10-25,20:30 (22:30),Paços,0–0,Rio Ave,2095,Estádio da Capital do Móvel,Tiago Martins,Match Report,
8,Sat,2019-10-26,15:30 (17:30),Belenenses,3–2,Aves,2109,Estádio Nacional,Cláudio Ruivo Pereira,Match Report,
8,Sat,2019-10-26,15:30 (17:30),Gil Vicente FC,1–1,Portimonense,2628,Estádio Cidade de Barcelos,Gustavo Correia,Match Report,
8,Sat,2019-10-26,18:00 (20:00),Vitória Setúbal,0–0,Marítimo,4466,Estádio do Bonfim,Vitor Ferreira Fernandes,Match Report,
8,Sat,2019-10-26,20:30 (22:30),Moreirense,1–1,Boavista,2060,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,
8,Sun,2019-10-27,15:00 (18:00),Tondela,0–1,Benfica,4705,Estádio João Cardoso,Hugo Miguel,Match Report,
8,Sun,2019-10-27,17:30 (20:30),Porto,3–0,Famalicão,47807,Estádio Do Dragão,Fábio Costa,Match Report,
8,Sun,2019-10-27,20:00 (23:00),Sporting CP,3–1,Vitória,28135,Estádio José Alvalade,Artur Soares Dias,Match Report,
8,Mon,2019-10-28,20:15 (23:15),Braga,2–0,Santa Clara,6785,Estádio Municipal de Braga,Rui Costa,Match Report,
9,Wed,2019-10-30,17:00 (20:00),Rio Ave,1–1,Moreirense,1387,Estádio do Rio Ave Futebol Clube,António Nobre,Match Report,
9,Wed,2019-10-30,18:45 (21:45),Marítimo,1–1,Porto,9381,Estádio dos Barreiros,Jorge de Sousa,Match Report,
9,Wed,2019-10-30,20:00 (23:00),Vitória,5–0,Belenenses,11346,Estádio Dom Afonso Henriques,Rui Oliveira,Match Report,
9,Wed,2019-10-30,20:15 (23:15),Benfica,4–0,Portimonense,42037,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,
9,Wed,2019-10-30,21:00 (00:00),Famalicão,2–1,Gil Vicente FC,3375,Estádio Municipal 22 de Junho,Cláudio Ruivo Pereira,Match Report,
9,Thu,2019-10-31,19:45 (22:45),Paços,1–2,Sporting CP,2901,Estádio da Capital do Móvel,Rui Costa,Match Report,
9,Thu,2019-10-31,19:15 (23:15),Santa Clara,1–1,Vitória Setúbal,1632,Estádio de São Miguel,Iancu Vasilica,Match Report,
9,Thu,2019-10-31,20:15 (23:15),Boavista,2–0,Braga,8452,Estádio do Bessa Século XXI,Tiago Martins,Match Report,
10,Sat,2019-11-02,18:00 (21:00),Benfica,2–0,Rio Ave,53579,Estádio do Sport Lisboa e Benfica,Carlos Xistra,Match Report,
10,Sat,2019-11-02,20:30 (23:30),Moreirense,1–1,Vitória,3369,P.D. Comendador Joaquim de Almeida Freit...,João Pinheiro,Match Report,
10,Sun,2019-11-03,15:00 (18:00),Gil Vicente FC,2–0,Marítimo,2479,Estádio Cidade de Barcelos,Tiago Martins,Match Report,
10,Sun,2019-11-03,17:30 (20:30),Tondela,1–0,Sporting CP,4096,Estádio João Cardoso,Fábio Costa,Match Report,
10,Sun,2019-11-03,20:00 (23:00),Porto,1–0,Aves,29205,Estádio Do Dragão,Hélder Malheiro,Match Report,
10,Sun,2019-11-03,20:15 (23:15),Braga,2–2,Famalicão,9285,Estádio Municipal de Braga,Jorge de Sousa,Match Report,
10,Mon,2019-11-04,19:00 (22:00),Belenenses,1–0,Paços,1070,Estádio Nacional,João Bento,Match Report,
10,Mon,2019-11-04,21:00 (00:00),Vitória Setúbal,1–0,Boavista,2681,Estádio do Bonfim,Artur Soares Dias,Match Report,
10,Mon,2019-11-04,21:00 (00:00),Portimonense,1–1,Santa Clara,2266,Estádio do Portimonense SC,Manuel Oliveira,Match Report,
11,Fri,2019-11-08,20:30 (23:30),Aves,1–2,Gil Vicente FC,1281,Estádio Clube Desportivo das Aves,Rui Costa,Match Report,
11,Sat,2019-11-09,15:30 (18:30),Rio Ave,1–0,Vitória Setúbal,1740,Estádio do Rio Ave Futebol Clube,João Pinheiro,Match Report,
11,Sat,2019-11-09,17:00 (21:00),Santa Clara,1–2,Benfica,8309,Estádio de São Miguel,Artur Soares Dias,Match Report,
11,Sat,2019-11-09,20:30 (23:30),Famalicão,3–3,Moreirense,3912,Estádio Municipal 22 de Junho,Tiago Martins,Match Report,
11,Sun,2019-11-10,15:00 (18:00),Paços,1–0,Tondela,2041,Estádio da Capital do Móvel,António Nobre,Match Report,
11,Sun,2019-11-10,15:00 (18:00),Marítimo,1–1,Portimonense,4816,Estádio dos Barreiros,André Narciso,Match Report,
11,Sun,2019-11-10,18:30 (21:30),Sporting CP,2–0,Belenenses,27102,Estádio José Alvalade,Manuel Oliveira,Match Report,
11,Sun,2019-11-10,20:00 (23:00),Vitória,0–2,Braga,24429,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
11,Sun,2019-11-10,21:00 (00:00),Boavista,0–1,Porto,16514,Estádio do Bessa Século XXI,Nuno Almeida,Match Report,
12,Fri,2019-11-29,19:30 (23:30),Santa Clara,1–2,Boavista,2022,Estádio de São Miguel,Rui Oliveira,Match Report,
12,Sat,2019-11-30,15:30 (18:30),Moreirense,3–2,Aves,1869,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,
12,Sat,2019-11-30,18:00 (21:00),Benfica,4–0,Marítimo,52772,Estádio do Sport Lisboa e Benfica,Fábio Veríssimo,Match Report,
12,Sat,2019-11-30,20:30 (23:30),Portimonense,2–1,Famalicão,2714,Estádio do Portimonense SC,Iancu Vasilica,Match Report,
12,Sun,2019-12-01,15:00 (18:00),Tondela,0–1,Belenenses,1413,Estádio João Cardoso,Rui Costa,Match Report,
12,Sun,2019-12-01,17:30 (20:30),Vitória Setúbal,1–1,Vitória,3648,Estádio do Bonfim,Manuel Oliveira,Match Report,
12,Sun,2019-12-01,20:00 (23:00),Gil Vicente FC,3–1,Sporting CP,7009,Estádio Cidade de Barcelos,Hugo Miguel,Match Report,
12,Mon,2019-12-02,18:45 (21:45),Braga,2–0,Rio Ave,7274,Estádio Municipal de Braga,Nuno Almeida,Match Report,
12,Mon,2019-12-02,20:45 (23:45),Porto,2–0,Paços,26215,Estádio Do Dragão,Tiago Martins,Match Report,
13,Fri,2019-12-06,20:30 (23:30),Boavista,1–4,Benfica,18044,Estádio do Bessa Século XXI,Jorge de Sousa,Match Report,
13,Sat,2019-12-07,15:00 (18:00),Marítimo,2–2,Santa Clara,3757,Estádio dos Barreiros,André Narciso,Match Report,
13,Sat,2019-12-07,18:00 (21:00),Famalicão,2–3,Tondela,4021,Estádio Municipal 22 de Junho,João Bento,Match Report,
13,Sat,2019-12-07,20:30 (23:30),Aves,1–0,Braga,1632,Estádio Clube Desportivo das Aves,Rui Costa,Match Report,
13,Sun,2019-12-08,15:00 (18:00),Vitória,2–0,Portimonense,14913,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,
13,Sun,2019-12-08,15:00 (18:00),Paços,2–3,Vitória Setúbal,1757,Estádio da Capital do Móvel,António Nobre,Match Report,
13,Sun,2019-12-08,17:30 (20:30),Sporting CP,1–0,Moreirense,26093,Estádio José Alvalade,Artur Soares Dias,Match Report,
13,Sun,2019-12-08,20:00 (23:00),Belenenses,1–1,Porto,5153,Estádio Nacional,João Pinheiro,Match Report,
13,Mon,2019-12-09,20:15 (23:15),Rio Ave,1–0,Gil Vicente FC,2350,Estádio do Rio Ave Futebol Clube,Manuel Oliveira,Match Report,
14,Fri,2019-12-13,20:30 (23:30),Portimonense,1–1,Rio Ave,1973,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
14,Sat,2019-12-14,15:30 (18:30),Marítimo,1–0,Boavista,4670,Estádio dos Barreiros,João Pinheiro,Match Report,
14,Sat,2019-12-14,18:00 (21:00),Benfica,4–0,Famalicão,51721,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
14,Sat,2019-12-14,20:30 (23:30),Vitória Setúbal,1–0,Aves,3535,Estádio do Bonfim,Vitor Ferreira Fernandes,Match Report,
14,Sun,2019-12-15,15:00 (18:00),Moreirense,2–1,Belenenses,943,P.D. Comendador Joaquim de Almeida Freit...,Gustavo Correia,Match Report,
14,Sun,2019-12-15,17:30 (20:30),Gil Vicente FC,2–2,Vitória,4154,Estádio Cidade de Barcelos,Carlos Xistra,Match Report,
14,Sun,2019-12-15,20:00 (23:00),Braga,0–1,Paços,5909,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
14,Mon,2019-12-16,18:00 (22:00),Santa Clara,0–4,Sporting CP,5282,Estádio de São Miguel,Manuel Mota,Match Report,
14,Mon,2019-12-16,20:15 (23:15),Porto,3–0,Tondela,19829,Estádio Do Dragão,Manuel Oliveira,Match Report,
15,Sat,2020-01-04,15:30 (18:30),Boavista,1–1,Portimonense,9366,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
15,Sat,2020-01-04,15:30 (18:30),Aves,0–1,Santa Clara,1257,Estádio Clube Desportivo das Aves,Iancu Vasilica,Match Report,
15,Sat,2020-01-04,18:00 (21:00),Belenenses,1–7,Braga,3190,Estádio Nacional,Tiago Martins,Match Report,
15,Sat,2020-01-04,20:30 (23:30),Vitória,0–1,Benfica,27291,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,
15,Sun,2020-01-05,15:00 (18:00),Tondela,1–1,Gil Vicente FC,1802,Estádio João Cardoso,António Nobre,Match Report,
15,Sun,2020-01-05,15:00 (18:00),Paços,1–0,Moreirense,2612,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
15,Sun,2020-01-05,15:00 (18:00),Rio Ave,0–1,Marítimo,2168,Estádio do Rio Ave Futebol Clube,Manuel Oliveira,Match Report,
15,Sun,2020-01-05,17:30 (20:30),Sporting CP,1–2,Porto,41247,Estádio José Alvalade,Jorge de Sousa,Match Report,
15,Sun,2020-01-05,20:00 (23:00),Famalicão,3–0,Vitória Setúbal,3845,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
16,Fri,2020-01-10,18:00 (22:00),Santa Clara,0–1,Rio Ave,1663,Estádio de São Miguel,João Pinheiro,Match Report,
16,Fri,2020-01-10,19:00 (22:00),Benfica,2–1,Aves,50760,Estádio do Sport Lisboa e Benfica,Carlos Xistra,Match Report,
16,Fri,2020-01-10,21:15 (00:15),Moreirense,2–4,Porto,3525,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
16,Sat,2020-01-11,15:30 (18:30),Portimonense,0–0,Paços,2452,Estádio do Portimonense SC,Hugo Miguel,Match Report,
16,Sat,2020-01-11,18:00 (21:00),Boavista,0–1,Famalicão,13186,Estádio do Bessa Século XXI,Rui Costa,Match Report,
16,Sat,2020-01-11,20:30 (23:30),Vitória Setúbal,1–3,Sporting CP,5761,Estádio do Bonfim,Tiago Martins,Match Report,
16,Sun,2020-01-12,15:00 (18:00),Gil Vicente FC,2–0,Belenenses,3770,Estádio Cidade de Barcelos,Rui Oliveira,Match Report,
16,Sun,2020-01-12,17:30 (20:30),Marítimo,0–0,Vitória,6320,Estádio dos Barreiros,Luís Godinho,Match Report,
16,Sun,2020-01-12,20:00 (23:00),Braga,2–1,Tondela,9002,Estádio Municipal de Braga,Jorge de Sousa,Match Report,
17,Fri,2020-01-17,19:00 (22:00),Porto,1–2,Braga,35611,Estádio Do Dragão,Carlos Xistra,Match Report,
17,Fri,2020-01-17,21:15 (00:15),Sporting CP,0–2,Benfica,41017,Estádio José Alvalade,Hugo Miguel,Match Report,
17,Sat,2020-01-18,15:30 (18:30),Vitória,1–0,Santa Clara,12813,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,
17,Sat,2020-01-18,15:30 (18:30),Aves,3–0,Portimonense,1778,Estádio Clube Desportivo das Aves,Jorge de Sousa,Match Report,
17,Sat,2020-01-18,18:00 (21:00),Tondela,1–1,Moreirense,1681,Estádio João Cardoso,Vitor Ferreira Fernandes,Match Report,
17,Sat,2020-01-18,20:30 (23:30),Belenenses,0–1,Vitória Setúbal,2012,Estádio Nacional,Cláudio Ruivo Pereira,Match Report,
17,Sun,2020-01-19,15:00 (18:00),Paços,0–0,Gil Vicente FC,3711,Estádio da Capital do Móvel,Manuel Mota,Match Report,
17,Sun,2020-01-19,17:30 (20:30),Famalicão,1–1,Marítimo,4687,Estádio Municipal 22 de Junho,Rui Oliveira,Match Report,
17,Sun,2020-01-19,20:00 (23:00),Rio Ave,2–0,Boavista,2830,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,
18,Sun,2020-01-26,15:00 (18:00),Famalicão,0–1,Santa Clara,4213,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,
18,Sun,2020-01-26,15:00 (18:00),Tondela,0–3,Vitória Setúbal,1744,Estádio João Cardoso,Iancu Vasilica,Match Report,
18,Sun,2020-01-26,15:00 (18:00),Belenenses,2–1,Portimonense,3280,Estádio Nacional,Carlos Xistra,Match Report,
18,Sun,2020-01-26,17:30 (20:30),Paços,0–2,Benfica,9146,Estádio da Capital do Móvel,Manuel Oliveira,Match Report,
18,Sun,2020-01-26,20:00 (23:00),Aves,0–1,Boavista,1526,Estádio Clube Desportivo das Aves,Hugo Miguel,Match Report,
18,Mon,2020-01-27,18:45 (21:45),Vitória,1–2,Rio Ave,9845,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
18,Mon,2020-01-27,21:00 (00:00),Sporting CP,1–0,Marítimo,12798,Estádio José Alvalade,Rui Costa,Match Report,
18,Tue,2020-01-28,20:15 (23:15),Porto,2–1,Gil Vicente FC,18605,Estádio Do Dragão,Rui Oliveira,Match Report,
18,Wed,2020-01-29,20:15 (23:15),Moreirense,1–2,Braga,1711,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,
19,Fri,2020-01-31,19:00 (22:00),Benfica,3–2,Belenenses,45134,Estádio do Sport Lisboa e Benfica,Nuno Almeida,Match Report,
19,Fri,2020-01-31,21:15 (00:15),Rio Ave,2–2,Famalicão,2337,Estádio do Rio Ave Futebol Clube,Artur Soares Dias,Match Report,
19,Sat,2020-02-01,15:30 (18:30),Portimonense,0–1,Tondela,2241,Estádio do Portimonense SC,João Pinheiro,Match Report,
19,Sat,2020-02-01,18:00 (21:00),Vitória Setúbal,0–4,Porto,7390,Estádio do Bonfim,Manuel Mota,Match Report,
19,Sun,2020-02-02,15:00 (18:00),Marítimo,1–2,Aves,5775,Estádio dos Barreiros,Vitor Ferreira Fernandes,Match Report,
19,Sun,2020-02-02,15:00 (18:00),Gil Vicente FC,1–5,Moreirense,4880,Estádio Cidade de Barcelos,Tiago Martins,Match Report,
19,Sun,2020-02-02,16:30 (20:30),Santa Clara,2–1,Paços,1001,Estádio de São Miguel,João Bento,Match Report,
19,Sun,2020-02-02,17:30 (20:30),Braga,1–0,Sporting CP,18379,Estádio Municipal de Braga,Jorge de Sousa,Match Report,
19,Sun,2020-02-02,20:00 (23:00),Boavista,2–0,Vitória,14090,Estádio do Bessa Século XXI,Carlos Xistra,Match Report,
20,Fri,2020-02-07,20:30 (23:30),Paços,0–1,Boavista,3105,Estádio da Capital do Móvel,Luís Godinho,Match Report,
20,Sat,2020-02-08,15:30 (18:30),Belenenses,0–2,Santa Clara,2308,Estádio Nacional,Hélder Malheiro,Match Report,
20,Sat,2020-02-08,15:30 (18:30),Famalicão,0–7,Vitória,4296,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
20,Sat,2020-02-08,18:00 (21:00),Braga,2–2,Gil Vicente FC,13633,Estádio Municipal de Braga,Rui Costa,Match Report,
20,Sat,2020-02-08,20:30 (23:30),Porto,3–2,Benfica,49227,Estádio Do Dragão,Artur Soares Dias,Match Report,
20,Sun,2020-02-09,15:00 (18:00),Moreirense,1–1,Vitória Setúbal,2100,P.D. Comendador Joaquim de Almeida Freit...,Nuno Almeida,Match Report,
20,Sun,2020-02-09,15:00 (18:00),Tondela,0–0,Marítimo,1574,Estádio João Cardoso,André Narciso,Match Report,
20,Sun,2020-02-09,17:30 (20:30),Sporting CP,2–1,Portimonense,28763,Estádio José Alvalade,Hugo Miguel,Match Report,
20,Sun,2020-02-09,20:00 (23:00),Aves,0–4,Rio Ave,1289,Estádio Clube Desportivo das Aves,Manuel Oliveira,Match Report,
21,Fri,2020-02-14,20:30 (23:30),Vitória Setúbal,1–2,Gil Vicente FC,2979,Estádio do Bonfim,Gustavo Correia,Match Report,
21,Sat,2020-02-15,14:30 (18:30),Santa Clara,1–0,Tondela,2215,Estádio de São Miguel,Jorge de Sousa,Match Report,
21,Sat,2020-02-15,15:30 (18:30),Portimonense,1–1,Moreirense,2493,Estádio do Portimonense SC,André Narciso,Match Report,
21,Sat,2020-02-15,18:00 (21:00),Benfica,0–1,Braga,59371,Estádio do Sport Lisboa e Benfica,Hugo Miguel,Match Report,
