Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2011-08-12,,Gil Vicente,2–2,Benfica,,Estádio Cidade de Barcelos,João Ferreira,Match Report,
1,Sat,2011-08-13,,Sporting CP,1–1,Olhanense,,Estádio José Alvalade,Carlos Xistra,Match Report,
1,Sat,2011-08-13,,Rio Ave,0–0,Braga,,Estádio do Rio Ave Futebol Clube,Duarte Gomes,Match Report,
1,Sun,2011-08-14,,Vitória,0–1,Porto,,Estádio Dom Afonso Henriques,Olegário Benquerença,Match Report,
1,Sun,2011-08-14,,Vitória Setúbal,2–1,Paços,,Estádio do Bonfim,João Capela,Match Report,
1,Sun,2011-08-14,,Feirense,0–0,Nacional,,Estádio Municipal de Aveiro,Jorge Sousa,Match Report,
1,Sun,2011-08-14,,Marítimo,0–0,Beira-Mar,,Estádio dos Barreiros,Hugo Miguel,Match Report,
1,Mon,2011-08-15,,União de Leiria,1–2,Académica,,Estádio Municipal da Marinha Grande,Cosme Machado,Match Report,
2,Fri,2011-08-19,,Porto,3–1,Gil Vicente,,Estádio Do Dragão,Rui Silva,Match Report,
2,Sat,2011-08-20,,Benfica,3–1,Feirense,,Estádio do Sport Lisboa e Benfica,Hugo Pacheco,Match Report,
2,Sun,2011-08-21,,Académica,1–0,Rio Ave,,Estádio EFAPEL,Hélder Malheiro,Match Report,
2,Sun,2011-08-21,,Braga,2–0,Marítimo,,Estádio Municipal de Braga,Artur Soares Dias,Match Report,
2,Sun,2011-08-21,,Beira-Mar,0–0,Sporting CP,,Estádio Municipal de Aveiro,João Ferreira,Match Report,
2,Sun,2011-08-21,,Paços,2–1,União de Leiria,,Estádio da Capital do Móvel,Manuel Mota,Match Report,
2,Mon,2011-08-22,,Olhanense,2–2,Vitória Setúbal,,Estádio José Arcanjo,Jorge Ferreira,Match Report,
3,Sat,2011-08-27,,Gil Vicente,2–0,Académica,,Estádio Cidade de Barcelos,Olegário Benquerença,Match Report,
3,Sun,2011-08-28,,Vitória,0–3,Beira-Mar,,Estádio Dom Afonso Henriques,Vasco Santos,Match Report,
3,Sun,2011-08-28,,Feirense,0–0,Paços,,Estádio Municipal de Aveiro,Cosme Machado,Match Report,
3,Sun,2011-08-28,,Sporting CP,2–3,Marítimo,,Estádio José Alvalade,Pedro Proença,Match Report,
3,Sun,2011-08-28,,Rio Ave,0–1,Olhanense,,Estádio do Rio Ave Futebol Clube,Jorge Sousa,Match Report,
3,Mon,2011-08-29,,Nacional,0–2,Benfica,,Estádio da Madeira,Artur Soares Dias,Match Report,
3,Mon,2011-08-29,,Vitória Setúbal,0–1,Braga,,Estádio do Bonfim,Hugo Miguel,Match Report,
2,Sun,2011-09-04,,Nacional,1–4,Vitória,,Estádio da Madeira,Paulo Baptista,Match Report,
3,Tue,2011-09-06,,União de Leiria,2–5,Porto,,Estádio Municipal da Marinha Grande,João Capela,Match Report,
4,Fri,2011-09-09,,Porto,3–0,Vitória Setúbal,,Estádio Do Dragão,Marco Ferreira,Match Report,
4,Sat,2011-09-10,,Paços,2–3,Sporting CP,,Estádio da Capital do Móvel,Paulo Baptista,Match Report,
4,Sat,2011-09-10,,Benfica,2–1,Vitória,,Estádio do Sport Lisboa e Benfica,Vasco Santos,Match Report,
4,Sun,2011-09-11,,Olhanense,1–2,Feirense,,Estádio José Arcanjo,João Ferreira,Match Report,
4,Sun,2011-09-11,,Marítimo,2–1,Rio Ave,,Estádio dos Barreiros,Bruno Esteves,Match Report,
4,Sun,2011-09-11,,Beira-Mar,0–1,União de Leiria,,Estádio Municipal de Aveiro,Jorge Ferreira,Match Report,
4,Sun,2011-09-11,,Braga,3–1,Gil Vicente,,Estádio Municipal de Braga,Rui Costa,Match Report,
4,Mon,2011-09-12,,Académica,4–0,Nacional,,Estádio EFAPEL,Bruno Paixão,Match Report,
5,Fri,2011-09-16,,Gil Vicente,1–1,Olhanense,,Estádio Cidade de Barcelos,Paulo Baptista,Match Report,
5,Sat,2011-09-17,,Nacional,1–0,Paços,,Estádio da Madeira,Rui Costa,Match Report,
5,Sun,2011-09-18,,Vitória Setúbal,1–0,Beira-Mar,,Estádio do Bonfim,Manuel Mota,Match Report,
5,Sun,2011-09-18,,União de Leiria,1–3,Marítimo,,Estádio Municipal da Marinha Grande,Jorge Sousa,Match Report,
5,Sun,2011-09-18,,Benfica,4–1,Académica,,Estádio do Sport Lisboa e Benfica,Vasco Santos,Match Report,
5,Sun,2011-09-18,,Feirense,0–0,Porto,,Estádio Municipal de Aveiro,Bruno Esteves,Match Report,
5,Mon,2011-09-19,,Vitória,1–1,Braga,,Estádio Dom Afonso Henriques,Pedro Proença,Match Report,
5,Mon,2011-09-19,,Rio Ave,2–3,Sporting CP,,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
6,Fri,2011-09-23,,Porto,2–2,Benfica,,Estádio Do Dragão,Jorge Sousa,Match Report,
6,Sat,2011-09-24,,Sporting CP,3–0,Vitória Setúbal,,Estádio José Alvalade,Cosme Machado,Match Report,
6,Sat,2011-09-24,,Braga,2–0,Nacional,,Estádio Municipal de Braga,Carlos Xistra,Match Report,
6,Sun,2011-09-25,,Beira-Mar,0–0,Rio Ave,,Estádio Municipal de Aveiro,Nuno Almeida,Match Report,
6,Sun,2011-09-25,,Marítimo,2–1,Vitória,,Estádio dos Barreiros,João Capela,Match Report,
6,Sun,2011-09-25,,Olhanense,2–1,União de Leiria,,Estádio José Arcanjo,Bruno Paixão,Match Report,
6,Sun,2011-09-25,,Paços,1–2,Gil Vicente,,Estádio da Capital do Móvel,Hugo Pacheco,Match Report,
6,Mon,2011-09-26,,Académica,4–0,Feirense,,Estádio EFAPEL,Marco Ferreira,Match Report,
7,Fri,2011-09-30,,Vitória Setúbal,2–1,Rio Ave,,Estádio do Bonfim,Pedro Proença,Match Report,
7,Sat,2011-10-01,,Benfica,4–1,Paços,,Estádio do Sport Lisboa e Benfica,Bruno Esteves,Match Report,
7,Sun,2011-10-02,,Vitória,0–1,Sporting CP,,Estádio Dom Afonso Henriques,Bruno Paixão,Match Report,
7,Sun,2011-10-02,,Feirense,2–2,Marítimo,,Estádio Municipal de Aveiro,Manuel Mota,Match Report,
7,Sun,2011-10-02,,União de Leiria,1–0,Braga,,Estádio Municipal da Marinha Grande,Marco Ferreira,Match Report,
7,Sun,2011-10-02,,Académica,0–3,Porto,,Estádio EFAPEL,Paulo Baptista,Match Report,
7,Sun,2011-10-02,,Nacional,1–0,Olhanense,,Estádio da Madeira,Jorge Tavares,Match Report,
