Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2018-08-10,20:30 (22:30),Benfica,3–2,Vitória,55219,Estádio do Sport Lisboa e Benfica,João Pinheiro,Match Report,
1,Sat,2018-08-11,16:30 (18:30),Vitória Setúbal,2–0,Aves,5182,Estádio do Bonfim,Hélder Malheiro,Match Report,
1,Sat,2018-08-11,19:00 (21:00),Tondela,0–1,Belenenses,2010,Estádio João Cardoso,Luís Godinho,Match Report,
1,Sat,2018-08-11,21:00 (23:00),Porto,5–0,Chaves,46509,Estádio Do Dragão,Nuno Almeida,Match Report,
1,Sun,2018-08-12,16:00 (18:00),Feirense,2–0,Rio Ave,2646,Estádio Marcolino de Castro,António Nobre,Match Report,
1,Sun,2018-08-12,16:00 (18:00),Marítimo,1–0,Santa Clara,5893,Estádio dos Barreiros,Anzhony Rodrigues,Match Report,
1,Sun,2018-08-12,18:30 (20:30),Moreirense,1–3,Sporting CP,4886,P.D. Comendador Joaquim de Almeida Freit...,Tiago Martins,Match Report,
1,Sun,2018-08-12,20:30 (22:30),Braga,4–2,Nacional,12387,Estádio Municipal de Braga,Carlos Xistra,Match Report,
1,Mon,2018-08-13,20:15 (22:15),Portimonense,0–2,Boavista,3990,Estádio do Portimonense SC,João Santos Capela,Match Report,
2,Fri,2018-08-17,20:30 (22:30),Aves,2–2,Tondela,1872,Estádio Clube Desportivo das Aves,Artur Soares Dias,Match Report,
2,Sat,2018-08-18,16:30 (18:30),Chaves,2–0,Portimonense,5240,Estádio Municipal Eng. Manuel Branco Tei...,André Narciso,Match Report,
2,Sat,2018-08-18,19:00 (21:00),Boavista,0–2,Benfica,15189,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
2,Sat,2018-08-18,21:00 (23:00),Sporting CP,2–1,Vitória Setúbal,40611,Estádio José Alvalade,Manuel Oliveira,Match Report,
2,Sun,2018-08-19,16:00 (18:00),Rio Ave,3–1,Marítimo,12234,Estádio do Rio Ave Futebol Clube,Vitor Ferreira Fernandes,Match Report,
2,Sun,2018-08-19,16:00 (18:00),Nacional,1–2,Moreirense,2491,Estádio da Madeira,António Nobre,Match Report,
2,Sun,2018-08-19,18:30 (20:30),Belenenses,2–3,Porto,10901,Estádio Nacional,Carlos Xistra,Match Report,
2,Sun,2018-08-19,19:30 (22:30),Santa Clara,3–3,Braga,3915,Estádio de São Miguel,Rui Oliveira,Match Report,
2,Mon,2018-08-20,20:15 (22:15),Vitória,0–1,Feirense,1872,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
3,Fri,2018-08-24,20:30 (22:30),Marítimo,2–1,Chaves,5398,Estádio dos Barreiros,Tiago Martins,Match Report,
3,Sat,2018-08-25,16:30 (18:30),Portimonense,2–2,Santa Clara,2185,Estádio do Portimonense SC,João Pinheiro,Match Report,
3,Sat,2018-08-25,19:00 (21:00),Benfica,1–1,Sporting CP,60486,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,
3,Sat,2018-08-25,21:00 (23:00),Porto,2–3,Vitória,47008,Estádio Do Dragão,Fábio Costa,Match Report,
3,Sun,2018-08-26,16:00 (18:00),Feirense,1–1,Boavista,3711,Estádio Marcolino de Castro,Rui Costa,Match Report,
3,Sun,2018-08-26,16:00 (18:00),Vitória Setúbal,1–2,Nacional,5690,Estádio do Bonfim,Cláudio Ruivo Pereira,Match Report,
3,Sun,2018-08-26,18:30 (20:30),Tondela,1–1,Rio Ave,2045,Estádio João Cardoso,Manuel Mota,Match Report,
3,Sun,2018-08-26,20:30 (22:30),Braga,3–1,Aves,10103,Estádio Municipal de Braga,Manuel Oliveira,Match Report,
3,Mon,2018-08-27,20:15 (22:15),Moreirense,1–1,Belenenses,1400,P.D. Comendador Joaquim de Almeida Freit...,Rui Oliveira,Match Report,
4,Fri,2018-08-31,19:00 (21:00),Chaves,0–1,Braga,5983,Estádio Municipal Eng. Manuel Branco Tei...,Luís Godinho,Match Report,
4,Fri,2018-08-31,21:15 (23:15),Vitória,1–0,Tondela,20128,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,
4,Sat,2018-09-01,16:30 (18:30),Belenenses,0–0,Vitória Setúbal,1449,Estádio Nacional,Manuel Mota,Match Report,
4,Sat,2018-09-01,18:00 (21:00),Santa Clara,4–2,Boavista,4448,Estádio de São Miguel,António Nobre,Match Report,
4,Sat,2018-09-01,21:00 (23:00),Sporting CP,1–0,Feirense,38688,Estádio José Alvalade,Rui Oliveira,Match Report,
4,Sun,2018-09-02,16:00 (18:00),Rio Ave,2–1,Portimonense,2539,Estádio do Rio Ave Futebol Clube,Artur Soares Dias,Match Report,
4,Sun,2018-09-02,16:00 (18:00),Aves,0–1,Marítimo,1272,Estádio Clube Desportivo das Aves,João Pinheiro,Match Report,
4,Sun,2018-09-02,18:30 (20:30),Nacional,0–4,Benfica,4793,Estádio da Madeira,Fábio Costa,Match Report,
4,Sun,2018-09-02,20:30 (22:30),Porto,3–0,Moreirense,43316,Estádio Do Dragão,Hélder Malheiro,Match Report,
5,Fri,2018-09-21,20:30 (22:30),Boavista,1–2,Chaves,4565,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
5,Sat,2018-09-22,15:30 (18:30),Santa Clara,1–3,Rio Ave,3199,Estádio de São Miguel,João Santos Capela,Match Report,
5,Sat,2018-09-22,19:00 (21:00),Marítimo,0–0,Belenenses,6137,Estádio dos Barreiros,Hugo Miguel,Match Report,
5,Sat,2018-09-22,21:00 (23:00),Vitória Setúbal,0–2,Porto,10628,Estádio do Bonfim,Manuel Oliveira,Match Report,
5,Sun,2018-09-23,16:00 (18:00),Tondela,2–0,Moreirense,1710,Estádio João Cardoso,Tiago Martins,Match Report,
5,Sun,2018-09-23,16:00 (18:00),Feirense,0–0,Nacional,3178,Estádio Marcolino de Castro,Nuno Almeida,Match Report,
5,Sun,2018-09-23,18:30 (20:30),Benfica,2–0,Aves,53606,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
5,Sun,2018-09-23,20:30 (22:30),Portimonense,3–2,Vitória,3129,Estádio do Portimonense SC,Luís Godinho,Match Report,
5,Mon,2018-09-24,20:15 (22:15),Braga,1–0,Sporting CP,16038,Estádio Municipal de Braga,Artur Soares Dias,Match Report,
6,Thu,2018-09-27,20:15 (22:15),Chaves,2–2,Benfica,7783,Estádio Municipal Eng. Manuel Branco Tei...,João Santos Capela,Match Report,
6,Fri,2018-09-28,20:30 (22:30),Porto,1–0,Tondela,40011,Estádio Do Dragão,Luís Godinho,Match Report,
6,Sat,2018-09-29,16:30 (18:30),Moreirense,1–0,Feirense,1551,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
6,Sat,2018-09-29,19:00 (21:00),Rio Ave,2–1,Boavista,3099,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
6,Sat,2018-09-29,21:00 (23:00),Sporting CP,2–0,Marítimo,35238,Estádio José Alvalade,Nuno Almeida,Match Report,
6,Sun,2018-09-30,16:00 (18:00),Nacional,0–3,Santa Clara,2427,Estádio da Madeira,Manuel Mota,Match Report,
6,Sun,2018-09-30,18:30 (20:30),Vitória,1–1,Vitória Setúbal,17920,Estádio Dom Afonso Henriques,António Nobre,Match Report,
6,Sun,2018-09-30,20:30 (22:30),Belenenses,0–3,Braga,2237,Estádio Nacional,Fábio Costa,Match Report,
6,Mon,2018-10-01,20:15 (22:15),Aves,3–0,Portimonense,1911,Estádio Clube Desportivo das Aves,João Pinto,Match Report,
7,Fri,2018-10-05,15:30 (17:30),Tondela,1–1,Nacional,1549,Estádio João Cardoso,André Narciso,Match Report,
7,Fri,2018-10-05,17:00 (20:00),Santa Clara,1–0,Chaves,3431,Estádio de São Miguel,Cláudio Ruivo Pereira,Match Report,
7,Fri,2018-10-05,20:30 (22:30),Feirense,0–0,Belenenses,3469,Estádio Marcolino de Castro,João Pinheiro,Match Report,
7,Sat,2018-10-06,15:30 (17:30),Vitória Setúbal,3–0,Moreirense,2914,Estádio do Bonfim,Luís Godinho,Match Report,
7,Sat,2018-10-06,18:00 (20:00),Marítimo,1–3,Vitória,5674,Estádio dos Barreiros,Manuel Oliveira,Match Report,
7,Sat,2018-10-06,20:30 (22:30),Braga,1–1,Rio Ave,12645,Estádio Municipal de Braga,Tiago Martins,Match Report,
7,Sun,2018-10-07,15:00 (17:00),Boavista,1–0,Aves,4331,Estádio do Bessa Século XXI,Vitor Ferreira Fernandes,Match Report,
7,Sun,2018-10-07,17:30 (19:30),Benfica,1–0,Porto,61567,Estádio do Sport Lisboa e Benfica,Fábio Costa,Match Report,
