Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2016-08-12,20:30 (22:30),Rio Ave,1–3,Porto,8357,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,
1,Sat,2016-08-13,16:00 (18:00),Moreirense,1–1,Paços,2058,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,
1,Sat,2016-08-13,18:15 (20:15),Sporting CP,2–0,Marítimo,42577,Estádio José Alvalade,Carlos Taborda Xistra,Match Report,
1,Sat,2016-08-13,20:30 (22:30),Tondela,0–2,Benfica,4973,Estádio João Cardoso,João Pedro Pinheiro,Match Report,
1,Sun,2016-08-14,16:00 (18:00),Boavista,2–0,Arouca,4287,Estádio do Bessa Século XXI,Bruno Duarte Paixão,Match Report,
1,Sun,2016-08-14,18:00 (20:00),Vitória Setúbal,2–0,Belenenses,3303,Estádio do Bonfim,Nuno Miguel Serrano Almeida,Match Report,
1,Sun,2016-08-14,20:15 (22:15),Vitória,0–1,Braga,20859,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
1,Mon,2016-08-15,20:00 (22:00),Estoril,0–2,Feirense,5083,Estádio António Coimbra da Mota,Luís Godinho,Match Report,
2,Fri,2016-08-19,20:30 (22:30),Belenenses,0–0,Boavista,1309,Estádio do Restelo,Manuel Mota,Match Report,
2,Sat,2016-08-20,11:45 (13:45),Marítimo,0–2,Vitória,5922,Estádio dos Barreiros,Fábio Costa,Match Report,
2,Sat,2016-08-20,16:00 (18:00),Chaves,1–1,Tondela,4574,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,
2,Sat,2016-08-20,18:15 (20:15),Paços,0–1,Sporting CP,6271,Estádio da Capital do Móvel,Hugo Miguel,Match Report,
2,Sat,2016-08-20,20:30 (22:30),Porto,1–0,Estoril,36210,Estádio Do Dragão,Luís Ferreira,Match Report,
2,Sun,2016-08-21,16:00 (18:00),Feirense,0–3,Moreirense,2721,Estádio Marcolino de Castro,João Pedro Pinheiro,Match Report,
2,Sun,2016-08-21,18:00 (20:00),Arouca,2–0,Nacional,1136,Estádio Municipal de Arouca,João Santos Capela,Match Report,
2,Sun,2016-08-21,20:15 (22:15),Benfica,1–1,Vitória Setúbal,56351,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
2,Mon,2016-08-22,20:00 (22:00),Braga,1–1,Rio Ave,11328,Estádio Municipal de Braga,Tiago Martins,Match Report,
3,Fri,2016-08-26,20:30 (22:30),Vitória,5–3,Paços,14212,Estádio Dom Afonso Henriques,Bruno Alexandre Da Silva Esteves,Match Report,
3,Sat,2016-08-27,16:00 (18:00),Tondela,0–1,Belenenses,1454,Estádio João Cardoso,Jorge de Sousa,Match Report,
3,Sat,2016-08-27,18:15 (20:15),Estoril,1–3,Braga,1785,Estádio António Coimbra da Mota,Nuno Miguel Serrano Almeida,Match Report,
3,Sat,2016-08-27,20:30 (22:30),Nacional,1–3,Benfica,5017,Estádio da Madeira,Artur Soares Dias,Match Report,
3,Sun,2016-08-28,16:00 (18:00),Boavista,2–2,Chaves,5021,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
3,Sun,2016-08-28,16:00 (18:00),Moreirense,0–1,Marítimo,949,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,
3,Sun,2016-08-28,18:00 (20:00),Sporting CP,2–1,Porto,49399,Estádio José Alvalade,Tiago Martins,Match Report,
3,Sun,2016-08-28,20:15 (22:15),Rio Ave,1–0,Feirense,2268,Estádio do Rio Ave Futebol Clube,João Santos Capela,Match Report,
3,Sun,2016-08-28,21:00 (23:00),Vitória Setúbal,2–0,Arouca,2223,Estádio do Bonfim,José Oliveira,Match Report,
1,Sun,2016-09-04,16:00 (18:00),Nacional,0–1,Chaves,1705,Estádio da Madeira,Tiago Martins,Match Report,
4,Fri,2016-09-09,20:30 (22:30),Arouca,1–2,Benfica,5351,Estádio Municipal de Arouca,Fábio Costa,Match Report,
4,Sat,2016-09-10,16:00 (18:00),Belenenses,2–1,Nacional,1777,Estádio do Restelo,Carlos Taborda Xistra,Match Report,
4,Sat,2016-09-10,18:15 (20:15),Sporting CP,3–0,Moreirense,44393,Estádio José Alvalade,Nuno Miguel Serrano Almeida,Match Report,
4,Sat,2016-09-10,20:30 (22:30),Porto,3–0,Vitória,40105,Estádio Do Dragão,Jorge de Sousa,Match Report,
4,Sun,2016-09-11,11:45 (13:45),Paços,0–0,Estoril,2577,Estádio da Capital do Móvel,Jorge Ferreira,Match Report,
4,Sun,2016-09-11,16:00 (18:00),Marítimo,0–1,Rio Ave,4150,Estádio dos Barreiros,Rui Costa,Match Report,
4,Sun,2016-09-11,18:00 (20:00),Braga,3–0,Boavista,10824,Estádio Municipal de Braga,Artur Soares Dias,Match Report,
4,Sun,2016-09-11,20:15 (22:15),Chaves,0–0,Vitória Setúbal,1885,Estádio Municipal Eng. Manuel Branco Tei...,Tiago Antunes,Match Report,
4,Mon,2016-09-12,20:00 (22:00),Feirense,2–1,Tondela,2931,Estádio Marcolino de Castro,João Pedro Mendes,Match Report,
5,Fri,2016-09-16,20:30 (22:30),Nacional,2–0,Marítimo,2776,Estádio da Madeira,Bruno Duarte Paixão,Match Report,
5,Sat,2016-09-17,16:00 (18:00),Estoril,2–0,Moreirense,1243,Estádio António Coimbra da Mota,Gonçalo Martins,Match Report,
5,Sat,2016-09-17,18:15 (20:15),Vitória Setúbal,1–4,Paços,2211,Estádio do Bonfim,Manuel Mota,Match Report,
5,Sat,2016-09-17,20:30 (22:30),Vitória,1–1,Belenenses,12953,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,
5,Sun,2016-09-18,16:00 (18:00),Arouca,0–1,Chaves,740,Estádio Municipal de Arouca,Luís Ferreira,Match Report,
5,Sun,2016-09-18,16:00 (18:00),Boavista,1–2,Feirense,4756,Estádio do Bessa Século XXI,Bruno Alexandre Da Silva Esteves,Match Report,
5,Sun,2016-09-18,18:00 (20:00),Tondela,0–0,Porto,3390,Estádio João Cardoso,Hugo Miguel,Match Report,
