Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2,Fri,2014-08-08,20:45,Al-Ittihad,2–1,Al-Faisaly,11499,King Abdul Aziz Stadium,Abdulrahman Al Amri,Match Report,
2,Fri,2014-08-08,20:45,Al-Hilal,4–1,Al-Orobah,13844,King Fahd International Stadium,Abdulrahman Al Amri,Match Report,
1,Wed,2014-08-13,20:50,Al-Ittihad,1–0,Al-Fateh,58896,Prince Abdullah bin Abdul Aziz Stadium,Abdulaziz Al Funaitel,Match Report,
1,Wed,2014-08-13,20:50,Al-Shoulla,1–3,Al-Hilal,3864,Al-Shoalah Club Stadium,Marai Al Awaji,Match Report,
1,Fri,2014-08-15,19:40,Al-Orobah,4–3,Al-Taawoun,4600,Al Orubah Club Stadium,Mohammed Al Qorany,Match Report,
1,Fri,2014-08-15,20:50,Al-Faisaly,1–0,Al-Raed,361,Al Majma'ah Sport City,Shukri Al Hunfush,Match Report,
1,Fri,2014-08-15,21:18,Al-Nassr,4–1,Najran,35000,King Fahd International Stadium,Saleh Al Hathlool,Match Report,
1,Sat,2014-08-16,20:50,Al-Shabab,2–0,Al-Khaleej,2250,King Fahd International Stadium,Mohammed Al Nuhait,Match Report,
1,Sat,2014-08-16,20:50,Al-Ahli,6–1,Hajer,58000,Prince Abdullah bin Abdul Aziz Stadium,Turki Al Khudayr,Match Report,
2,Fri,2014-08-22,18:50,Al-Khaleej,1–1,Al-Shoulla,765,Prince Mohamed bin Fahd Stadium,Mashari Al Mashari,Match Report,
2,Fri,2014-08-22,18:50,Hajer,2–0,Al-Taawoun,199,Prince Abdullah bin Jalawi Stadium,Abdulaziz Al Funaitel,Match Report,
2,Sat,2014-08-23,20:45,Al-Raed,1–2,Al-Nassr,6069,Prince Abdullah bin Abdul Aziz Stadium,Marai Al Awaji,Match Report,
2,Sat,2014-08-23,20:45,Al-Fateh,0–2,Al-Shabab,1176,Prince Abdullah bin Jalawi Stadium,Abdulrahman Al Amri,Match Report,
2,Sat,2014-08-23,20:45,Najran,1–1,Al-Ahli,4200,Al-Ukhdood Stadium,Mohammed Al Hoish,Match Report,
3,Fri,2014-08-29,18:45,Al-Fateh,1–2,Al-Faisaly,800,Prince Abdullah bin Jalawi Stadium,Turki Al Khudayr,Match Report,
3,Fri,2014-08-29,20:40,Al-Shabab,2–0,Hajer,1333,King Fahd International Stadium,Saleh Al Hathlool,Match Report,
3,Sat,2014-08-30,19:25,Al-Orobah,2–1,Al-Raed,2916,Al Orubah Club Stadium,Abdulaziz Al Funaitel,Match Report,
3,Sat,2014-08-30,20:40,Al-Khaleej,0–1,Al-Nassr,5000,Prince Mohamed bin Fahd Stadium,Mohammed Al Qorany,Match Report,
3,Sat,2014-08-30,20:40,Al-Taawoun,0–0,Najran,357,Prince Abdullah bin Abdul Aziz Stadium,Marai Al Awaji,Match Report,
3,Sun,2014-08-31,18:55,Al-Shoulla,1–3,Al-Ittihad,4500,Al-Shoalah Club Stadium,Fahad Al Mirdasi,Match Report,
3,Sun,2014-08-31,20:40,Al-Hilal,0–0,Al-Ahli,17069,King Fahd International Stadium,Abdulrahman Al Amri,Match Report,
4,Thu,2014-09-11,18:45,Al-Faisaly,2–0,Hajer,275,Al Majma'ah Sport City,Abdelrahman Al Malki,Match Report,
4,Thu,2014-09-11,20:25,Al-Raed,0–0,Al-Taawoun,2531,Prince Abdullah bin Abdul Aziz Stadium,Shukri Al Hunfush,Match Report,
4,Fri,2014-09-12,20:25,Al-Hilal,2–1,Najran,17000,Al-Ukhdood Stadium,Turki Al Khudayr,Match Report,
4,Fri,2014-09-12,20:25,Al-Ittihad,2–1,Al-Orobah,43744,King Abdullah Sports City,Mohammed Al Nuhait,Match Report,
4,Fri,2014-09-12,20:25,Al-Shabab,2–1,Al-Shoulla,1159,Prince Faisal bin Fahd Stadium,Fahad Al Oraini,Match Report,
4,Sat,2014-09-13,20:25,Al-Nassr,4–2,Al-Fateh,9164,King Fahd International Stadium,Abdulaziz Al Funaitel,Match Report,
4,Sat,2014-09-13,20:25,Al-Ahli,2–1,Al-Khaleej,19626,Prince Abdullah bin Abdul Aziz Stadium,Khalid Al Turais,Match Report,
5,Wed,2014-09-17,18:20,Hajer,2–1,Al-Raed,160,Prince Abdullah bin Jalawi Stadium,Abdulrahman Al Amri,Match Report,
5,Wed,2014-09-17,19:00,Al-Orobah,1–1,Al-Faisaly,1859,Al Orubah Club Stadium,Fahad Al Mirdasi,Match Report,
5,Wed,2014-09-17,20:20,Al-Ahli,0–0,Al-Shabab,26183,Prince Abdullah bin Abdul Aziz Stadium,Turki Al Khudayr,Match Report,
5,Thu,2014-09-18,20:20,Al-Taawoun,1–2,Al-Fateh,4800,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Al Qorany,Match Report,
5,Thu,2014-09-18,20:20,Al-Shoulla,1–2,Al-Nassr,2450,Al-Shoalah Club Stadium,Tamás Bognár,Match Report,
5,Fri,2014-09-19,20:20,Al-Hilal,3–0,Al-Khaleej,10564,Prince Faisal bin Fahd Stadium,Mohammed Al Hoish,Match Report,
5,Fri,2014-09-19,20:20,Najran,1–2,Al-Ittihad,1920,Al-Ukhdood Stadium,Saleh Al Hathlool,Match Report,
6,Wed,2014-09-24,20:15,Al-Fateh,1–2,Al-Hilal,10560,Prince Abdullah bin Jalawi Stadium,Saleh Al Hathlool,Match Report,
6,Fri,2014-09-26,20:15,Al-Raed,0–1,Al-Ittihad,4154,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Al Qorany,Match Report,
6,Sat,2014-09-27,18:25,Al-Shoulla,0–2,Al-Ahli,1649,Al-Shoalah Club Stadium,Shukri Al Hunfush,Match Report,
6,Sat,2014-09-27,18:30,Al-Faisaly,2–2,Al-Taawoun,183,Al Majma'ah Sport City,Mashari Al Mashari,Match Report,
6,Sat,2014-09-27,20:15,Al-Shabab,2–1,Najran,835,Prince Faisal bin Fahd Stadium,Mashari Al Mashari,Match Report,
6,Sun,2014-09-28,18:10,Al-Khaleej,2–2,Hajer,500,King Fahd International Stadium,Fahad Al Mirdasi,Match Report,
6,Sun,2014-09-28,20:15,Al-Nassr,2–1,Al-Orobah,11008,Prince Mohamed bin Fahd Stadium,Fahad Al Oraini,Match Report,
7,Thu,2014-10-16,17:50,Hajer,1–0,Al-Orobah,420,Prince Abdullah bin Jalawi Stadium,Khalid Al Turais,Match Report,
7,Thu,2014-10-16,18:20,Najran,0–1,Al-Faisaly,670,Al-Ukhdood Stadium,Abdulrahim Al Shammari,Match Report,
7,Thu,2014-10-16,19:55,Al-Taawoun,3–0,Al-Shoulla,400,Prince Abdullah bin Abdul Aziz Stadium,Marai Al Awaji,Match Report,
7,Fri,2014-10-17,17:50,Al-Fateh,3–2,Al-Raed,510,Prince Abdullah bin Jalawi Stadium,Fahad Al Oraini,Match Report,
7,Fri,2014-10-17,19:55,Al-Hilal,0–1,Al-Shabab,16721,Prince Faisal bin Fahd Stadium,Marcin Borski,Match Report,
7,Fri,2014-10-17,19:55,Al-Ittihad,2–1,Al-Khaleej,36515,King Abdullah Sports City,Abdulrahman Al Sultan,Match Report,
7,Sat,2014-10-18,19:55,Al-Ahli,2–1,Al-Nassr,60010,Prince Abdullah bin Abdul Aziz Stadium,Sascha Amhof,Match Report,
8,Fri,2014-10-24,17:45,Hajer,0–3,Najran,1228,Prince Abdullah bin Jalawi Stadium,Abdulrahman Al Amri,Match Report,
8,Fri,2014-10-24,18:30,Al-Orobah,2–2,Al-Khaleej,3749,Al Orubah Club Stadium,Abdelrahman Al Malki,Match Report,
8,Fri,2014-10-24,19:50,Al-Faisaly,1–3,Al-Shabab,586,Al Majma'ah Sport City,Khaled Salwi,Match Report,
8,Sat,2014-10-25,18:00,Al-Shoulla,1–0,Al-Fateh,400,Al-Shoalah Club Stadium,Abdulaziz Al Funaitel,Match Report,
8,Sat,2014-10-25,19:50,Al-Raed,2–4,Al-Ahli,489,Prince Abdullah bin Abdul Aziz Stadium,Marai Al Awaji,Match Report,
8,Sat,2014-10-25,20:00,Al-Nassr,2–1,Al-Ittihad,13360,King Fahd International Stadium,Stavros Tritsonis,Match Report,
9,Thu,2014-10-30,17:35,Al-Khaleej,2–2,Al-Fateh,155,Prince Mohamed bin Fahd Stadium,Marai Al Awaji,Match Report,
9,Thu,2014-10-30,19:45,Al-Shabab,0–0,Al-Raed,1344,Prince Faisal bin Fahd Stadium,Mohammed Al Qorany,Match Report,
9,Thu,2014-10-30,19:45,Al-Taawoun,0–1,Al-Nassr,5975,Prince Abdullah bin Abdul Aziz Stadium,Shukri Al Hunfush,Match Report,
9,Thu,2014-10-30,19:45,Al-Ahli,2–0,Al-Orobah,29968,King Abdullah Sports City,Abdulrahman Al Amri,Match Report,
9,Fri,2014-10-31,18:10,Najran,3–1,Al-Shoulla,510,Al-Ukhdood Stadium,Fahad Al Oraini,Match Report,
9,Fri,2014-10-31,19:45,Al-Ittihad,0–1,Hajer,47300,King Abdullah Sports City,Turki Al Khudayr,Match Report,
10,Sat,2014-11-29,14:55,Al-Fateh,2–1,Najran,14200,Prince Abdullah bin Jalawi Stadium,Mohammed Al Qorany,Match Report,
10,Sat,2014-11-29,15:05,Al-Shoulla,0–0,Al-Orobah,500,Al-Shoalah Club Stadium,Mohammed Al Nuhait,Match Report,
