Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Thu,2017-08-10,19:00,Al-Fateh,1–4,Al-Taawoun,1814,Prince Abdullah bin Jalawi Stadium,Sultan Al Harbi,Match Report,
1,Thu,2017-08-10,20:55,Al-Hilal,2–1,Al-Fayha,9765,King Fahd International Stadium,Turki Al Khudayr,Match Report,
1,Fri,2017-08-11,19:00,Al-Qadsiah,2–1,Al-Raed,655,Prince Saud bin Jalawi Stadium,Shukri Al Hunfush,Match Report,
1,Fri,2017-08-11,20:55,Al-Ittihad,1–3,Al-Batin,17018,King Abdullah Sports City,Fahad Al Mirdasi,Match Report,
1,Fri,2017-08-11,20:55,Al-Ettifaq,2–1,Al-Ahli,3722,Prince Mohamed bin Fahd Stadium,Khalid Al Turais,Match Report,
1,Sat,2017-08-12,19:10,Al-Shabab,1–2,Ohod,1034,Prince Faisal bin Fahd Stadium,Mohammed Al Hoish,Match Report,
1,Sat,2017-08-12,20:55,Al-Faisaly,1–3,Al-Nassr,892,Al Majma'ah Sport City,Abdulrahman Al Sultan,Match Report,
2,Tue,2017-08-15,20:50,Al-Taawoun,3–4,Al-Hilal,8084,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Al Hoish,Match Report,
2,Thu,2017-08-17,19:20,Al-Raed,2–3,Al-Faisaly,2191,Prince Abdullah bin Abdul Aziz Stadium,Fahad Al Mirdasi,Match Report,
2,Thu,2017-08-17,20:50,Al-Ahli,4–0,Al-Fateh,11980,King Abdullah Sports City,Abdulrahman Al Sultan,Match Report,
2,Fri,2017-08-18,19:15,Al-Batin,2–0,Ohod,3967,Al-Batin FC Stadium,Mohammed Al Qorany,Match Report,
2,Fri,2017-08-18,20:50,Al-Nassr,2–2,Al-Ettifaq,7884,King Fahd International Stadium,Turki Al Khudayr,Match Report,
2,Sat,2017-08-19,19:05,Al-Shabab,4–1,Al-Qadsiah,904,Prince Faisal bin Fahd Fahd Training Pit...,Sami Al Jurays,Match Report,
2,Sat,2017-08-19,20:50,Al-Fayha,2–5,Al-Ittihad,1781,Al Majma'ah Sport City,Sultan Al Harbi,Match Report,
3,Thu,2017-09-14,20:25,Al-Ettifaq,1–2,Al-Qadsiah,1526,Prince Mohamed bin Fahd Stadium,Khaled Salwi,Match Report,
3,Fri,2017-09-15,18:25,Al-Fateh,1–0,Al-Raed,871,Prince Abdullah bin Jalawi Stadium,Khalid Al Turais,Match Report,
3,Fri,2017-09-15,18:40,Al-Shabab,1–2,Al-Batin,767,King Fahd International Stadium,Abdulrahman Al Sultan,Match Report,
3,Fri,2017-09-15,20:25,Al-Faisaly,2–1,Al-Ittihad,751,Al Majma'ah Sport City,Mohammed Al Hoish,Match Report,
3,Sat,2017-09-16,18:40,Al-Fayha,1–1,Al-Taawoun,839,Al Majma'ah Sport City,Faisal Alblwi,Match Report,
3,Sat,2017-09-16,20:25,Al-Hilal,1–0,Ohod,4479,King Fahd International Stadium,Sultan Al Harbi,Match Report,
3,Sun,2017-09-17,20:25,Al-Ahli,1–1,Al-Nassr,10108,King Abdullah Sports City,Milorad Mažić,Match Report,
4,Thu,2017-09-21,20:20,Al-Ittihad,1–1,Al-Hilal,35389,King Abdullah Sports City,Mark Clattenburg,Match Report,
4,Fri,2017-09-22,18:35,Al-Batin,1–2,Al-Ahli,6500,Department of Education Stadium,Fahad Al Mirdasi,Match Report,
4,Fri,2017-09-22,19:00,Ohod,0–2,Al-Fateh,1570,Prince Mohammed bin Abdul Aziz Stadium,Khalid Al Turais,Match Report,
4,Fri,2017-09-22,20:20,Al-Nassr,2–2,Al-Fayha,3014,King Fahd International Stadium,Sultan Al Harbi,Match Report,
4,Sat,2017-09-23,18:15,Al-Ettifaq,2–3,Al-Shabab,2527,Prince Mohamed bin Fahd Stadium,Turki Al Khudayr,Match Report,
4,Sat,2017-09-23,18:15,Al-Qadsiah,1–1,Al-Faisaly,929,Prince Saud bin Jalawi Stadium,Mohammed Al Qorany,Match Report,
4,Sat,2017-09-23,20:20,Al-Raed,2–2,Al-Taawoun,17003,Prince Abdullah bin Abdul Aziz Stadium,Szymon Marciniak,Match Report,
5,Thu,2017-09-28,18:30,Al-Batin,0–0,Al-Fateh,2713,Department of Education Stadium,Sultan Al Harbi,Match Report,
5,Thu,2017-09-28,20:15,Al-Taawoun,1–2,Al-Ittihad,5004,Prince Abdullah bin Abdul Aziz Stadium,Abdulrahman Al Sultan,Match Report,
5,Fri,2017-09-29,18:30,Al-Fayha,1–0,Ohod,930,Al Majma'ah Sport City,Majed Al Shamrani,Match Report,
5,Fri,2017-09-29,20:15,Al-Shabab,0–1,Al-Nassr,3688,King Fahd International Stadium,Fahad Al Mirdasi,Match Report,
5,Sat,2017-09-30,18:30,Al-Faisaly,3–0,Al-Ettifaq,275,Al Majma'ah Sport City,Khalid Al Turais,Match Report,
