Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Wed,2021-08-11,19:15,Al-Fayha,1–0,Al-Ittihad,1527,Al Majma'ah Sport City,Turki Mohammed Al Khudayr,Match Report,
1,Thu,2021-08-12,19:15,Abha,2–1,Al-Shabab,2219,Prince Sultan bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
1,Thu,2021-08-12,19:20,Al-Raed,1–0,Al-Fateh,668,Prince Abdullah bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
1,Thu,2021-08-12,20:55,Al-Hazem,3–3,Al-Taawoun,531,Ar-Rass Stadium,Shukri Hussein Al Hunfush,Match Report,
1,Fri,2021-08-13,19:05,Al-Nassr,4–1,Damac,7997,King Saud University Stadium,Abdulrahman Ibrahim Al Jassim,Match Report,
1,Fri,2021-08-13,20:55,Al-Ahli,1–1,Al-Faisaly,15703,King Abdullah Sports City,Khalid Saleh Al Turais,Match Report,
1,Sat,2021-08-14,18:55,Al-Ettifaq,2–1,Al-Batin,907,Prince Mohamed bin Fahd Stadium,Faisal Suleiman Al Balawi,Match Report,
1,Sat,2021-08-14,20:55,Al-Hilal,1–0,Al-Ta'ee,9002,King Fahd International Stadium,Saoud Ali Al Adba,Match Report,
2,Mon,2021-08-16,20:50,Al-Ittihad,3–0,Al-Raed,23199,King Abdullah Sports City,Sami Ahmed Al Jurays,Match Report,
2,Thu,2021-08-19,19:10,Al-Hazem,2–2,Al-Ahli,1077,Ar-Rass Stadium,Mohammed Sami Al Ismail,Match Report,
2,Thu,2021-08-19,20:50,Al-Faisaly,2–1,Al-Nassr,2616,Al Majma'ah Sport City,Majed Mohammed Al Shamrani,Match Report,
2,Fri,2021-08-20,19:05,Al-Batin,2–1,Abha,1102,Al-Batin FC Stadium,Sultan Sanat Al Harbi,Match Report,
2,Fri,2021-08-20,19:10,Damac,1–0,Al-Ta'ee,453,Prince Sultan bin Abdul Aziz Stadium,Khalid Ahmed Sahlawi,Match Report,
2,Fri,2021-08-20,20:50,Al-Taawoun,1–2,Al-Hilal,7405,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
2,Sat,2021-08-21,18:50,Al-Fateh,1–1,Al-Fayha,1392,Prince Abdullah bin Jalawi Stadium,Abdullah Saleh Al Harbi,Match Report,
2,Sat,2021-08-21,20:50,Al-Shabab,3–3,Al-Ettifaq,6113,King Fahd International Stadium,Khalid Saleh Al Turais,Match Report,
3,Wed,2021-08-25,19:05,Al-Raed,2–0,Al-Hazem,1078,Prince Abdullah bin Abdul Aziz Stadium,Abdullah Al-Shehri,Match Report,
