Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Wed,2015-08-19,20:45,Al-Hilal,2–0,Al-Wehda,16000,King Fahd International Stadium,Mohammed Al Qorany,Match Report,
1,Thu,2015-08-20,18:55,Al-Khaleej,0–2,Al-Fateh,315,Prince Saud bin Jalawi Stadium,Saleh Al Hathlool,Match Report,
1,Thu,2015-08-20,21:15,Najran,1–2,Al-Ittihad,4721,King Abdul Aziz Stadium,Fahad Al Mirdasi,Match Report,
1,Fri,2015-08-21,19:15,Al-Taawoun,0–0,Al-Ahli,2953,King Abdullah Sports City,Mohammed Al Hoish,Match Report,
1,Fri,2015-08-21,21:15,Al-Nassr,0–0,Hajer,6173,King Fahd International Stadium,Faisal Alblwi,Match Report,
1,Sat,2015-08-22,18:55,Al-Qadsiah,1–0,Al-Faisaly,182,Prince Saud bin Jalawi Stadium,Sultan Al Harbi,Match Report,
1,Sat,2015-08-22,21:00,Al-Shabab,3–1,Al-Raed,895,Prince Faisal bin Fahd Stadium,Abdulrahman Al Sultan,Match Report,
2,Thu,2015-08-27,18:45,Al-Khaleej,0–4,Al-Ahli,3127,Prince Mohamed bin Fahd Stadium,Turki Al Khudayr,Match Report,
2,Thu,2015-08-27,21:00,Al-Raed,0–2,Al-Ittihad,5401,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Al Hoish,Match Report,
2,Fri,2015-08-28,18:45,Al-Qadsiah,2–2,Al-Nassr,8023,Prince Mohamed bin Fahd Stadium,Shukri Al Hunfush,Match Report,
2,Fri,2015-08-28,18:45,Hajer,1–2,Al-Shabab,684,Prince Abdullah bin Jalawi Stadium,Mohammed Al Nuhait,Match Report,
2,Fri,2015-08-28,21:00,Al-Faisaly,1–2,Al-Taawoun,232,Al Majma'ah Sport City,Mohammed Al Qorany,Match Report,
2,Sat,2015-08-29,18:45,Al-Fateh,1–2,Al-Hilal,11688,Prince Abdullah bin Jalawi Stadium,Marai Al Awaji,Match Report,
2,Sat,2015-08-29,21:00,Al-Wehda,1–1,Najran,685,King Abdul Aziz Stadium,Khaled Al Sinany,Match Report,
