Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Thu,2016-08-11,19:10,Al-Shabab,0–0,Al-Qadsiah,1406,King Fahd International Stadium,Sultan Al Harbi,Match Report,
1,Thu,2016-08-11,21:05,Al-Raed,2–3,Al-Ittihad,7017,Prince Abdullah bin Abdul Aziz Stadium,Khaled Salwi,Match Report,
1,Fri,2016-08-12,19:10,Al-Faisaly,3–1,Al-Khaleej,214,Al Majma'ah Sport City,Mashari Al Mashari,Match Report,
1,Fri,2016-08-12,21:05,Al-Wehda,3–2,Al-Taawoun,681,King Abdul Aziz Stadium,Khalid Al Turais,Match Report,
1,Fri,2016-08-12,21:05,Al-Nassr,4–1,Al-Fateh,11264,King Fahd International Stadium,Turki Al Khudayr,Match Report,
1,Sat,2016-08-13,20:45,Al-Hilal,2–0,Al-Batin,15371,King Fahd International Stadium,Saleh Al Hathlool,Match Report,
1,Sun,2016-08-14,20:45,Al-Ettifaq,1–4,Al-Ahli,6350,Prince Mohamed bin Fahd Stadium,Mohammed Al Hoish,Match Report,
2,Thu,2016-08-18,20:45,Al-Raed,3–1,Al-Wehda,3294,Prince Abdullah bin Abdul Aziz Stadium,Majed Al Shamrani,Match Report,
2,Fri,2016-08-19,18:50,Al-Qadsiah,1–1,Al-Faisaly,199,Prince Saud bin Jalawi Stadium,Khaled Al Sinany,Match Report,
2,Fri,2016-08-19,21:05,Al-Taawoun,0–2,Al-Hilal,11966,Prince Abdullah bin Abdul Aziz Stadium,Shukri Al Hunfush,Match Report,
2,Sat,2016-08-20,19:10,Al-Batin,1–0,Al-Shabab,3020,Department of Education Stadium,Fahad Al Oraini,Match Report,
2,Sat,2016-08-20,21:05,Al-Fateh,0–1,Al-Ahli,4179,Prince Abdullah bin Jalawi Stadium,Khalid Al Turais,Match Report,
2,Sat,2016-08-20,21:05,Al-Khaleej,2–3,Al-Ittihad,3027,Prince Saud bin Jalawi Stadium,Faisal Alblwi,Match Report,
2,Sat,2016-08-20,21:05,Al-Ettifaq,1–0,Al-Nassr,7450,Prince Mohamed bin Fahd Stadium,Mohammed Al Qorany,Match Report,
3,Fri,2016-09-16,18:25,Al-Khaleej,2–2,Al-Batin,112,Prince Saud bin Jalawi Stadium,Mohammed Al Qorany,Match Report,
3,Fri,2016-09-16,18:45,Al-Taawoun,2–1,Al-Raed,3501,Prince Abdullah bin Abdul Aziz Stadium,Ivan Bebek,Match Report,
3,Fri,2016-09-16,20:45,Al-Hilal,1–2,Al-Ettifaq,7484,King Fahd International Stadium,Szymon Marciniak,Match Report,
3,Sat,2016-09-17,18:40,Al-Faisaly,0–0,Al-Fateh,204,Al Majma'ah Sport City,Mohammed Al Nuhait,Match Report,
3,Sat,2016-09-17,20:45,Al-Nassr,1–0,Al-Qadsiah,2689,King Fahd International Stadium,Fahad Al Mirdasi,Match Report,
3,Sun,2016-09-18,20:45,Al-Shabab,3–2,Al-Ahli,3101,King Fahd International Stadium,Abdulrahman Al Sultan,Match Report,
3,Sun,2016-09-18,20:45,Al-Wehda,3–5,Al-Ittihad,3270,King Abdul Aziz Stadium,Mohammed Al Hoish,Match Report,
