Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-02,20:00 (21:00),Zwolle,1–3,Willem II,13824,MAC³PARK Stadion,Jeroen Manschot,Match Report,
1,Sat,2019-08-03,18:30 (19:30),Emmen,0–1,Groningen,8245,De Oude Meerdijk,Pol van Boekel,Match Report,
1,Sat,2019-08-03,18:30 (19:30),Vitesse,2–2,Ajax,18100,GelreDome,Bas Nijhuis,Match Report,
1,Sat,2019-08-03,20:45 (21:45),VVV-Venlo,3–1,RKC Waalwijk,5560,Seacon Stadion De Koel,Joey Kooij,Match Report,
1,Sat,2019-08-03,20:45 (21:45),Twente,1–1,PSV Eindhoven,27200,De Grolsch Veste,Serdar Gözübüyük,Match Report,
1,Sun,2019-08-04,12:15 (13:15),Heracles Almelo,0–4,Heerenveen,9640,Polman Stadion,Richard Martens,Match Report,
1,Sun,2019-08-04,14:30 (15:30),Feyenoord,2–2,Sparta R'dam,41000,Stadion Feijenoord,Danny Makkelie,Match Report,
1,Sun,2019-08-04,16:45 (17:45),ADO Den Haag,2–4,Utrecht,10633,Cars Jeans Stadion,Kevin Blom,Match Report,
1,Sun,2019-08-04,20:00 (21:00),AZ Alkmaar,4–0,Fortuna Sittard,13500,AFAS Stadion,Dennis Higler,Match Report,
2,Fri,2019-08-09,20:00 (21:00),Sparta R'dam,4–1,VVV-Venlo,10012,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
2,Sat,2019-08-10,18:30 (19:30),Groningen,1–3,Twente,19049,Hitachi Capital Mobility Stadion,Christiaan Bax,Match Report,
2,Sat,2019-08-10,19:45 (20:45),Ajax,5–0,Emmen,53124,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,
2,Sat,2019-08-10,20:45 (21:45),Willem II,0–2,Vitesse,12825,Koning Willem II Stadion,Siemen Mulder,Match Report,
2,Sun,2019-08-11,12:15 (13:15),Fortuna Sittard,1–1,Heracles Almelo,5866,Fortuna Sittard Stadion,Kevin Blom,Match Report,
2,Sun,2019-08-11,14:30 (15:30),Heerenveen,1–1,Feyenoord,18600,Abe Lenstra Stadion,Jochem Kamphuis,Match Report,
2,Sun,2019-08-11,14:30 (15:30),RKC Waalwijk,0–2,AZ Alkmaar,6023,Mandemakers Stadion,Allard Lindhout,Match Report,
2,Sun,2019-08-11,16:45 (17:45),Utrecht,3–1,Zwolle,18736,Stadion Galgenwaard,Edwin van de Graaf,Match Report,
2,Sun,2019-08-11,20:00 (21:00),PSV Eindhoven,3–1,ADO Den Haag,32000,Philips Stadion,Danny Makkelie,Match Report,
3,Fri,2019-08-16,20:00 (21:00),Vitesse,3–0,Zwolle,12273,GelreDome,Rob Dieperink,Match Report,
3,Sat,2019-08-17,18:30 (19:30),ADO Den Haag,1–2,Sparta R'dam,12479,Cars Jeans Stadion,Dennis Higler,Match Report,
