Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-08-11,19:00 (20:00),ADO Den Haag,0–3,Utrecht,12134,Cars Jeans Stadion,Ed Janssen,Match Report,
Regular Season,1,Sat,2017-08-12,18:30 (19:30),PSV Eindhoven,3–2,AZ Alkmaar,32700,Philips Stadion,Björn Kuipers,Match Report,
Regular Season,1,Sat,2017-08-12,18:30 (19:30),VVV-Venlo,3–0,Sparta R'dam,5832,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,
Regular Season,1,Sat,2017-08-12,20:45 (21:45),Heracles Almelo,2–1,Ajax,12080,Polman Stadion,Kevin Blom,Match Report,
Regular Season,1,Sat,2017-08-12,20:45 (21:45),Vitesse,4–1,NAC Breda,13921,GelreDome,Siemen Mulder,Match Report,
Regular Season,1,Sun,2017-08-13,12:30 (13:30),Zwolle,4–2,Roda JC,13000,MAC³PARK Stadion,Bas Nijhuis,Match Report,
Regular Season,1,Sun,2017-08-13,14:30 (15:30),Feyenoord,2–1,Twente,47500,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
Regular Season,1,Sun,2017-08-13,14:30 (15:30),Willem II,1–2,Excelsior,12800,Koning Willem II Stadion,Jeroen Manschot,Match Report,
Regular Season,1,Sun,2017-08-13,16:45 (17:45),Groningen,3–3,Heerenveen,19255,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,
Regular Season,2,Fri,2017-08-18,20:00 (21:00),Roda JC,1–3,Vitesse,12004,Parkstad Limburg Stadion,Jochem Kamphuis,Match Report,
Regular Season,2,Sat,2017-08-19,18:30 (19:30),Twente,1–2,VVV-Venlo,23800,De Grolsch Veste,Siemen Mulder,Match Report,
Regular Season,2,Sat,2017-08-19,19:45 (20:45),AZ Alkmaar,2–0,ADO Den Haag,12749,AFAS Stadion,Danny Makkelie,Match Report,
Regular Season,2,Sat,2017-08-19,20:45 (21:45),Heerenveen,1–1,Heracles Almelo,23500,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,
Regular Season,2,Sun,2017-08-20,12:30 (13:30),Excelsior,0–1,Feyenoord,4400,Van Donge & De Roo Stadion,Björn Kuipers,Match Report,
Regular Season,2,Sun,2017-08-20,14:30 (15:30),Ajax,3–1,Groningen,51152,Johan Cruyff ArenA,Dennis Higler,Match Report,
Regular Season,2,Sun,2017-08-20,14:30 (15:30),Utrecht,2–0,Willem II,16093,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
Regular Season,2,Sun,2017-08-20,16:45 (17:45),Sparta R'dam,1–1,Zwolle,10012,Sparta-Stadion Het Kasteel,Allard Lindhout,Match Report,
Regular Season,2,Sun,2017-08-20,16:45 (17:45),NAC Breda,1–4,PSV Eindhoven,18788,Rat Verlegh Stadion,Pol van Boekel,Match Report,
Regular Season,3,Fri,2017-08-25,20:00 (21:00),NAC Breda,2–2,Sparta R'dam,17912,Rat Verlegh Stadion,Dennis Higler,Match Report,
Regular Season,3,Sat,2017-08-26,18:30 (19:30),Vitesse,1–2,AZ Alkmaar,14500,GelreDome,Kevin Blom,Match Report,
Regular Season,3,Sat,2017-08-26,19:45 (20:45),ADO Den Haag,1–2,Heerenveen,7902,Cars Jeans Stadion,Jochem Kamphuis,Match Report,
Regular Season,3,Sat,2017-08-26,19:45 (20:45),Zwolle,2–0,Twente,12800,MAC³PARK Stadion,Ed Janssen,Match Report,
Regular Season,3,Sat,2017-08-26,20:45 (21:45),Heracles Almelo,2–2,Excelsior,10067,Polman Stadion,Martin van den Kerkhof,Match Report,
Regular Season,3,Sun,2017-08-27,12:30 (13:30),Feyenoord,5–0,Willem II,47500,Stadion Feijenoord,Bas Nijhuis,Match Report,
Regular Season,3,Sun,2017-08-27,14:30 (15:30),VVV-Venlo,0–2,Ajax,8000,Seacon Stadion De Koel,Björn Kuipers,Match Report,
Regular Season,3,Sun,2017-08-27,16:45 (17:45),Groningen,2–1,Utrecht,16032,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
Regular Season,3,Sun,2017-08-27,16:45 (17:45),PSV Eindhoven,2–0,Roda JC,32200,Philips Stadion,Danny Makkelie,Match Report,
Regular Season,4,Sat,2017-09-09,18:30 (19:30),Heracles Almelo,2–4,Feyenoord,11331,Polman Stadion,Danny Makkelie,Match Report,
Regular Season,4,Sat,2017-09-09,18:30 (19:30),Willem II,1–2,ADO Den Haag,11123,Koning Willem II Stadion,Dennis Higler,Match Report,
Regular Season,4,Sat,2017-09-09,20:45 (21:45),Excelsior,0–3,Vitesse,4100,Van Donge & De Roo Stadion,Bas Nijhuis,Match Report,
Regular Season,4,Sat,2017-09-09,20:45 (21:45),Ajax,3–0,Zwolle,50902,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,
Regular Season,4,Sun,2017-09-10,12:30 (13:30),Heerenveen,2–0,PSV Eindhoven,22345,Abe Lenstra Stadion,Kevin Blom,Match Report,
Regular Season,4,Sun,2017-09-10,14:30 (15:30),AZ Alkmaar,2–1,NAC Breda,12511,AFAS Stadion,Ed Janssen,Match Report,
Regular Season,4,Sun,2017-09-10,14:30 (15:30),Utrecht,2–0,Roda JC,19042,Stadion Galgenwaard,Siemen Mulder,Match Report,
Regular Season,4,Sun,2017-09-10,14:30 (15:30),Sparta R'dam,1–0,Twente,10034,Sparta-Stadion Het Kasteel,Christiaan Bax,Match Report,
Regular Season,4,Sun,2017-09-10,16:45 (17:45),Groningen,1–1,VVV-Venlo,15832,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,
Regular Season,5,Fri,2017-09-15,20:00 (21:00),Sparta R'dam,0–2,AZ Alkmaar,10210,Sparta-Stadion Het Kasteel,Siemen Mulder,Match Report,
Regular Season,5,Sat,2017-09-16,18:30 (19:30),Excelsior,1–2,Heerenveen,4034,Van Donge & De Roo Stadion,Allard Lindhout,Match Report,
Regular Season,5,Sat,2017-09-16,19:45 (20:45),Roda JC,1–3,Willem II,11668,Parkstad Limburg Stadion,Pol van Boekel,Match Report,
Regular Season,5,Sat,2017-09-16,19:45 (20:45),NAC Breda,2–1,Groningen,18563,Rat Verlegh Stadion,Danny Makkelie,Match Report,
Regular Season,5,Sat,2017-09-16,20:45 (21:45),Zwolle,2–1,Heracles Almelo,12500,MAC³PARK Stadion,Jeroen Manschot,Match Report,
Regular Season,5,Sun,2017-09-17,14:30 (15:30),ADO Den Haag,1–1,Ajax,12016,Cars Jeans Stadion,Bas Nijhuis,Match Report,
Regular Season,5,Sun,2017-09-17,14:30 (15:30),Twente,4–0,Utrecht,23800,De Grolsch Veste,Jochem Kamphuis,Match Report,
Regular Season,5,Sun,2017-09-17,16:45 (17:45),PSV Eindhoven,1–0,Feyenoord,35000,Philips Stadion,Björn Kuipers,Match Report,
Regular Season,5,Sun,2017-09-17,16:45 (17:45),Vitesse,1–1,VVV-Venlo,15000,GelreDome,Dennis Higler,Match Report,
Regular Season,6,Sat,2017-09-23,18:30 (19:30),Willem II,1–2,Heerenveen,12000,Koning Willem II Stadion,Ed Janssen,Match Report,
Regular Season,6,Sat,2017-09-23,19:45 (20:45),Feyenoord,0–2,NAC Breda,47500,Stadion Feijenoord,Jochem Kamphuis,Match Report,
Regular Season,6,Sat,2017-09-23,19:45 (20:45),Heracles Almelo,2–1,Roda JC,9943,Polman Stadion,Björn Kuipers,Match Report,
Regular Season,6,Sat,2017-09-23,20:45 (21:45),ADO Den Haag,1–0,Sparta R'dam,9641,Cars Jeans Stadion,Jeroen Manschot,Match Report,
Regular Season,6,Sun,2017-09-24,12:30 (13:30),Utrecht,1–7,PSV Eindhoven,22006,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
Regular Season,6,Sun,2017-09-24,14:30 (15:30),Groningen,1–0,Twente,20110,Hitachi Capital Mobility Stadion,Martin van den Kerkhof,Match Report,
Regular Season,6,Sun,2017-09-24,14:30 (15:30),Ajax,1–2,Vitesse,51236,Johan Cruyff ArenA,Pol van Boekel,Match Report,
Regular Season,6,Sun,2017-09-24,14:30 (15:30),VVV-Venlo,1–1,Zwolle,6621,Seacon Stadion De Koel,Bas Nijhuis,Match Report,
Regular Season,6,Sun,2017-09-24,16:45 (17:45),AZ Alkmaar,0–2,Excelsior,12527,AFAS Stadion,Kevin Blom,Match Report,
Regular Season,7,Fri,2017-09-29,20:00 (21:00),Twente,2–1,Heracles Almelo,27100,De Grolsch Veste,Dennis Higler,Match Report,
Regular Season,7,Sat,2017-09-30,18:30 (19:30),NAC Breda,0–1,ADO Den Haag,18523,Rat Verlegh Stadion,Siemen Mulder,Match Report,
Regular Season,7,Sat,2017-09-30,19:45 (20:45),Zwolle,3–2,Groningen,13160,MAC³PARK Stadion,Pol van Boekel,Match Report,
Regular Season,7,Sat,2017-09-30,19:45 (20:45),PSV Eindhoven,4–0,Willem II,32500,Philips Stadion,Jeroen Manschot,Match Report,
Regular Season,7,Sat,2017-09-30,20:45 (21:45),Excelsior,0–2,VVV-Venlo,4400,Van Donge & De Roo Stadion,Christiaan Bax,Match Report,
Regular Season,7,Sun,2017-10-01,12:30 (13:30),AZ Alkmaar,0–4,Feyenoord,14000,AFAS Stadion,Bas Nijhuis,Match Report,
