Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2015-08-08,19:45 (20:45),Roda JC,3–1,Heracles Almelo,13472,Parkstad Limburg Stadion,Ed Janssen,Match Report,
Regular Season,1,Sat,2015-08-08,20:45 (21:45),Feyenoord,3–2,Utrecht,47500,Stadion Feijenoord,Kevin Blom,Match Report,
Regular Season,1,Sun,2015-08-09,12:30 (13:30),AZ Alkmaar,0–3,Ajax,16673,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,1,Sun,2015-08-09,16:45 (17:45),Willem II,1–1,Vitesse,14000,Koning Willem II Stadion,Jochem Kamphuis,Match Report,
Regular Season,1,Tue,2015-08-11,18:30 (19:30),ADO Den Haag,2–2,PSV Eindhoven,13125,Cars Jeans Stadion,Richard Liesveld,Match Report,
Regular Season,1,Tue,2015-08-11,20:45 (21:45),Heerenveen,3–1,De Graafschap,20000,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,
Regular Season,1,Wed,2015-08-12,18:30 (19:30),Groningen,1–1,Twente,22241,Hitachi Capital Mobility Stadion,Ed Janssen,Match Report,
Regular Season,1,Wed,2015-08-12,19:45 (20:45),Zwolle,2–2,Cambuur,11650,MAC³PARK Stadion,Dennis Higler,Match Report,
Regular Season,1,Wed,2015-08-12,20:45 (21:45),NEC Nijmegen,1–0,Excelsior,10240,Goffertstadion,Jeroen Manschot,Match Report,
Regular Season,2,Fri,2015-08-14,20:00 (21:00),Vitesse,3–0,Roda JC,13212,GelreDome,Eric Braamhaar,Match Report,
Regular Season,2,Sat,2015-08-15,18:30 (19:30),De Graafschap,0–3,Zwolle,8100,Stadion De Vijverberg,Allard Lindhout,Match Report,
Regular Season,2,Sat,2015-08-15,19:45 (20:45),Ajax,3–0,Willem II,48494,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Regular Season,2,Sat,2015-08-15,19:45 (20:45),Twente,1–4,ADO Den Haag,24900,De Grolsch Veste,Serdar Gözübüyük,Match Report,
Regular Season,2,Sat,2015-08-15,20:45 (21:45),Excelsior,2–2,AZ Alkmaar,3394,Van Donge & De Roo Stadion,Martin van den Kerkhof,Match Report,
Regular Season,2,Sun,2015-08-16,12:30 (13:30),PSV Eindhoven,2–0,Groningen,32000,Philips Stadion,Danny Makkelie,Match Report,
Regular Season,2,Sun,2015-08-16,14:30 (15:30),Cambuur,0–2,Feyenoord,10000,Cambuurstadion,Pol van Boekel,Match Report,
Regular Season,2,Sun,2015-08-16,14:30 (15:30),Utrecht,1–1,Heerenveen,15800,Stadion Galgenwaard,Björn Kuipers,Match Report,
Regular Season,2,Sun,2015-08-16,16:45 (17:45),Heracles Almelo,3–0,NEC Nijmegen,12084,Polman Stadion,Jochem Kamphuis,Match Report,
Regular Season,3,Fri,2015-08-21,20:00 (21:00),Groningen,2–0,Excelsior,19277,Hitachi Capital Mobility Stadion,Edwin van de Graaf,Match Report,
Regular Season,3,Sat,2015-08-22,18:30 (19:30),Roda JC,1–0,De Graafschap,13130,Parkstad Limburg Stadion,Bas Nijhuis,Match Report,
Regular Season,3,Sat,2015-08-22,19:45 (20:45),Heerenveen,1–1,PSV Eindhoven,24645,Abe Lenstra Stadion,Eric Braamhaar,Match Report,
Regular Season,3,Sat,2015-08-22,20:45 (21:45),Cambuur,1–6,Heracles Almelo,9630,Cambuurstadion,Richard Liesveld,Match Report,
Regular Season,3,Sun,2015-08-23,12:30 (13:30),Zwolle,2–1,Twente,12123,MAC³PARK Stadion,Kevin Blom,Match Report,
Regular Season,3,Sun,2015-08-23,14:30 (15:30),NEC Nijmegen,0–2,Ajax,12321,Goffertstadion,Dennis Higler,Match Report,
Regular Season,3,Sun,2015-08-23,14:30 (15:30),AZ Alkmaar,0–0,Willem II,14144,AFAS Stadion,Ed Janssen,Match Report,
Regular Season,3,Sun,2015-08-23,14:30 (15:30),ADO Den Haag,1–1,Utrecht,12293,Cars Jeans Stadion,Pol van Boekel,Match Report,
Regular Season,3,Sun,2015-08-23,16:45 (17:45),Feyenoord,2–0,Vitesse,47500,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
Regular Season,4,Fri,2015-08-28,20:00 (21:00),Willem II,0–1,NEC Nijmegen,10500,Koning Willem II Stadion,Martin van den Kerkhof,Match Report,
Regular Season,4,Sat,2015-08-29,18:30 (19:30),Utrecht,2–0,Groningen,14507,Stadion Galgenwaard,Richard Liesveld,Match Report,
Regular Season,4,Sat,2015-08-29,19:45 (20:45),Excelsior,3–0,De Graafschap,3300,Van Donge & De Roo Stadion,Jochem Kamphuis,Match Report,
Regular Season,4,Sat,2015-08-29,19:45 (20:45),Heerenveen,1–1,Zwolle,24200,Abe Lenstra Stadion,Pol van Boekel,Match Report,
Regular Season,4,Sat,2015-08-29,20:45 (21:45),Heracles Almelo,2–0,Twente,12100,Polman Stadion,Dennis Higler,Match Report,
Regular Season,4,Sun,2015-08-30,12:30 (13:30),Ajax,4–0,ADO Den Haag,43578,Johan Cruyff ArenA,Danny Makkelie,Match Report,
Regular Season,4,Sun,2015-08-30,14:30 (15:30),AZ Alkmaar,0–1,Roda JC,14226,AFAS Stadion,Jeroen Manschot,Match Report,
Regular Season,4,Sun,2015-08-30,14:30 (15:30),Vitesse,4–1,Cambuur,,GelreDome,Allard Lindhout,Match Report,
Regular Season,4,Sun,2015-08-30,16:45 (17:45),PSV Eindhoven,3–1,Feyenoord,35000,Philips Stadion,Björn Kuipers,Match Report,
Regular Season,5,Sat,2015-09-12,18:30 (19:30),De Graafschap,1–3,AZ Alkmaar,8564,Stadion De Vijverberg,Dennis Higler,Match Report,
Regular Season,5,Sat,2015-09-12,18:30 (19:30),Roda JC,0–0,NEC Nijmegen,13967,Parkstad Limburg Stadion,Björn Kuipers,Match Report,
Regular Season,5,Sat,2015-09-12,19:45 (20:45),Twente,2–2,Ajax,29000,De Grolsch Veste,Pol van Boekel,Match Report,
Regular Season,5,Sat,2015-09-12,20:45 (21:45),Zwolle,3–0,Excelsior,11800,MAC³PARK Stadion,Danny Makkelie,Match Report,
Regular Season,5,Sat,2015-09-12,20:45 (21:45),Cambuur,0–6,PSV Eindhoven,9821,Cambuurstadion,Kevin Blom,Match Report,
Regular Season,5,Sun,2015-09-13,12:30 (13:30),Groningen,3–1,Heerenveen,19000,Hitachi Capital Mobility Stadion,Serdar Gözübüyük,Match Report,
Regular Season,5,Sun,2015-09-13,14:30 (15:30),Feyenoord,1–0,Willem II,47500,Stadion Feijenoord,Richard Liesveld,Match Report,
Regular Season,5,Sun,2015-09-13,14:30 (15:30),ADO Den Haag,0–1,Heracles Almelo,10071,Cars Jeans Stadion,Jeroen Manschot,Match Report,
Regular Season,5,Sun,2015-09-13,16:45 (17:45),Utrecht,2–1,Vitesse,16056,Stadion Galgenwaard,Bas Nijhuis,Match Report,
Regular Season,6,Fri,2015-09-18,20:00 (21:00),NEC Nijmegen,2–0,Heerenveen,10118,Goffertstadion,Allard Lindhout,Match Report,
Regular Season,6,Sat,2015-09-19,18:30 (19:30),Cambuur,0–0,Twente,9714,Cambuurstadion,Jochem Kamphuis,Match Report,
Regular Season,6,Sat,2015-09-19,19:45 (20:45),Zwolle,2–1,ADO Den Haag,12150,MAC³PARK Stadion,Ed Janssen,Match Report,
Regular Season,6,Sat,2015-09-19,19:45 (20:45),Heracles Almelo,2–1,PSV Eindhoven,12034,Polman Stadion,Serdar Gözübüyük,Match Report,
Regular Season,6,Sat,2015-09-19,20:45 (21:45),Willem II,3–1,Utrecht,11600,Koning Willem II Stadion,Siemen Mulder,Match Report,
Regular Season,6,Sun,2015-09-20,12:30 (13:30),Roda JC,1–1,Feyenoord,17142,Parkstad Limburg Stadion,Pol van Boekel,Match Report,
Regular Season,6,Sun,2015-09-20,14:30 (15:30),Excelsior,0–2,Ajax,3750,Van Donge & De Roo Stadion,Kevin Blom,Match Report,
Regular Season,6,Sun,2015-09-20,16:45 (17:45),Vitesse,3–0,De Graafschap,15139,GelreDome,Martin van den Kerkhof,Match Report,
Regular Season,6,Sun,2015-09-20,16:45 (17:45),Groningen,2–0,AZ Alkmaar,19389,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,
Regular Season,7,Sat,2015-09-26,18:30 (19:30),Heerenveen,0–0,Vitesse,23984,Abe Lenstra Stadion,Dennis Higler,Match Report,
Regular Season,7,Sat,2015-09-26,18:30 (19:30),Utrecht,3–3,Cambuur,16073,Stadion Galgenwaard,Edwin van de Graaf,Match Report,
Regular Season,7,Sat,2015-09-26,19:45 (20:45),Ajax,2–0,Groningen,45676,Johan Cruyff ArenA,Richard Liesveld,Match Report,
Regular Season,7,Sat,2015-09-26,20:45 (21:45),PSV Eindhoven,2–1,NEC Nijmegen,32500,Philips Stadion,Danny Makkelie,Match Report,
Regular Season,7,Sat,2015-09-26,20:45 (21:45),AZ Alkmaar,3–1,Heracles Almelo,13121,AFAS Stadion,Pol van Boekel,Match Report,
Regular Season,7,Sun,2015-09-27,12:30 (13:30),De Graafschap,2–2,Willem II,9183,Stadion De Vijverberg,Ed Janssen,Match Report,
Regular Season,7,Sun,2015-09-27,14:30 (15:30),ADO Den Haag,3–3,Excelsior,10667,Cars Jeans Stadion,Siemen Mulder,Match Report,
Regular Season,7,Sun,2015-09-27,14:30 (15:30),Feyenoord,2–0,Zwolle,47500,Stadion Feijenoord,Björn Kuipers,Match Report,
