Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2016-08-05,20:00 (21:00),NEC Nijmegen,1–1,Zwolle,10900,Goffertstadion,Serdar Gözübüyük,Match Report,
Regular Season,1,Sat,2016-08-06,18:30 (19:30),ADO Den Haag,3–0,Go Ahead Eag,10168,Cars Jeans Stadion,Dennis Higler,Match Report,
Regular Season,1,Sat,2016-08-06,19:45 (20:45),Utrecht,1–2,PSV Eindhoven,16329,Stadion Galgenwaard,Bas Nijhuis,Match Report,
Regular Season,1,Sat,2016-08-06,19:45 (20:45),Twente,1–2,Excelsior,25100,De Grolsch Veste,Siemen Mulder,Match Report,
Regular Season,1,Sat,2016-08-06,20:45 (21:45),Willem II,1–4,Vitesse,12250,Koning Willem II Stadion,Allard Lindhout,Match Report,
Regular Season,1,Sun,2016-08-07,12:30 (13:30),Groningen,0–5,Feyenoord,19762,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,
Regular Season,1,Sun,2016-08-07,14:30 (15:30),Sparta R'dam,1–3,Ajax,10599,Sparta-Stadion Het Kasteel,Kevin Blom,Match Report,
Regular Season,1,Sun,2016-08-07,14:30 (15:30),AZ Alkmaar,2–2,Heerenveen,14377,AFAS Stadion,Danny Makkelie,Match Report,
Regular Season,1,Sun,2016-08-07,16:45 (17:45),Roda JC,1–1,Heracles Almelo,13006,Parkstad Limburg Stadion,Jochem Kamphuis,Match Report,
Regular Season,2,Fri,2016-08-12,20:00 (21:00),Heerenveen,2–2,Utrecht,20850,Abe Lenstra Stadion,Jeroen Manschot,Match Report,
Regular Season,2,Sat,2016-08-13,18:30 (19:30),Excelsior,2–0,Groningen,3200,Van Donge & De Roo Stadion,Serdar Gözübüyük,Match Report,
Regular Season,2,Sat,2016-08-13,19:45 (20:45),Vitesse,1–2,ADO Den Haag,11615,GelreDome,Kevin Blom,Match Report,
Regular Season,2,Sat,2016-08-13,19:45 (20:45),Ajax,2–2,Roda JC,48343,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Regular Season,2,Sat,2016-08-13,20:45 (21:45),Zwolle,0–3,Sparta R'dam,12800,MAC³PARK Stadion,Jochem Kamphuis,Match Report,
Regular Season,2,Sun,2016-08-14,12:30 (13:30),Heracles Almelo,3–1,Willem II,10475,Polman Stadion,Reinold Wiedemeijer,Match Report,
Regular Season,2,Sun,2016-08-14,14:30 (15:30),Go Ahead Eag,2–2,NEC Nijmegen,9123,De Adelaarshorst,Martin van den Kerkhof,Match Report,
Regular Season,2,Sun,2016-08-14,14:30 (15:30),Feyenoord,2–0,Twente,47500,Stadion Feijenoord,Danny Makkelie,Match Report,
Regular Season,2,Sun,2016-08-14,16:45 (17:45),PSV Eindhoven,1–0,AZ Alkmaar,34000,Philips Stadion,Björn Kuipers,Match Report,
Regular Season,3,Fri,2016-08-19,20:00 (21:00),Excelsior,1–2,ADO Den Haag,4123,Van Donge & De Roo Stadion,Bas Nijhuis,Match Report,
Regular Season,3,Sat,2016-08-20,18:30 (19:30),Roda JC,0–1,Vitesse,13030,Parkstad Limburg Stadion,Danny Makkelie,Match Report,
Regular Season,3,Sat,2016-08-20,19:45 (20:45),Zwolle,0–4,PSV Eindhoven,12700,MAC³PARK Stadion,Pol van Boekel,Match Report,
Regular Season,3,Sat,2016-08-20,19:45 (20:45),Ajax,1–2,Willem II,45405,Johan Cruyff ArenA,Dennis Higler,Match Report,
Regular Season,3,Sat,2016-08-20,20:45 (21:45),NEC Nijmegen,2–1,Heerenveen,9500,Goffertstadion,Edwin van de Graaf,Match Report,
Regular Season,3,Sun,2016-08-21,12:30 (13:30),Groningen,3–4,Twente,18051,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,
Regular Season,3,Sun,2016-08-21,14:30 (15:30),Utrecht,1–2,AZ Alkmaar,15570,Stadion Galgenwaard,Richard Liesveld,Match Report,
Regular Season,3,Sun,2016-08-21,14:30 (15:30),Sparta R'dam,1–0,Go Ahead Eag,9614,Sparta-Stadion Het Kasteel,Serdar Gözübüyük,Match Report,
Regular Season,3,Sun,2016-08-21,16:45 (17:45),Heracles Almelo,0–1,Feyenoord,11307,Polman Stadion,Björn Kuipers,Match Report,
Regular Season,4,Fri,2016-08-26,20:00 (21:00),Vitesse,1–1,Utrecht,12105,GelreDome,Björn Kuipers,Match Report,
Regular Season,4,Sat,2016-08-27,18:30 (19:30),Willem II,0–0,Roda JC,11200,Koning Willem II Stadion,Martin van den Kerkhof,Match Report,
Regular Season,4,Sat,2016-08-27,19:45 (20:45),Feyenoord,4–1,Excelsior,47000,Stadion Feijenoord,Richard Liesveld,Match Report,
Regular Season,4,Sat,2016-08-27,19:45 (20:45),Heerenveen,1–0,Zwolle,20080,Abe Lenstra Stadion,Allard Lindhout,Match Report,
Regular Season,4,Sat,2016-08-27,20:45 (21:45),Twente,3–1,Sparta R'dam,25000,De Grolsch Veste,Reinold Wiedemeijer,Match Report,
Regular Season,4,Sun,2016-08-28,12:30 (13:30),PSV Eindhoven,0–0,Groningen,33000,Philips Stadion,Bas Nijhuis,Match Report,
Regular Season,4,Sun,2016-08-28,14:30 (15:30),ADO Den Haag,1–1,Heracles Almelo,11016,Cars Jeans Stadion,Dennis Higler,Match Report,
Regular Season,4,Sun,2016-08-28,14:30 (15:30),Go Ahead Eag,0–3,Ajax,9756,De Adelaarshorst,Pol van Boekel,Match Report,
Regular Season,4,Sun,2016-08-28,16:45 (17:45),AZ Alkmaar,2–0,NEC Nijmegen,13412,AFAS Stadion,Kevin Blom,Match Report,
Regular Season,5,Sat,2016-09-10,18:30 (19:30),Zwolle,1–1,Utrecht,12600,MAC³PARK Stadion,Siemen Mulder,Match Report,
Regular Season,5,Sat,2016-09-10,18:30 (19:30),AZ Alkmaar,2–0,Willem II,13839,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,5,Sat,2016-09-10,19:45 (20:45),NEC Nijmegen,0–4,PSV Eindhoven,11600,Goffertstadion,Dennis Higler,Match Report,
