Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-10,20:00 (21:00),Zwolle,2–3,Heerenveen,14000,MAC³PARK Stadion,Dennis Higler,Match Report,
Regular Season,1,Sat,2018-08-11,18:30 (19:30),Ajax,1–1,Heracles Almelo,51949,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,
Regular Season,1,Sat,2018-08-11,18:30 (19:30),Willem II,0–1,VVV-Venlo,11800,Koning Willem II Stadion,Rob Dieperink,Match Report,
Regular Season,1,Sat,2018-08-11,20:45 (21:45),Excelsior,1–1,Fortuna Sittard,4400,Van Donge & De Roo Stadion,Siemen Mulder,Match Report,
Regular Season,1,Sat,2018-08-11,20:45 (21:45),PSV Eindhoven,4–0,Utrecht,33100,Philips Stadion,Bas Nijhuis,Match Report,
Regular Season,1,Sun,2018-08-12,12:15 (13:15),ADO Den Haag,1–2,Emmen,11324,Cars Jeans Stadion,Richard Martens,Match Report,
Regular Season,1,Sun,2018-08-12,14:30 (15:30),Vitesse,5–1,Groningen,13434,GelreDome,Allard Lindhout,Match Report,
Regular Season,1,Sun,2018-08-12,14:30 (15:30),De Graafschap,2–0,Feyenoord,12600,Stadion De Vijverberg,Pol van Boekel,Match Report,
Regular Season,1,Sun,2018-08-12,16:45 (17:45),AZ Alkmaar,5–0,NAC Breda,14299,AFAS Stadion,Danny Makkelie,Match Report,
Regular Season,2,Fri,2018-08-17,20:00 (21:00),Groningen,0–1,Willem II,16500,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
Regular Season,2,Sat,2018-08-18,18:30 (19:30),NAC Breda,3–0,De Graafschap,18710,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,
Regular Season,2,Sat,2018-08-18,18:30 (19:30),VVV-Venlo,0–1,Ajax,8000,Seacon Stadion De Koel,Kevin Blom,Match Report,
Regular Season,2,Sat,2018-08-18,20:45 (21:45),Fortuna Sittard,1–2,PSV Eindhoven,11135,Fortuna Sittard Stadion,Pol van Boekel,Match Report,
Regular Season,2,Sat,2018-08-18,20:45 (21:45),Heracles Almelo,4–2,ADO Den Haag,10414,Polman Stadion,Joey Kooij,Match Report,
Regular Season,2,Sun,2018-08-19,12:15 (13:15),Utrecht,2–0,Zwolle,18036,Stadion Galgenwaard,Martin van den Kerkhof,Match Report,
Regular Season,2,Sun,2018-08-19,14:30 (15:30),Feyenoord,3–0,Excelsior,45000,Stadion Feijenoord,Danny Makkelie,Match Report,
Regular Season,2,Sun,2018-08-19,14:30 (15:30),Emmen,1–4,AZ Alkmaar,8085,De Oude Meerdijk,Allard Lindhout,Match Report,
Regular Season,2,Sun,2018-08-19,16:45 (17:45),Heerenveen,1–1,Vitesse,16080,Abe Lenstra Stadion,Siemen Mulder,Match Report,
Regular Season,3,Fri,2018-08-24,20:00 (21:00),ADO Den Haag,3–1,Fortuna Sittard,11600,Cars Jeans Stadion,Dennis Higler,Match Report,
Regular Season,3,Sat,2018-08-25,18:30 (19:30),De Graafschap,0–1,Groningen,12143,Stadion De Vijverberg,Christiaan Bax,Match Report,
Regular Season,3,Sat,2018-08-25,18:30 (19:30),Ajax,5–0,Emmen,52885,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Regular Season,3,Sat,2018-08-25,20:45 (21:45),NAC Breda,0–2,Excelsior,18227,Rat Verlegh Stadion,Jeroen Manschot,Match Report,
Regular Season,3,Sat,2018-08-25,20:45 (21:45),Zwolle,1–2,PSV Eindhoven,13255,MAC³PARK Stadion,Björn Kuipers,Match Report,
Regular Season,3,Sun,2018-08-26,12:15 (13:15),Willem II,5–0,Heracles Almelo,11677,Koning Willem II Stadion,Martin Perez,Match Report,
Regular Season,3,Sun,2018-08-26,14:30 (15:30),Heerenveen,3–5,Feyenoord,21700,Abe Lenstra Stadion,Jochem Kamphuis,Match Report,
Regular Season,3,Sun,2018-08-26,14:30 (15:30),Utrecht,1–1,VVV-Venlo,15226,Stadion Galgenwaard,Danny Makkelie,Match Report,
Regular Season,3,Sun,2018-08-26,16:45 (17:45),AZ Alkmaar,0–0,Vitesse,14702,AFAS Stadion,Serdar Gözübüyük,Match Report,
Regular Season,4,Fri,2018-08-31,20:00 (21:00),Emmen,1–1,De Graafschap,8218,De Oude Meerdijk,Martin van den Kerkhof,Match Report,
Regular Season,4,Sat,2018-09-01,18:30 (19:30),VVV-Venlo,1–1,Heerenveen,6235,Seacon Stadion De Koel,Allard Lindhout,Match Report,
Regular Season,4,Sat,2018-09-01,19:45 (20:45),PSV Eindhoven,6–1,Willem II,33300,Philips Stadion,Jochem Kamphuis,Match Report,
Regular Season,4,Sat,2018-09-01,19:45 (20:45),Excelsior,2–4,ADO Den Haag,3940,Van Donge & De Roo Stadion,Kevin Blom,Match Report,
Regular Season,4,Sat,2018-09-01,20:45 (21:45),Fortuna Sittard,1–1,Utrecht,7643,Fortuna Sittard Stadion,Rob Dieperink,Match Report,
Regular Season,4,Sun,2018-09-02,12:15 (13:15),Groningen,0–1,Zwolle,10054,Hitachi Capital Mobility Stadion,Joey Kooij,Match Report,
Regular Season,4,Sun,2018-09-02,14:30 (15:30),Heracles Almelo,3–2,AZ Alkmaar,10462,Polman Stadion,Jeroen Manschot,Match Report,
Regular Season,4,Sun,2018-09-02,14:30 (15:30),Vitesse,0–4,Ajax,19231,GelreDome,Pol van Boekel,Match Report,
Regular Season,4,Sun,2018-09-02,16:45 (17:45),Feyenoord,4–2,NAC Breda,45000,Stadion Feijenoord,Bas Nijhuis,Match Report,
Regular Season,5,Sat,2018-09-15,18:30 (19:30),De Graafschap,1–2,VVV-Venlo,11702,Stadion De Vijverberg,Richard Martens,Match Report,
Regular Season,5,Sat,2018-09-15,18:30 (19:30),ADO Den Haag,0–7,PSV Eindhoven,14519,Cars Jeans Stadion,Bas Nijhuis,Match Report,
Regular Season,5,Sat,2018-09-15,20:45 (21:45),Ajax,3–0,Groningen,52720,Johan Cruyff ArenA,Dennis Higler,Match Report,
Regular Season,5,Sat,2018-09-15,20:45 (21:45),Willem II,2–2,Excelsior,11894,Koning Willem II Stadion,Danny Makkelie,Match Report,
Regular Season,5,Sun,2018-09-16,12:15 (13:15),AZ Alkmaar,1–1,Feyenoord,14000,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,5,Sun,2018-09-16,14:30 (15:30),NAC Breda,2–3,Fortuna Sittard,18000,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,
Regular Season,5,Sun,2018-09-16,14:30 (15:30),Heerenveen,3–5,Heracles Almelo,16000,Abe Lenstra Stadion,Pol van Boekel,Match Report,
