Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Sun,2018-09-16,14:30 (15:30),Utrecht,1–2,Emmen,16720,Stadion Galgenwaard,Kevin Blom,Match Report,
Regular Season,5,Sun,2018-09-16,16:45 (17:45),Zwolle,0–2,Vitesse,13325,MAC³PARK Stadion,Christiaan Bax,Match Report,
Regular Season,6,Fri,2018-09-21,20:00 (21:00),Heracles Almelo,4–0,De Graafschap,10829,Polman Stadion,Erwin Blank,Match Report,
Regular Season,6,Sat,2018-09-22,18:30 (19:30),Fortuna Sittard,4–4,Willem II,8537,Fortuna Sittard Stadion,Allard Lindhout,Match Report,
Regular Season,6,Sat,2018-09-22,19:45 (20:45),VVV-Venlo,3–0,NAC Breda,6167,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,
Regular Season,6,Sat,2018-09-22,19:45 (20:45),Excelsior,3–3,Heerenveen,4008,Van Donge & De Roo Stadion,Edwin van de Graaf,Match Report,
Regular Season,6,Sat,2018-09-22,20:45 (21:45),Vitesse,1–1,ADO Den Haag,14023,GelreDome,Jeroen Manschot,Match Report,
Regular Season,6,Sun,2018-09-23,12:15 (13:15),Feyenoord,1–0,Utrecht,45000,Stadion Feijenoord,Dennis Higler,Match Report,
Regular Season,6,Sun,2018-09-23,14:30 (15:30),Groningen,1–3,AZ Alkmaar,14000,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,
Regular Season,6,Sun,2018-09-23,14:30 (15:30),Emmen,0–1,Zwolle,8000,De Oude Meerdijk,Björn Kuipers,Match Report,
Regular Season,6,Sun,2018-09-23,16:45 (17:45),PSV Eindhoven,3–0,Ajax,35000,Philips Stadion,Danny Makkelie,Match Report,
Regular Season,7,Sat,2018-09-29,18:30 (19:30),NAC Breda,0–2,PSV Eindhoven,18926,Rat Verlegh Stadion,Dennis Higler,Match Report,
Regular Season,7,Sat,2018-09-29,18:30 (19:30),Heerenveen,1–1,ADO Den Haag,16550,Abe Lenstra Stadion,Siemen Mulder,Match Report,
Regular Season,7,Sat,2018-09-29,20:45 (21:45),Excelsior,1–0,VVV-Venlo,4106,Van Donge & De Roo Stadion,Martin Perez,Match Report,
Regular Season,7,Sat,2018-09-29,20:45 (21:45),Fortuna Sittard,0–2,Ajax,12004,Fortuna Sittard Stadion,Pol van Boekel,Match Report,
Regular Season,7,Sun,2018-09-30,12:15 (13:15),Heracles Almelo,2–1,Emmen,10217,Polman Stadion,Danny Makkelie,Match Report,
Regular Season,7,Sun,2018-09-30,14:30 (15:30),De Graafschap,2–1,Willem II,12005,Stadion De Vijverberg,Christiaan Bax,Match Report,
Regular Season,7,Sun,2018-09-30,14:30 (15:30),Groningen,1–1,Utrecht,18000,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,
Regular Season,7,Sun,2018-09-30,14:30 (15:30),AZ Alkmaar,2–2,Zwolle,14454,AFAS Stadion,Jochem Kamphuis,Match Report,
Regular Season,7,Sun,2018-09-30,16:45 (17:45),Feyenoord,2–1,Vitesse,45000,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
Regular Season,8,Fri,2018-10-05,20:00 (21:00),Utrecht,2–1,NAC Breda,17386,Stadion Galgenwaard,Björn Kuipers,Match Report,
Regular Season,8,Sat,2018-10-06,18:30 (19:30),ADO Den Haag,1–0,Groningen,11584,Cars Jeans Stadion,Allard Lindhout,Match Report,
Regular Season,8,Sat,2018-10-06,19:45 (20:45),PSV Eindhoven,4–0,VVV-Venlo,33800,Philips Stadion,Siemen Mulder,Match Report,
Regular Season,8,Sat,2018-10-06,19:45 (20:45),Zwolle,2–0,Excelsior,13562,MAC³PARK Stadion,Martin van den Kerkhof,Match Report,
Regular Season,8,Sat,2018-10-06,20:45 (21:45),De Graafschap,0–5,Heerenveen,12102,Stadion De Vijverberg,Danny Makkelie,Match Report,
Regular Season,8,Sun,2018-10-07,12:15 (13:15),Emmen,3–3,Fortuna Sittard,8300,De Oude Meerdijk,Joey Kooij,Match Report,
Regular Season,8,Sun,2018-10-07,14:30 (15:30),Willem II,1–1,Feyenoord,13550,Koning Willem II Stadion,Kevin Blom,Match Report,
Regular Season,8,Sun,2018-10-07,14:30 (15:30),Vitesse,4–0,Heracles Almelo,14338,GelreDome,Jochem Kamphuis,Match Report,
Regular Season,8,Sun,2018-10-07,16:45 (17:45),Ajax,5–0,AZ Alkmaar,53185,Johan Cruyff ArenA,Dennis Higler,Match Report,
Regular Season,9,Sat,2018-10-20,18:30 (19:30),PSV Eindhoven,6–0,Emmen,34200,Philips Stadion,Bas Nijhuis,Match Report,
Regular Season,9,Sat,2018-10-20,18:30 (19:30),Excelsior,2–0,Vitesse,4397,Van Donge & De Roo Stadion,Björn Kuipers,Match Report,
Regular Season,9,Sat,2018-10-20,20:45 (21:45),Heerenveen,0–4,Ajax,23315,Abe Lenstra Stadion,Pol van Boekel,Match Report,
Regular Season,9,Sat,2018-10-20,20:45 (21:45),Utrecht,2–1,AZ Alkmaar,15500,Stadion Galgenwaard,Kevin Blom,Match Report,
Regular Season,9,Sun,2018-10-21,12:15 (13:15),NAC Breda,2–2,Willem II,18892,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,
Regular Season,9,Sun,2018-10-21,14:30 (15:30),VVV-Venlo,2–0,ADO Den Haag,7051,Seacon Stadion De Koel,Erwin Blank,Match Report,
Regular Season,9,Sun,2018-10-21,14:30 (15:30),Heracles Almelo,4–1,Groningen,11237,Polman Stadion,Martin van den Kerkhof,Match Report,
Regular Season,9,Sun,2018-10-21,14:30 (15:30),Feyenoord,3–0,Zwolle,45600,Stadion Feijenoord,Siemen Mulder,Match Report,
Regular Season,9,Sun,2018-10-21,16:45 (17:45),Fortuna Sittard,3–1,De Graafschap,8527,Fortuna Sittard Stadion,Richard Martens,Match Report,
Regular Season,10,Fri,2018-10-26,20:00 (21:00),Emmen,1–1,VVV-Venlo,8300,De Oude Meerdijk,Rob Dieperink,Match Report,
Regular Season,10,Sat,2018-10-27,18:30 (19:30),ADO Den Haag,1–1,NAC Breda,12199,Cars Jeans Stadion,Pol van Boekel,Match Report,
Regular Season,10,Sat,2018-10-27,19:45 (20:45),Groningen,1–2,PSV Eindhoven,18445,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
Regular Season,10,Sat,2018-10-27,19:45 (20:45),De Graafschap,4–1,Excelsior,12108,Stadion De Vijverberg,Joey Kooij,Match Report,
Regular Season,10,Sat,2018-10-27,20:45 (21:45),Zwolle,1–1,Heracles Almelo,13523,MAC³PARK Stadion,Edwin van de Graaf,Match Report,
Regular Season,10,Sun,2018-10-28,12:15 (14:15),Vitesse,2–1,Fortuna Sittard,15879,GelreDome,Dennis Higler,Match Report,
Regular Season,10,Sun,2018-10-28,14:30 (16:30),Ajax,3–0,Feyenoord,53270,Johan Cruyff ArenA,Björn Kuipers,Match Report,
Regular Season,10,Sun,2018-10-28,14:30 (16:30),Willem II,0–1,Utrecht,12742,Koning Willem II Stadion,Jochem Kamphuis,Match Report,
Regular Season,10,Sun,2018-10-28,16:45 (18:45),AZ Alkmaar,2–3,Heerenveen,16535,AFAS Stadion,Serdar Gözübüyük,Match Report,
Regular Season,11,Fri,2018-11-02,20:00 (22:00),Excelsior,2–4,Groningen,4257,Van Donge & De Roo Stadion,Dennis Higler,Match Report,
Regular Season,11,Sat,2018-11-03,18:30 (20:30),PSV Eindhoven,1–0,Vitesse,34100,Philips Stadion,Serdar Gözübüyük,Match Report,
Regular Season,11,Sat,2018-11-03,18:30 (20:30),NAC Breda,2–1,Heracles Almelo,18385,Rat Verlegh Stadion,Danny Makkelie,Match Report,
Regular Season,11,Sat,2018-11-03,20:45 (22:45),AZ Alkmaar,1–0,De Graafschap,13200,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,11,Sat,2018-11-03,20:45 (22:45),Ajax,2–0,Willem II,53432,Johan Cruyff ArenA,Allard Lindhout,Match Report,
Regular Season,11,Sun,2018-11-04,12:15 (14:15),Heerenveen,1–1,Emmen,19835,Abe Lenstra Stadion,Kevin Blom,Match Report,
Regular Season,11,Sun,2018-11-04,14:30 (16:30),Fortuna Sittard,3–0,Zwolle,8332,Fortuna Sittard Stadion,Christiaan Bax,Match Report,
Regular Season,11,Sun,2018-11-04,14:30 (16:30),Utrecht,3–0,ADO Den Haag,15946,Stadion Galgenwaard,Jeroen Manschot,Match Report,
Regular Season,12,Fri,2018-11-09,20:00 (22:00),Zwolle,2–3,Willem II,13222,MAC³PARK Stadion,Richard Martens,Match Report,
Regular Season,12,Sat,2018-11-10,18:30 (20:30),Emmen,2–0,NAC Breda,8300,De Oude Meerdijk,Jochem Kamphuis,Match Report,
Regular Season,12,Sat,2018-11-10,19:45 (21:45),De Graafschap,1–4,PSV Eindhoven,12313,Stadion De Vijverberg,Kevin Blom,Match Report,
Regular Season,12,Sat,2018-11-10,19:45 (21:45),Vitesse,2–1,Utrecht,15131,GelreDome,Danny Makkelie,Match Report,
Regular Season,12,Sat,2018-11-10,20:45 (22:45),VVV-Venlo,3–2,Fortuna Sittard,7534,Seacon Stadion De Koel,Siemen Mulder,Match Report,
Regular Season,12,Sun,2018-11-11,12:15 (14:15),Groningen,2–0,Heerenveen,20731,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
Regular Season,12,Sun,2018-11-11,14:30 (16:30),Excelsior,1–7,Ajax,4400,Van Donge & De Roo Stadion,Serdar Gözübüyük,Match Report,
Regular Season,12,Sun,2018-11-11,14:30 (16:30),ADO Den Haag,0–1,AZ Alkmaar,12717,Cars Jeans Stadion,Dennis Higler,Match Report,
Regular Season,12,Sun,2018-11-11,16:45 (18:45),Heracles Almelo,0–2,Feyenoord,11754,Polman Stadion,Allard Lindhout,Match Report,
Regular Season,13,Sat,2018-11-24,18:30 (20:30),NAC Breda,0–3,Ajax,18969,Rat Verlegh Stadion,Dennis Higler,Match Report,
Regular Season,13,Sat,2018-11-24,18:30 (20:30),Zwolle,2–3,ADO Den Haag,12152,MAC³PARK Stadion,Siemen Mulder,Match Report,
Regular Season,13,Sat,2018-11-24,20:45 (22:45),Fortuna Sittard,3–0,Heracles Almelo,7545,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,
Regular Season,13,Sat,2018-11-24,20:45 (22:45),PSV Eindhoven,3–0,Heerenveen,34100,Philips Stadion,Pol van Boekel,Match Report,
Regular Season,13,Sun,2018-11-25,12:15 (14:15),Emmen,1–2,Excelsior,8021,De Oude Meerdijk,Erwin Blank,Match Report,
Regular Season,13,Sun,2018-11-25,14:30 (16:30),Willem II,1–3,Vitesse,11879,Koning Willem II Stadion,Björn Kuipers,Match Report,
Regular Season,13,Sun,2018-11-25,14:30 (16:30),Feyenoord,1–0,Groningen,45000,Stadion Feijenoord,Kevin Blom,Match Report,
Regular Season,13,Sun,2018-11-25,14:30 (16:30),Utrecht,5–0,De Graafschap,18802,Stadion Galgenwaard,Allard Lindhout,Match Report,
Regular Season,13,Sun,2018-11-25,16:45 (18:45),VVV-Venlo,2–2,AZ Alkmaar,6217,Seacon Stadion De Koel,Jeroen Manschot,Match Report,
Regular Season,14,Fri,2018-11-30,20:00 (22:00),Excelsior,3–3,Utrecht,4400,Van Donge & De Roo Stadion,Richard Martens,Match Report,
Regular Season,14,Sat,2018-12-01,18:30 (20:30),Vitesse,1–1,Emmen,15821,GelreDome,Siemen Mulder,Match Report,
Regular Season,14,Sat,2018-12-01,19:45 (21:45),De Graafschap,0–2,Zwolle,12008,Stadion De Vijverberg,Martin van den Kerkhof,Match Report,
Regular Season,14,Sat,2018-12-01,19:45 (21:45),AZ Alkmaar,0–2,Willem II,15787,AFAS Stadion,Allard Lindhout,Match Report,
Regular Season,14,Sat,2018-12-01,20:45 (22:45),Heerenveen,3–1,Fortuna Sittard,15626,Abe Lenstra Stadion,Joey Kooij,Match Report,
Regular Season,14,Sun,2018-12-02,12:15 (14:15),Ajax,5–1,ADO Den Haag,53644,Johan Cruyff ArenA,Pol van Boekel,Match Report,
Regular Season,14,Sun,2018-12-02,14:30 (16:30),Feyenoord,2–1,PSV Eindhoven,45000,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
Regular Season,14,Sun,2018-12-02,14:30 (16:30),Heracles Almelo,4–1,VVV-Venlo,10233,Polman Stadion,Björn Kuipers,Match Report,
Regular Season,14,Sun,2018-12-02,16:45 (18:45),Groningen,5–2,NAC Breda,18377,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
Regular Season,11,Thu,2018-12-06,20:00 (22:00),Feyenoord,4–1,VVV-Venlo,40000,Stadion Feijenoord,Dennis Higler,Match Report,
Regular Season,15,Fri,2018-12-07,18:30 (20:30),Fortuna Sittard,0–3,AZ Alkmaar,7133,Fortuna Sittard Stadion,Edwin van de Graaf,Match Report,
Regular Season,15,Fri,2018-12-07,20:45 (22:45),PSV Eindhoven,6–0,Excelsior,33100,Philips Stadion,Jeroen Manschot,Match Report,
Regular Season,15,Sat,2018-12-08,18:30 (20:30),Willem II,1–5,Heerenveen,12595,Koning Willem II Stadion,Siemen Mulder,Match Report,
Regular Season,15,Sat,2018-12-08,19:45 (21:45),Zwolle,1–4,Ajax,14000,MAC³PARK Stadion,Jochem Kamphuis,Match Report,
Regular Season,15,Sat,2018-12-08,20:45 (22:45),ADO Den Haag,0–0,De Graafschap,11105,Cars Jeans Stadion,Christiaan Bax,Match Report,
Regular Season,15,Sun,2018-12-09,12:15 (14:15),Utrecht,3–1,Heracles Almelo,21812,Stadion Galgenwaard,Kevin Blom,Match Report,
Regular Season,15,Sun,2018-12-09,14:30 (16:30),Emmen,1–4,Feyenoord,8301,De Oude Meerdijk,Pol van Boekel,Match Report,
Regular Season,15,Sun,2018-12-09,14:30 (16:30),VVV-Venlo,0–0,Groningen,6668,Seacon Stadion De Koel,Serdar Gözübüyük,Match Report,
Regular Season,15,Sun,2018-12-09,16:45 (18:45),NAC Breda,2–1,Vitesse,18280,Rat Verlegh Stadion,Allard Lindhout,Match Report,
Regular Season,16,Fri,2018-12-14,20:00 (22:00),Willem II,0–3,ADO Den Haag,12163,Koning Willem II Stadion,Jochem Kamphuis,Match Report,
Regular Season,16,Sat,2018-12-15,18:30 (20:30),Zwolle,0–0,NAC Breda,13242,MAC³PARK Stadion,Pol van Boekel,Match Report,
Regular Season,16,Sat,2018-12-15,19:45 (21:45),AZ Alkmaar,2–1,Excelsior,14427,AFAS Stadion,Martin van den Kerkhof,Match Report,
Regular Season,16,Sat,2018-12-15,19:45 (21:45),Heracles Almelo,0–4,PSV Eindhoven,12080,Polman Stadion,Dennis Higler,Match Report,
Regular Season,16,Sat,2018-12-15,20:45 (22:45),Vitesse,2–1,VVV-Venlo,13249,GelreDome,Christiaan Bax,Match Report,
Regular Season,16,Sun,2018-12-16,12:15 (14:15),Heerenveen,2–3,Utrecht,17575,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,
Regular Season,16,Sun,2018-12-16,14:30 (16:30),Ajax,8–0,De Graafschap,53388,Johan Cruyff ArenA,Kevin Blom,Match Report,
Regular Season,16,Sun,2018-12-16,14:30 (16:30),Groningen,1–2,Emmen,21965,Hitachi Capital Mobility Stadion,Björn Kuipers,Match Report,
Regular Season,16,Sun,2018-12-16,16:45 (18:45),Feyenoord,0–2,Fortuna Sittard,47500,Stadion Feijenoord,Jeroen Manschot,Match Report,
Regular Season,17,Fri,2018-12-21,20:00 (22:00),VVV-Venlo,2–0,Zwolle,7235,Seacon Stadion De Koel,Joey Kooij,Match Report,
Regular Season,17,Sat,2018-12-22,18:30 (20:30),Fortuna Sittard,0–0,Groningen,8283,Fortuna Sittard Stadion,Allard Lindhout,Match Report,
Regular Season,17,Sat,2018-12-22,19:45 (21:45),PSV Eindhoven,3–1,AZ Alkmaar,34300,Philips Stadion,Pol van Boekel,Match Report,
Regular Season,17,Sat,2018-12-22,19:45 (21:45),NAC Breda,4–2,Heerenveen,18352,Rat Verlegh Stadion,Jochem Kamphuis,Match Report,
Regular Season,17,Sat,2018-12-22,20:45 (22:45),Excelsior,0–3,Heracles Almelo,4032,Van Donge & De Roo Stadion,Christiaan Bax,Match Report,
Regular Season,17,Sun,2018-12-23,12:15 (14:15),Utrecht,1–3,Ajax,23226,Stadion Galgenwaard,Dennis Higler,Match Report,
Regular Season,17,Sun,2018-12-23,14:30 (16:30),De Graafschap,2–2,Vitesse,12600,Stadion De Vijverberg,Björn Kuipers,Match Report,
Regular Season,17,Sun,2018-12-23,14:30 (16:30),ADO Den Haag,2–2,Feyenoord,13851,Cars Jeans Stadion,Kevin Blom,Match Report,
Regular Season,17,Sun,2018-12-23,16:45 (18:45),Emmen,0–2,Willem II,8301,De Oude Meerdijk,Serdar Gözübüyük,Match Report,
Regular Season,18,Fri,2019-01-18,20:00 (22:00),Vitesse,3–2,Excelsior,13231,GelreDome,Edwin van de Graaf,Match Report,
Regular Season,18,Sat,2019-01-19,18:30 (20:30),AZ Alkmaar,3–0,Utrecht,16104,AFAS Stadion,Allard Lindhout,Match Report,
Regular Season,18,Sat,2019-01-19,19:45 (21:45),Zwolle,3–1,Feyenoord,13850,MAC³PARK Stadion,Pol van Boekel,Match Report,
Regular Season,18,Sat,2019-01-19,19:45 (21:45),ADO Den Haag,2–4,VVV-Venlo,10181,Cars Jeans Stadion,Jeroen Manschot,Match Report,
Regular Season,18,Sat,2019-01-19,20:45 (22:45),Groningen,3–0,Heracles Almelo,16143,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,
Regular Season,18,Sun,2019-01-20,12:15 (14:15),Willem II,2–0,NAC Breda,14400,Koning Willem II Stadion,Björn Kuipers,Match Report,
Regular Season,18,Sun,2019-01-20,14:30 (16:30),Emmen,2–2,PSV Eindhoven,8301,De Oude Meerdijk,Jochem Kamphuis,Match Report,
Regular Season,18,Sun,2019-01-20,14:30 (16:30),De Graafschap,5–1,Fortuna Sittard,12304,Stadion De Vijverberg,Siemen Mulder,Match Report,
Regular Season,18,Sun,2019-01-20,16:45 (18:45),Ajax,4–4,Heerenveen,52553,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,
Regular Season,19,Fri,2019-01-25,20:00 (22:00),NAC Breda,1–1,ADO Den Haag,18547,Rat Verlegh Stadion,Pol van Boekel,Match Report,
Regular Season,19,Sat,2019-01-26,18:30 (20:30),Heracles Almelo,0–2,Zwolle,10667,Polman Stadion,Allard Lindhout,Match Report,
Regular Season,19,Sat,2019-01-26,19:45 (21:45),PSV Eindhoven,2–1,Groningen,33900,Philips Stadion,Dennis Higler,Match Report,
Regular Season,19,Sat,2019-01-26,19:45 (21:45),Excelsior,2–0,De Graafschap,4400,Van Donge & De Roo Stadion,Jeroen Manschot,Match Report,
Regular Season,19,Sat,2019-01-26,20:45 (22:45),VVV-Venlo,2–3,Emmen,6145,Seacon Stadion De Koel,Christiaan Bax,Match Report,
Regular Season,19,Sun,2019-01-27,12:15 (14:15),Fortuna Sittard,2–1,Vitesse,8123,Fortuna Sittard Stadion,Martin Perez,Match Report,
Regular Season,19,Sun,2019-01-27,14:30 (16:30),Utrecht,0–1,Willem II,17256,Stadion Galgenwaard,Joey Kooij,Match Report,
Regular Season,19,Sun,2019-01-27,14:30 (16:30),Feyenoord,6–2,Ajax,47500,Stadion Feijenoord,Danny Makkelie,Match Report,
Regular Season,19,Sun,2019-01-27,16:45 (18:45),Heerenveen,0–2,AZ Alkmaar,17182,Abe Lenstra Stadion,Siemen Mulder,Match Report,
Regular Season,20,Fri,2019-02-01,20:00 (22:00),De Graafschap,3–0,NAC Breda,12502,Stadion De Vijverberg,Danny Makkelie,Match Report,
Regular Season,20,Sat,2019-02-02,18:30 (20:30),Vitesse,2–2,Heerenveen,15342,GelreDome,Martin van den Kerkhof,Match Report,
Regular Season,20,Sat,2019-02-02,19:45 (21:45),Ajax,6–0,VVV-Venlo,52868,Johan Cruyff ArenA,Allard Lindhout,Match Report,
Regular Season,20,Sat,2019-02-02,19:45 (21:45),Willem II,1–2,Groningen,12633,Koning Willem II Stadion,Richard Martens,Match Report,
Regular Season,20,Sat,2019-02-02,20:45 (22:45),AZ Alkmaar,5–0,Emmen,14328,AFAS Stadion,Serdar Gözübüyük,Match Report,
Regular Season,20,Sun,2019-02-03,12:15 (14:15),Excelsior,2–1,Feyenoord,4400,Van Donge & De Roo Stadion,Jochem Kamphuis,Match Report,
Regular Season,20,Sun,2019-02-03,14:30 (16:30),Zwolle,4–3,Utrecht,13024,MAC³PARK Stadion,Björn Kuipers,Match Report,
Regular Season,20,Sun,2019-02-03,14:30 (16:30),PSV Eindhoven,5–0,Fortuna Sittard,34400,Philips Stadion,Kevin Blom,Match Report,
Regular Season,20,Sun,2019-02-03,16:45 (18:45),ADO Den Haag,2–0,Heracles Almelo,11464,Cars Jeans Stadion,Siemen Mulder,Match Report,
Regular Season,21,Fri,2019-02-08,20:00 (22:00),NAC Breda,0–3,AZ Alkmaar,18205,Rat Verlegh Stadion,Jeroen Manschot,Match Report,
Regular Season,21,Sat,2019-02-09,18:30 (20:30),Heracles Almelo,1–0,Ajax,12080,Polman Stadion,Dennis Higler,Match Report,
