Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2012-08-10,,Willem II,1–1,NAC Breda,,Koning Willem II Stadion,Bas Nijhuis,Match Report,
1,Sat,2012-08-11,,Heracles Almelo,1–1,VVV-Venlo,,Polman Stadion,Richard Liesveld,Match Report,
1,Sat,2012-08-11,,Roda JC,1–1,Zwolle,,Parkstad Limburg Stadion,Dennis Higler,Match Report,
1,Sat,2012-08-11,,RKC Waalwijk,3–2,PSV Eindhoven,,Mandemakers Stadion,Reinold Wiedemeijer,Match Report,
1,Sun,2012-08-12,,Ajax,2–2,AZ Alkmaar,,Amsterdam ArenA,Kevin Blom,Match Report,
1,Sun,2012-08-12,,Vitesse,2–2,ADO Den Haag,,GelreDome,Björn Kuipers,Match Report,
1,Sun,2012-08-12,,Twente,4–1,Groningen,,De Grolsch Veste,Jan Wegereef,Match Report,
1,Sun,2012-08-12,,Utrecht,0–1,Feyenoord,,Galgenwaard,Pol van Boekel,Match Report,
1,Sun,2012-08-12,,Heerenveen,0–2,NEC Nijmegen,,Abe Lenstra stadion,Tom van Sichem,Match Report,
2,Sat,2012-08-18,,Feyenoord,1–1,Heerenveen,,De Kuip,Björn Kuipers,Match Report,
2,Sat,2012-08-18,,NAC Breda,0–1,Twente,,Rat Verlegh Stadion,Kevin Blom,Match Report,
2,Sat,2012-08-18,,PSV Eindhoven,5–0,Roda JC,,Philips Stadion,Danny Makkelie,Match Report,
2,Sat,2012-08-18,,Zwolle,0–1,Vitesse,,IJsseldelta Stadion,Pol van Boekel,Match Report,
2,Sat,2012-08-18,,VVV-Venlo,1–3,Utrecht,,Seacon Stadion - De Koel -,Ruud Bossen,Match Report,
2,Sun,2012-08-19,,AZ Alkmaar,3–1,Heracles Almelo,,AFAS Stadion,Serdar Gözübüyük,Match Report,
2,Sun,2012-08-19,,Groningen,1–1,Willem II,,Euroborg,Ed Janssen,Match Report,
2,Sun,2012-08-19,,NEC Nijmegen,1–6,Ajax,,Goffertstadion,Pieter Vink,Match Report,
2,Sun,2012-08-19,,ADO Den Haag,2–2,RKC Waalwijk,,Kyocera Stadium,Jeroen Sanders,Match Report,
3,Fri,2012-08-24,,RKC Waalwijk,1–0,Roda JC,,Mandemakers Stadion,Björn Kuipers,Match Report,
3,Sat,2012-08-25,,Utrecht,1–1,Zwolle,,Galgenwaard,Maarten Ketting,Match Report,
3,Sat,2012-08-25,,VVV-Venlo,2–4,ADO Den Haag,,Seacon Stadion - De Koel -,Jochem Kamphuis,Match Report,
3,Sat,2012-08-25,,Ajax,5–0,NAC Breda,,Amsterdam ArenA,Reinold Wiedemeijer,Match Report,
3,Sun,2012-08-26,,Willem II,0–2,Vitesse,,Koning Willem II Stadion,Dennis Higler,Match Report,
3,Sun,2012-08-26,,Heracles Almelo,1–2,Feyenoord,,Polman Stadion,Pieter Vink,Match Report,
3,Sun,2012-08-26,,AZ Alkmaar,0–0,Heerenveen,,AFAS Stadion,Danny Makkelie,Match Report,
3,Sun,2012-08-26,,NEC Nijmegen,1–3,Twente,,Goffertstadion,Ruud Bossen,Match Report,
3,Sun,2012-08-26,,Groningen,1–3,PSV Eindhoven,,Euroborg,Serdar Gözübüyük,Match Report,
4,Fri,2012-08-31,,ADO Den Haag,0–1,Groningen,,Kyocera Stadium,Eric Braamhaar,Match Report,
4,Sat,2012-09-01,,RKC Waalwijk,1–1,Heracles Almelo,,Mandemakers Stadion,Jan Wegereef,Match Report,
4,Sat,2012-09-01,,NAC Breda,1–1,Utrecht,,Rat Verlegh Stadion,Richard Liesveld,Match Report,
4,Sat,2012-09-01,,Zwolle,0–4,NEC Nijmegen,,IJsseldelta Stadion,Danny Makkelie,Match Report,
