Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-08-13,20:00 (21:00),Go Ahead Eag,0–1,Heerenveen,1173,De Adelaarshorst,Kevin Blom,Match Report,
1,Sat,2021-08-14,16:30 (17:30),RKC Waalwijk,1–0,AZ Alkmaar,3860,Mandemakers Stadion,Joey Kooij,Match Report,
1,Sat,2021-08-14,18:45 (19:45),Heracles Almelo,0–2,PSV Eindhoven,8053,Polman Stadion,Danny Makkelie,Match Report,
1,Sat,2021-08-14,20:00 (21:00),Fortuna Sittard,2–1,Twente,6300,Fortuna Sittard Stadion,Jochem Kamphuis,Match Report,
1,Sat,2021-08-14,21:00 (22:00),Ajax,5–0,NEC Nijmegen,32275,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
1,Sun,2021-08-15,12:15 (13:15),Cambuur,1–2,Groningen,7000,Cambuurstadion,Allard Lindhout,Match Report,
1,Sun,2021-08-15,14:30 (15:30),Zwolle,0–1,Vitesse,9000,MAC³PARK Stadion,Richard Martens,Match Report,
1,Sun,2021-08-15,14:30 (15:30),Utrecht,4–0,Sparta R'dam,16000,Stadion Galgenwaard,Martin van den Kerkhof,Match Report,
1,Sun,2021-08-15,16:45 (17:45),Willem II,0–4,Feyenoord,9700,Koning Willem II Stadion,Serdar Gözübüyük,Match Report,
2,Fri,2021-08-20,20:00 (21:00),NEC Nijmegen,2–0,Zwolle,8500,Goffertstadion,Sander Van der Eijk,Match Report,
2,Sat,2021-08-21,18:45 (19:45),Heerenveen,3–2,RKC Waalwijk,13600,Abe Lenstra Stadion,Marc Nagtegaal,Match Report,
2,Sat,2021-08-21,20:00 (21:00),PSV Eindhoven,4–1,Cambuur,23500,Philips Stadion,Martin van den Kerkhof,Match Report,
2,Sat,2021-08-21,20:00 (21:00),Sparta R'dam,1–1,Heracles Almelo,7000,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
2,Sat,2021-08-21,21:00 (22:00),Groningen,0–0,Utrecht,14800,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
2,Sun,2021-08-22,12:15 (13:15),Twente,1–1,Ajax,20000,De Grolsch Veste,Dennis Higler,Match Report,
2,Sun,2021-08-22,14:30 (15:30),Feyenoord,2–0,Go Ahead Eag,34384,Stadion Feijenoord,Rob Dieperink,Match Report,
2,Sun,2021-08-22,16:45 (17:45),Vitesse,0–3,Willem II,10157,GelreDome,Allard Lindhout,Match Report,
