Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2013-11-02,,Ajax,0–1,Vitesse,,Amsterdam ArenA,Bas Nijhuis,Match Report,
12,Sat,2013-11-02,,AZ Alkmaar,2–0,ADO Den Haag,,AFAS Stadion,Björn Kuipers,Match Report,
12,Sat,2013-11-02,,PSV Eindhoven,1–1,Zwolle,,Philips Stadion,Pieter Vink,Match Report,
12,Sat,2013-11-02,,Twente,2–2,NEC Nijmegen,,De Grolsch Veste,Dennis Higler,Match Report,
12,Sun,2013-11-03,,Groningen,3–3,Roda JC,,Euroborg,Danny Makkelie,Match Report,
12,Sun,2013-11-03,,Utrecht,2–0,Heerenveen,,Galgenwaard,Jochem Kamphuis,Match Report,
12,Sun,2013-11-03,,Cambuur,0–2,Feyenoord,,Cambuurstadion,Pol van Boekel,Match Report,
13,Fri,2013-11-08,,Heerenveen,5–2,RKC Waalwijk,,Abe Lenstra stadion,Tom van Sichem,Match Report,
13,Sat,2013-11-09,,Roda JC,1–4,Go Ahead Eag,,Parkstad Limburg Stadion,Eric Braamhaar,Match Report,
13,Sat,2013-11-09,,Vitesse,3–1,Utrecht,,GelreDome,Pol van Boekel,Match Report,
13,Sat,2013-11-09,,ADO Den Haag,3–0,Cambuur,,Kyocera Stadium,Ed Janssen,Match Report,
13,Sat,2013-11-09,,Heracles Almelo,0–3,Groningen,,Polman Stadion,Richard Liesveld,Match Report,
13,Sun,2013-11-10,,Feyenoord,2–2,AZ Alkmaar,,De Kuip,Bas Nijhuis,Match Report,
13,Sun,2013-11-10,,NEC Nijmegen,0–3,Ajax,,Goffertstadion,Björn Kuipers,Match Report,
13,Sun,2013-11-10,,Zwolle,1–1,Twente,,IJsseldelta Stadion,Kevin Blom,Match Report,
13,Sun,2013-11-10,,NAC Breda,2–1,PSV Eindhoven,,Rat Verlegh Stadion,Reinold Wiedemeijer,Match Report,
14,Sat,2013-11-23,,AZ Alkmaar,2–2,Roda JC,,AFAS Stadion,Reinold Wiedemeijer,Match Report,
14,Sat,2013-11-23,,PSV Eindhoven,1–1,Heerenveen,,Philips Stadion,Serdar Gözübüyük,Match Report,
14,Sat,2013-11-23,,Ajax,3–0,Heracles Almelo,,Amsterdam ArenA,Pol van Boekel,Match Report,
14,Sat,2013-11-23,,Cambuur,2–1,NEC Nijmegen,,Cambuurstadion,Bas Nijhuis,Match Report,
14,Sun,2013-11-24,,Groningen,0–0,Zwolle,,Euroborg,Dennis Higler,Match Report,
14,Sun,2013-11-24,,Twente,5–2,NAC Breda,,De Grolsch Veste,Ed Janssen,Match Report,
14,Sun,2013-11-24,,Utrecht,3–0,ADO Den Haag,,Galgenwaard,Kevin Blom,Match Report,
14,Sun,2013-11-24,,RKC Waalwijk,1–0,Feyenoord,,Mandemakers Stadion,Pieter Vink,Match Report,
14,Sun,2013-11-24,,Go Ahead Eag,0–3,Vitesse,,De Adelaarshorst,Danny Makkelie,Match Report,
15,Fri,2013-11-29,,Roda JC,1–2,Twente,,Parkstad Limburg Stadion,Serdar Gözübüyük,Match Report,
15,Sat,2013-11-30,,Zwolle,1–1,RKC Waalwijk,,IJsseldelta Stadion,Jochem Kamphuis,Match Report,
15,Sat,2013-11-30,,NAC Breda,2–2,Groningen,,Rat Verlegh Stadion,Eric Braamhaar,Match Report,
15,Sat,2013-11-30,,Heerenveen,3–1,Go Ahead Eag,,Abe Lenstra stadion,Pieter Vink,Match Report,
15,Sat,2013-11-30,,Heracles Almelo,1–2,Utrecht,,Polman Stadion,Dennis Higler,Match Report,
15,Sun,2013-12-01,,NEC Nijmegen,3–2,AZ Alkmaar,,Goffertstadion,Pol van Boekel,Match Report,
15,Sun,2013-12-01,,Feyenoord,3–1,PSV Eindhoven,,De Kuip,Danny Makkelie,Match Report,
15,Sun,2013-12-01,,ADO Den Haag,0–4,Ajax,,Kyocera Stadium,Reinold Wiedemeijer,Match Report,
15,Sun,2013-12-01,,Vitesse,3–0,Cambuur,,GelreDome,Björn Kuipers,Match Report,
9,Wed,2013-12-04,,ADO Den Haag,1–1,Heerenveen,,Kyocera Stadium,Bas Nijhuis,Match Report,
12,Wed,2013-12-04,,Go Ahead Eag,1–1,Heracles Almelo,,De Adelaarshorst,Tom van Sichem,Match Report,
16,Fri,2013-12-06,,Utrecht,2–0,NEC Nijmegen,,Galgenwaard,Jeroen Sanders,Match Report,
16,Sat,2013-12-07,,Ajax,4–0,NAC Breda,,Amsterdam ArenA,Danny Makkelie,Match Report,
16,Sat,2013-12-07,,RKC Waalwijk,2–2,Cambuur,,Mandemakers Stadion,Eric Braamhaar,Match Report,
16,Sat,2013-12-07,,AZ Alkmaar,1–2,Twente,,AFAS Stadion,Pieter Vink,Match Report,
16,Sat,2013-12-07,,PSV Eindhoven,2–6,Vitesse,,Philips Stadion,Bas Nijhuis,Match Report,
16,Sun,2013-12-08,,Roda JC,1–3,Heracles Almelo,,Parkstad Limburg Stadion,Reinold Wiedemeijer,Match Report,
16,Sun,2013-12-08,,Groningen,1–2,ADO Den Haag,,Euroborg,Serdar Gözübüyük,Match Report,
16,Sun,2013-12-08,,Go Ahead Eag,4–1,Zwolle,,De Adelaarshorst,Pol van Boekel,Match Report,
16,Sun,2013-12-08,,Heerenveen,1–2,Feyenoord,,Abe Lenstra stadion,Björn Kuipers,Match Report,
17,Fri,2013-12-13,,Zwolle,1–2,Heerenveen,,IJsseldelta Stadion,Jeroen Sanders,Match Report,
17,Sat,2013-12-14,,Twente,3–1,Go Ahead Eag,,De Grolsch Veste,Richard Liesveld,Match Report,
17,Sat,2013-12-14,,NEC Nijmegen,4–3,Roda JC,,Goffertstadion,Jochem Kamphuis,Match Report,
17,Sat,2013-12-14,,ADO Den Haag,1–2,RKC Waalwijk,,Kyocera Stadium,Ed Janssen,Match Report,
17,Sun,2013-12-15,,Cambuur,1–2,Ajax,,Cambuurstadion,Pieter Vink,Match Report,
17,Sun,2013-12-15,,Utrecht,1–5,PSV Eindhoven,,Galgenwaard,Pol van Boekel,Match Report,
17,Sun,2013-12-15,,Feyenoord,1–0,Groningen,,De Kuip,Kevin Blom,Match Report,
17,Sun,2013-12-15,,Vitesse,3–2,NAC Breda,,GelreDome,Tom van Sichem,Match Report,
