Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2020-09-12,18:45 (19:45),Heerenveen,2–0,Willem II,4000,Abe Lenstra Stadion,Richard Martens,Match Report,
Regular Season,1,Sat,2020-09-12,20:00 (21:00),Zwolle,0–2,Feyenoord,2993,MAC³PARK Stadion,Bas Nijhuis,Match Report,
Regular Season,1,Sat,2020-09-12,21:00 (22:00),Twente,2–0,Fortuna Sittard,8000,De Grolsch Veste,Allard Lindhout,Match Report,
Regular Season,1,Sun,2020-09-13,12:15 (13:15),Emmen,3–5,VVV-Venlo,2400,De Oude Meerdijk,Siemen Mulder,Match Report,
Regular Season,1,Sun,2020-09-13,14:30 (15:30),Heracles Almelo,2–0,ADO Den Haag,2700,Polman Stadion,Sander Van der Eijk,Match Report,
Regular Season,1,Sun,2020-09-13,14:30 (15:30),Sparta R'dam,0–1,Ajax,3934,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,
Regular Season,1,Sun,2020-09-13,16:45 (17:45),RKC Waalwijk,0–1,Vitesse,1967,Mandemakers Stadion,Edwin van de Graaf,Match Report,
Regular Season,1,Sun,2020-09-13,16:45 (17:45),Groningen,1–3,PSV Eindhoven,6049,Hitachi Capital Mobility Stadion,Serdar Gözübüyük,Match Report,
Regular Season,2,Fri,2020-09-18,20:00 (21:00),VVV-Venlo,1–1,Utrecht,1435,Seacon Stadion De Koel,Rob Dieperink,Match Report,
Regular Season,2,Sat,2020-09-19,16:30 (17:30),AZ Alkmaar,1–1,Zwolle,5000,AFAS Stadion,Serdar Gözübüyük,Match Report,
Regular Season,2,Sat,2020-09-19,18:45 (19:45),Vitesse,2–0,Sparta R'dam,4914,GelreDome,Björn Kuipers,Match Report,
Regular Season,2,Sat,2020-09-19,20:00 (21:00),PSV Eindhoven,2–1,Emmen,8000,Philips Stadion,Martin van den Kerkhof,Match Report,
Regular Season,2,Sat,2020-09-19,21:00 (22:00),Fortuna Sittard,1–3,Heerenveen,2500,Fortuna Sittard Stadion,Martin Perez,Match Report,
Regular Season,2,Sun,2020-09-20,12:15 (13:15),ADO Den Haag,0–1,Groningen,3378,Cars Jeans Stadion,Danny Makkelie,Match Report,
Regular Season,2,Sun,2020-09-20,14:30 (15:30),Willem II,4–0,Heracles Almelo,3908,Koning Willem II Stadion,Jeroen Manschot,Match Report,
Regular Season,2,Sun,2020-09-20,14:30 (15:30),Feyenoord,1–1,Twente,13000,Stadion Feijenoord,Pol van Boekel,Match Report,
Regular Season,2,Sun,2020-09-20,16:45 (17:45),Ajax,3–0,RKC Waalwijk,11948,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Regular Season,3,Fri,2020-09-25,20:00 (21:00),Twente,3–1,Groningen,8000,De Grolsch Veste,Sander Van der Eijk,Match Report,
Regular Season,3,Sat,2020-09-26,16:30 (17:30),Zwolle,4–0,Sparta R'dam,2933,MAC³PARK Stadion,Allard Lindhout,Match Report,
Regular Season,3,Sat,2020-09-26,18:45 (19:45),Fortuna Sittard,3–3,AZ Alkmaar,3000,Fortuna Sittard Stadion,Björn Kuipers,Match Report,
Regular Season,3,Sat,2020-09-26,20:00 (21:00),Heerenveen,1–0,VVV-Venlo,6500,Abe Lenstra Stadion,Kevin Blom,Match Report,
Regular Season,3,Sat,2020-09-26,21:00 (22:00),Ajax,2–1,Vitesse,12176,Johan Cruyff ArenA,Pol van Boekel,Match Report,
Regular Season,3,Sun,2020-09-27,12:15 (13:15),Feyenoord,4–2,ADO Den Haag,13000,Stadion Feijenoord,Dennis Higler,Match Report,
Regular Season,3,Sun,2020-09-27,14:30 (15:30),Utrecht,3–1,RKC Waalwijk,4944,Stadion Galgenwaard,Siemen Mulder,Match Report,
Regular Season,3,Sun,2020-09-27,16:45 (17:45),Emmen,1–1,Willem II,2312,De Oude Meerdijk,Edwin van de Graaf,Match Report,
Regular Season,3,Sun,2020-09-27,16:45 (17:45),Heracles Almelo,1–1,PSV Eindhoven,3083,Polman Stadion,Jochem Kamphuis,Match Report,
Regular Season,4,Fri,2020-10-02,20:00 (21:00),Utrecht,1–1,Heerenveen,,Stadion Galgenwaard,Pol van Boekel,Match Report,
Regular Season,4,Sat,2020-10-03,16:30 (17:30),Vitesse,3–0,Heracles Almelo,,GelreDome,Martin van den Kerkhof,Match Report,
Regular Season,4,Sat,2020-10-03,20:00 (21:00),VVV-Venlo,1–2,ADO Den Haag,,Seacon Stadion De Koel,Bas Nijhuis,Match Report,
Regular Season,4,Sat,2020-10-03,21:00 (22:00),Twente,1–1,Emmen,,De Grolsch Veste,Siemen Mulder,Match Report,
Regular Season,4,Sun,2020-10-04,12:15 (13:15),Groningen,1–0,Ajax,,Hitachi Capital Mobility Stadion,Dennis Higler,Match Report,
Regular Season,4,Sun,2020-10-04,14:30 (15:30),Willem II,1–4,Feyenoord,,Koning Willem II Stadion,Allard Lindhout,Match Report,
Regular Season,4,Sun,2020-10-04,14:30 (15:30),Sparta R'dam,4–4,AZ Alkmaar,,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,
Regular Season,4,Sun,2020-10-04,16:45 (17:45),PSV Eindhoven,2–0,Fortuna Sittard,,Philips Stadion,Jeroen Manschot,Match Report,
Regular Season,5,Sat,2020-10-17,18:45 (19:45),Heracles Almelo,0–1,RKC Waalwijk,,Polman Stadion,Jannick van der Laan,Match Report,
Regular Season,5,Sat,2020-10-17,20:00 (21:00),AZ Alkmaar,2–2,VVV-Venlo,,AFAS Stadion,Christiaan Bax,Match Report,
Regular Season,5,Sat,2020-10-17,21:00 (22:00),Willem II,0–3,Twente,,Koning Willem II Stadion,Dennis Higler,Match Report,
Regular Season,5,Sun,2020-10-18,12:15 (13:15),Feyenoord,1–1,Sparta R'dam,,Stadion Feijenoord,Kevin Blom,Match Report,
Regular Season,5,Sun,2020-10-18,14:30 (15:30),ADO Den Haag,0–2,Vitesse,,Cars Jeans Stadion,Richard Martens,Match Report,
Regular Season,5,Sun,2020-10-18,14:30 (15:30),Ajax,5–1,Heerenveen,,Johan Cruyff ArenA,Björn Kuipers,Match Report,
Regular Season,5,Sun,2020-10-18,16:45 (17:45),Zwolle,0–3,PSV Eindhoven,,MAC³PARK Stadion,Danny Makkelie,Match Report,
Regular Season,5,Sun,2020-10-18,16:45 (17:45),Groningen,0–0,Utrecht,,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
Regular Season,5,Sun,2020-10-18,20:00 (21:00),Emmen,2–2,Fortuna Sittard,,De Oude Meerdijk,Serdar Gözübüyük,Match Report,
Regular Season,4,Wed,2020-10-21,17:30 (18:30),RKC Waalwijk,1–1,Zwolle,,Mandemakers Stadion,Rob Dieperink,Match Report,
Regular Season,6,Sat,2020-10-24,16:30 (17:30),VVV-Venlo,0–13,Ajax,,Seacon Stadion De Koel,Danny Makkelie,Match Report,
Regular Season,6,Sat,2020-10-24,18:45 (19:45),Utrecht,2–1,Twente,,Stadion Galgenwaard,Kevin Blom,Match Report,
Regular Season,6,Sat,2020-10-24,20:00 (21:00),Zwolle,0–0,Willem II,,MAC³PARK Stadion,Martin Perez,Match Report,
Regular Season,6,Sat,2020-10-24,21:00 (22:00),Heerenveen,4–0,Emmen,,Abe Lenstra Stadion,Sander Van der Eijk,Match Report,
Regular Season,6,Sun,2020-10-25,12:15 (14:15),Fortuna Sittard,1–3,Groningen,,Fortuna Sittard Stadion,Pol van Boekel,Match Report,
Regular Season,6,Sun,2020-10-25,14:30 (16:30),Sparta R'dam,1–1,Heracles Almelo,,Sparta-Stadion Het Kasteel,Serdar Gözübüyük,Match Report,
Regular Season,6,Sun,2020-10-25,14:30 (16:30),Vitesse,2–1,PSV Eindhoven,,GelreDome,Bas Nijhuis,Match Report,
Regular Season,6,Sun,2020-10-25,16:45 (18:45),RKC Waalwijk,2–2,Feyenoord,,Mandemakers Stadion,Jochem Kamphuis,Match Report,
Regular Season,6,Sun,2020-10-25,20:00 (22:00),ADO Den Haag,2–2,AZ Alkmaar,,Cars Jeans Stadion,Allard Lindhout,Match Report,
Regular Season,7,Sat,2020-10-31,18:45 (20:45),Twente,5–1,Zwolle,,De Grolsch Veste,Serdar Gözübüyük,Match Report,
Regular Season,7,Sat,2020-10-31,20:00 (22:00),Groningen,2–1,VVV-Venlo,,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,
Regular Season,7,Sat,2020-10-31,20:00 (22:00),Ajax,5–2,Fortuna Sittard,,Johan Cruyff ArenA,Siemen Mulder,Match Report,
Regular Season,7,Sat,2020-10-31,21:00 (23:00),Willem II,1–3,Vitesse,,Koning Willem II Stadion,Marc Nagtegaal,Match Report,
Regular Season,7,Sun,2020-11-01,12:15 (14:15),Heracles Almelo,4–1,Utrecht,,Polman Stadion,Dennis Higler,Match Report,
Regular Season,7,Sun,2020-11-01,14:30 (16:30),Emmen,2–3,Feyenoord,,De Oude Meerdijk,Björn Kuipers,Match Report,
Regular Season,7,Sun,2020-11-01,14:30 (16:30),Sparta R'dam,1–4,Heerenveen,,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
Regular Season,7,Sun,2020-11-01,16:45 (18:45),PSV Eindhoven,4–0,ADO Den Haag,,Philips Stadion,Jochem Kamphuis,Match Report,
Regular Season,7,Sun,2020-11-01,20:00 (22:00),AZ Alkmaar,3–0,RKC Waalwijk,,AFAS Stadion,Martin van den Kerkhof,Match Report,
Regular Season,8,Fri,2020-11-06,20:00 (22:00),Fortuna Sittard,2–2,Zwolle,,Fortuna Sittard Stadion,Edwin van de Graaf,Match Report,
Regular Season,8,Sat,2020-11-07,16:30 (18:30),ADO Den Haag,2–4,Twente,,Cars Jeans Stadion,Rob Dieperink,Match Report,
Regular Season,8,Sat,2020-11-07,18:45 (20:45),VVV-Venlo,3–2,Heracles Almelo,,Seacon Stadion De Koel,Richard Martens,Match Report,
Regular Season,8,Sat,2020-11-07,21:00 (23:00),RKC Waalwijk,0–2,Sparta R'dam,,Mandemakers Stadion,Ingmar Oostrom,Match Report,
Regular Season,8,Sun,2020-11-08,12:15 (14:15),Utrecht,0–3,Ajax,,Stadion Galgenwaard,Björn Kuipers,Match Report,
Regular Season,8,Sun,2020-11-08,14:30 (16:30),Feyenoord,2–0,Groningen,,Stadion Feijenoord,Danny Makkelie,Match Report,
Regular Season,8,Sun,2020-11-08,14:30 (16:30),Vitesse,3–1,Emmen,,GelreDome,Jeroen Manschot,Match Report,
Regular Season,8,Sun,2020-11-08,16:45 (18:45),Heerenveen,0–3,AZ Alkmaar,,Abe Lenstra Stadion,Dennis Higler,Match Report,
Regular Season,8,Sun,2020-11-08,20:00 (22:00),PSV Eindhoven,3–0,Willem II,,Philips Stadion,Allard Lindhout,Match Report,
Regular Season,9,Sat,2020-11-21,18:45 (20:45),Willem II,2–1,VVV-Venlo,,Koning Willem II Stadion,Erwin Blank,Match Report,
Regular Season,9,Sat,2020-11-21,20:00 (22:00),Groningen,1–1,Vitesse,,Hitachi Capital Mobility Stadion,Björn Kuipers,Match Report,
Regular Season,9,Sat,2020-11-21,21:00 (23:00),Zwolle,1–1,Utrecht,,MAC³PARK Stadion,Danny Makkelie,Match Report,
Regular Season,9,Sun,2020-11-22,12:15 (14:15),Ajax,5–0,Heracles Almelo,,Johan Cruyff ArenA,Jeroen Manschot,Match Report,
Regular Season,9,Sun,2020-11-22,14:30 (16:30),Sparta R'dam,6–0,ADO Den Haag,,Sparta-Stadion Het Kasteel,Kevin Blom,Match Report,
Regular Season,9,Sun,2020-11-22,14:30 (16:30),Fortuna Sittard,1–3,Feyenoord,,Fortuna Sittard Stadion,Dennis Higler,Match Report,
Regular Season,9,Sun,2020-11-22,16:45 (18:45),RKC Waalwijk,1–1,Heerenveen,,Mandemakers Stadion,Christiaan Bax,Match Report,
Regular Season,9,Sun,2020-11-22,16:45 (18:45),Twente,1–1,PSV Eindhoven,,De Grolsch Veste,Pol van Boekel,Match Report,
Regular Season,9,Sun,2020-11-22,20:00 (22:00),AZ Alkmaar,1–0,Emmen,,AFAS Stadion,Marc Nagtegaal,Match Report,
Regular Season,10,Fri,2020-11-27,20:00 (22:00),Twente,0–2,RKC Waalwijk,,De Grolsch Veste,Richard Martens,Match Report,
Regular Season,10,Sat,2020-11-28,18:45 (20:45),Emmen,0–5,Ajax,,De Oude Meerdijk,Serdar Gözübüyük,Match Report,
Regular Season,10,Sat,2020-11-28,20:00 (22:00),ADO Den Haag,1–1,Heerenveen,,Cars Jeans Stadion,Danny Makkelie,Match Report,
Regular Season,10,Sat,2020-11-28,21:00 (23:00),VVV-Venlo,2–2,Zwolle,,Seacon Stadion De Koel,Rob Dieperink,Match Report,
Regular Season,10,Sun,2020-11-29,12:15 (14:15),Vitesse,2–0,Fortuna Sittard,,GelreDome,Jochem Kamphuis,Match Report,
Regular Season,10,Sun,2020-11-29,14:30 (16:30),Groningen,1–0,Willem II,,Hitachi Capital Mobility Stadion,Martin van den Kerkhof,Match Report,
Regular Season,10,Sun,2020-11-29,14:30 (16:30),Feyenoord,1–1,Utrecht,,Stadion Feijenoord,Bas Nijhuis,Match Report,
Regular Season,10,Sun,2020-11-29,16:45 (18:45),Heracles Almelo,1–2,AZ Alkmaar,,Polman Stadion,Pol van Boekel,Match Report,
Regular Season,10,Sun,2020-11-29,20:00 (22:00),PSV Eindhoven,1–0,Sparta R'dam,,Philips Stadion,Jeroen Manschot,Match Report,
Regular Season,11,Fri,2020-12-04,20:00 (22:00),Sparta R'dam,2–1,Emmen,,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,
Regular Season,11,Sat,2020-12-05,16:30 (18:30),RKC Waalwijk,3–2,VVV-Venlo,,Mandemakers Stadion,Edwin van de Graaf,Match Report,
Regular Season,11,Sat,2020-12-05,18:45 (20:45),Fortuna Sittard,3–2,Willem II,,Fortuna Sittard Stadion,Kevin Blom,Match Report,
Regular Season,11,Sat,2020-12-05,20:00 (22:00),Ajax,1–2,Twente,,Johan Cruyff ArenA,Allard Lindhout,Match Report,
Regular Season,11,Sat,2020-12-05,21:00 (23:00),Zwolle,2–1,Vitesse,,MAC³PARK Stadion,Dennis Higler,Match Report,
Regular Season,11,Sun,2020-12-06,12:15 (14:15),Feyenoord,0–0,Heracles Almelo,,Stadion Feijenoord,Martin van den Kerkhof,Match Report,
Regular Season,11,Sun,2020-12-06,14:30 (16:30),AZ Alkmaar,1–2,Groningen,,AFAS Stadion,Serdar Gözübüyük,Match Report,
Regular Season,11,Sun,2020-12-06,14:30 (16:30),Utrecht,1–1,ADO Den Haag,,Stadion Galgenwaard,Sander Van der Eijk,Match Report,
Regular Season,11,Sun,2020-12-06,16:45 (18:45),Heerenveen,2–2,PSV Eindhoven,,Abe Lenstra Stadion,Bas Nijhuis,Match Report,
Regular Season,12,Fri,2020-12-11,20:00 (22:00),Heracles Almelo,1–2,Fortuna Sittard,,Polman Stadion,Erwin Blank,Match Report,
Regular Season,12,Sat,2020-12-12,16:30 (18:30),Groningen,2–0,RKC Waalwijk,,Hitachi Capital Mobility Stadion,Jannick van der Laan,Match Report,
Regular Season,12,Sat,2020-12-12,18:45 (20:45),Emmen,1–1,ADO Den Haag,,De Oude Meerdijk,Jeroen Manschot,Match Report,
Regular Season,12,Sat,2020-12-12,20:00 (22:00),Ajax,4–0,Zwolle,,Johan Cruyff ArenA,Pol van Boekel,Match Report,
Regular Season,12,Sun,2020-12-13,12:15 (14:15),Vitesse,1–1,Heerenveen,,GelreDome,Allard Lindhout,Match Report,
Regular Season,12,Sun,2020-12-13,14:30 (16:30),Willem II,1–3,Sparta R'dam,,Koning Willem II Stadion,Christiaan Bax,Match Report,
Regular Season,12,Sun,2020-12-13,14:30 (16:30),VVV-Venlo,0–3,Feyenoord,,Seacon Stadion De Koel,Björn Kuipers,Match Report,
Regular Season,12,Sun,2020-12-13,16:45 (18:45),PSV Eindhoven,2–1,Utrecht,,Philips Stadion,Serdar Gözübüyük,Match Report,
Regular Season,12,Sun,2020-12-13,20:00 (22:00),Twente,1–3,AZ Alkmaar,,De Grolsch Veste,Danny Makkelie,Match Report,
Regular Season,13,Fri,2020-12-18,20:00 (22:00),Zwolle,0–0,Emmen,,MAC³PARK Stadion,Björn Kuipers,Match Report,
Regular Season,13,Sat,2020-12-19,16:30 (18:30),Sparta R'dam,2–3,Groningen,,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,
Regular Season,13,Sat,2020-12-19,18:45 (20:45),VVV-Venlo,1–2,Twente,,Seacon Stadion De Koel,Serdar Gözübüyük,Match Report,
Regular Season,13,Sat,2020-12-19,20:00 (22:00),RKC Waalwijk,1–4,PSV Eindhoven,,Mandemakers Stadion,Kevin Blom,Match Report,
Regular Season,13,Sat,2020-12-19,21:00 (23:00),Utrecht,1–1,Fortuna Sittard,,Stadion Galgenwaard,Rob Dieperink,Match Report,
Regular Season,13,Sun,2020-12-20,12:15 (14:15),Vitesse,1–0,Feyenoord,,GelreDome,Pol van Boekel,Match Report,
Regular Season,13,Sun,2020-12-20,14:30 (16:30),ADO Den Haag,2–4,Ajax,,Cars Jeans Stadion,Bas Nijhuis,Match Report,
Regular Season,13,Sun,2020-12-20,14:30 (16:30),Heerenveen,1–2,Heracles Almelo,,Abe Lenstra Stadion,Martin Perez,Match Report,
Regular Season,13,Sun,2020-12-20,16:45 (18:45),AZ Alkmaar,5–3,Willem II,,AFAS Stadion,Dennis Higler,Match Report,
Regular Season,14,Tue,2020-12-22,16:30 (18:30),Fortuna Sittard,2–1,RKC Waalwijk,,Fortuna Sittard Stadion,Marc Nagtegaal,Match Report,
Regular Season,14,Tue,2020-12-22,18:45 (20:45),Emmen,2–3,Utrecht,,De Oude Meerdijk,Christiaan Bax,Match Report,
Regular Season,14,Tue,2020-12-22,20:00 (22:00),PSV Eindhoven,4–1,VVV-Venlo,,Philips Stadion,Sander Van der Eijk,Match Report,
Regular Season,14,Tue,2020-12-22,21:00 (23:00),Twente,0–2,Sparta R'dam,,De Grolsch Veste,Martin van den Kerkhof,Match Report,
Regular Season,14,Wed,2020-12-23,16:30 (18:30),AZ Alkmaar,3–1,Vitesse,,AFAS Stadion,Bas Nijhuis,Match Report,
Regular Season,14,Wed,2020-12-23,18:45 (20:45),Willem II,1–1,Ajax,,Koning Willem II Stadion,Jeroen Manschot,Match Report,
Regular Season,14,Wed,2020-12-23,20:00 (22:00),ADO Den Haag,0–2,Zwolle,,Cars Jeans Stadion,Ingmar Oostrom,Match Report,
Regular Season,14,Wed,2020-12-23,20:00 (22:00),Groningen,0–1,Heracles Almelo,,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,
Regular Season,14,Wed,2020-12-23,21:00 (23:00),Feyenoord,3–0,Heerenveen,,Stadion Feijenoord,Jochem Kamphuis,Match Report,
Regular Season,1,Sun,2020-12-27,14:30 (16:30),Utrecht,2–2,AZ Alkmaar,,Stadion Galgenwaard,Pol van Boekel,Match Report,
Regular Season,15,Sat,2021-01-09,16:30 (18:30),RKC Waalwijk,0–1,ADO Den Haag,,Mandemakers Stadion,Serdar Gözübüyük,Match Report,
Regular Season,15,Sat,2021-01-09,18:45 (20:45),Emmen,1–4,Twente,,De Oude Meerdijk,Allard Lindhout,Match Report,
Regular Season,15,Sat,2021-01-09,20:00 (22:00),Zwolle,1–1,AZ Alkmaar,,MAC³PARK Stadion,Kevin Blom,Match Report,
Regular Season,15,Sat,2021-01-09,20:00 (22:00),Heracles Almelo,0–2,Vitesse,,Polman Stadion,Danny Makkelie,Match Report,
Regular Season,15,Sat,2021-01-09,21:00 (23:00),Utrecht,2–2,Groningen,,Stadion Galgenwaard,Jeroen Manschot,Match Report,
Regular Season,15,Sun,2021-01-10,12:15 (14:15),Sparta R'dam,0–2,Feyenoord,,Sparta-Stadion Het Kasteel,Dennis Higler,Match Report,
Regular Season,15,Sun,2021-01-10,14:30 (16:30),VVV-Venlo,2–1,Willem II,,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,
Regular Season,15,Sun,2021-01-10,14:30 (16:30),Heerenveen,1–3,Fortuna Sittard,,Abe Lenstra Stadion,Richard Martens,Match Report,
Regular Season,15,Sun,2021-01-10,16:45 (18:45),Ajax,2–2,PSV Eindhoven,,Johan Cruyff ArenA,Björn Kuipers,Match Report,
Regular Season,16,Tue,2021-01-12,18:45 (20:45),Vitesse,1–0,Utrecht,,GelreDome,Edwin van de Graaf,Match Report,
Regular Season,16,Tue,2021-01-12,21:00 (23:00),Heracles Almelo,4–0,Emmen,,Polman Stadion,Rob Dieperink,Match Report,
Regular Season,16,Wed,2021-01-13,18:45 (20:45),PSV Eindhoven,1–3,AZ Alkmaar,,Philips Stadion,Serdar Gözübüyük,Match Report,
Regular Season,16,Wed,2021-01-13,20:00 (22:00),ADO Den Haag,1–4,VVV-Venlo,,Cars Jeans Stadion,Jannick van der Laan,Match Report,
Regular Season,16,Wed,2021-01-13,20:00 (22:00),Fortuna Sittard,0–1,Sparta R'dam,,Fortuna Sittard Stadion,Allard Lindhout,Match Report,
Regular Season,16,Wed,2021-01-13,21:00 (23:00),Feyenoord,1–0,Zwolle,,Stadion Feijenoord,Bas Nijhuis,Match Report,
Regular Season,16,Thu,2021-01-14,18:45 (20:45),Heerenveen,1–1,RKC Waalwijk,,Abe Lenstra Stadion,Martin van den Kerkhof,Match Report,
Regular Season,16,Thu,2021-01-14,20:00 (22:00),Twente,1–3,Ajax,,De Grolsch Veste,Pol van Boekel,Match Report,
Regular Season,16,Thu,2021-01-14,21:00 (23:00),Willem II,2–3,Groningen,,Koning Willem II Stadion,Marc Nagtegaal,Match Report,
Regular Season,17,Sat,2021-01-16,16:30 (18:30),Emmen,1–4,Vitesse,,De Oude Meerdijk,Jochem Kamphuis,Match Report,
Regular Season,17,Sat,2021-01-16,18:45 (20:45),Sparta R'dam,3–5,PSV Eindhoven,,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
Regular Season,17,Sat,2021-01-16,20:00 (22:00),Zwolle,0–2,Fortuna Sittard,,MAC³PARK Stadion,Christiaan Bax,Match Report,
Regular Season,17,Sat,2021-01-16,20:00 (22:00),Utrecht,2–0,Heracles Almelo,,Stadion Galgenwaard,Ingmar Oostrom,Match Report,
Regular Season,17,Sat,2021-01-16,21:00 (23:00),AZ Alkmaar,2–1,ADO Den Haag,,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,17,Sun,2021-01-17,12:15 (14:15),RKC Waalwijk,1–1,Willem II,,Mandemakers Stadion,Allard Lindhout,Match Report,
Regular Season,17,Sun,2021-01-17,14:30 (16:30),VVV-Venlo,1–1,Heerenveen,,Seacon Stadion De Koel,Erwin Blank,Match Report,
Regular Season,17,Sun,2021-01-17,14:30 (16:30),Groningen,2–2,Twente,,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,
Regular Season,17,Sun,2021-01-17,16:45 (18:45),Ajax,1–0,Feyenoord,,Johan Cruyff ArenA,Danny Makkelie,Match Report,
Regular Season,18,Fri,2021-01-22,20:00 (22:00),Willem II,1–3,Zwolle,,Koning Willem II Stadion,Sander Van der Eijk,Match Report,
Regular Season,18,Sat,2021-01-23,16:30 (18:30),ADO Den Haag,0–0,Emmen,,Cars Jeans Stadion,Bas Nijhuis,Match Report,
Regular Season,18,Sat,2021-01-23,18:45 (20:45),Vitesse,1–0,Groningen,,GelreDome,Björn Kuipers,Match Report,
Regular Season,18,Sat,2021-01-23,20:00 (22:00),PSV Eindhoven,2–0,RKC Waalwijk,,Philips Stadion,Danny Makkelie,Match Report,
Regular Season,18,Sat,2021-01-23,21:00 (23:00),Heracles Almelo,1–0,Heerenveen,,Polman Stadion,Jochem Kamphuis,Match Report,
Regular Season,18,Sun,2021-01-24,12:15 (14:15),Fortuna Sittard,1–2,Ajax,,Fortuna Sittard Stadion,Dennis Higler,Match Report,
Regular Season,18,Sun,2021-01-24,14:30 (16:30),Utrecht,1–0,Sparta R'dam,,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
Regular Season,18,Sun,2021-01-24,14:30 (16:30),Twente,0–1,VVV-Venlo,,De Grolsch Veste,Martin van den Kerkhof,Match Report,
Regular Season,18,Sun,2021-01-24,16:45 (18:45),Feyenoord,2–3,AZ Alkmaar,,Stadion Feijenoord,Allard Lindhout,Match Report,
Regular Season,19,Tue,2021-01-26,18:45 (20:45),Zwolle,2–2,Heracles Almelo,,MAC³PARK Stadion,Marc Nagtegaal,Match Report,
