Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2013-08-24,,Sampdoria,0–1,Juventus,,,Luca Banti,Match Report,
1,Sat,2013-08-24,,Hellas Verona,2–1,Milan,,,Gianpaolo Calvarese,Match Report,
1,Sun,2013-08-25,,Torino,2–0,Sassuolo,,,Daniele Orsato,Match Report,
1,Sun,2013-08-25,,Cagliari,2–1,Atalanta,,,Massimiliano Irrati,Match Report,
1,Sun,2013-08-25,,Parma,0–0,Chievo,,,Nicola Rizzoli,Match Report,
1,Sun,2013-08-25,,Lazio,2–1,Udinese,,,Andrea Gervasoni,Match Report,
1,Sun,2013-08-25,,Napoli,3–0,Bologna,,,Andrea De Marco,Match Report,
1,Sun,2013-08-25,,Livorno,0–2,Roma,,,Davide Massa,Match Report,
1,Sun,2013-08-25,,Inter,2–0,Genoa,,,Marco Guida,Match Report,
1,Mon,2013-08-26,,Fiorentina,2–1,Catania,,,Daniele Doveri,Match Report,
2,Sat,2013-08-31,,Juventus,4–1,Lazio,,,Paolo Tagliavento,Match Report,
2,Sat,2013-08-31,,Chievo,2–4,Napoli,,,Paolo Valeri,Match Report,
2,Sun,2013-09-01,,Roma,3–0,Hellas Verona,,,Piero Giacomelli,Match Report,
2,Sun,2013-09-01,,Sassuolo,1–4,Livorno,,,Paolo Mazzoleni,Match Report,
2,Sun,2013-09-01,,Catania,0–3,Inter,,,Antonio Damato,Match Report,
2,Sun,2013-09-01,,Bologna,2–2,Sampdoria,,,Dino Tommasi,Match Report,
2,Sun,2013-09-01,,Milan,3–1,Cagliari,,,Carmine Russo,Match Report,
2,Sun,2013-09-01,,Atalanta,2–0,Torino,,,Mauro Bergonzi,Match Report,
2,Sun,2013-09-01,,Udinese,3–1,Parma,,,Emilio Ostinelli,Match Report,
2,Sun,2013-09-01,,Genoa,2–5,Fiorentina,,,Domenico Celi,Match Report,
3,Sat,2013-09-14,,Torino,2–2,Milan,,,Davide Massa,Match Report,
3,Sat,2013-09-14,,Inter,1–1,Juventus,,,Daniele Orsato,Match Report,
3,Sat,2013-09-14,,Napoli,2–0,Atalanta,,,Gianluca Rocchi,Match Report,
3,Sun,2013-09-15,,Udinese,1–1,Bologna,,,Daniele Doveri,Match Report,
3,Sun,2013-09-15,,Lazio,3–0,Chievo,,,Gianpaolo Calvarese,Match Report,
3,Sun,2013-09-15,,Livorno,2–0,Catania,,,Andrea Gervasoni,Match Report,
3,Sun,2013-09-15,,Sampdoria,0–3,Genoa,,,Nicola Rizzoli,Match Report,
3,Sun,2013-09-15,,Hellas Verona,2–0,Sassuolo,,,Massimiliano Irrati,Match Report,
3,Sun,2013-09-15,,Fiorentina,1–1,Cagliari,,,Andrea De Marco,Match Report,
3,Mon,2013-09-16,,Parma,1–3,Roma,,,Marco Guida,Match Report,
4,Sat,2013-09-21,,Genoa,0–0,Livorno,,,Piero Giacomelli,Match Report,
4,Sat,2013-09-21,,Cagliari,2–2,Sampdoria,,,Marco Di Bello,Match Report,
4,Sat,2013-09-21,,Chievo,2–1,Udinese,,,Dino Tommasi,Match Report,
4,Sun,2013-09-22,,Bologna,1–2,Torino,,,Sebastiano Peruzzo,Match Report,
4,Sun,2013-09-22,,Catania,0–0,Parma,,,Paolo Mazzoleni,Match Report,
4,Sun,2013-09-22,,Sassuolo,0–7,Inter,,,Carmine Russo,Match Report,
4,Sun,2013-09-22,,Atalanta,0–2,Fiorentina,,,Antonio Damato,Match Report,
4,Sun,2013-09-22,,Juventus,2–1,Hellas Verona,,,Mauro Bergonzi,Match Report,
