Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2012-08-10,,Montpellier,1–1,Toulouse,,Stade de la Mosson et du Mondial 98,Antony Gautier,Match Report,
1,Sat,2012-08-11,,Sochaux,2–3,Bastia,,Stade Bonal,Jean-Charles Cailleux,Match Report,
1,Sat,2012-08-11,,Troyes,0–1,Valenciennes,,Stade de l'Aube,Mikael Lesage,Match Report,
1,Sat,2012-08-11,,Saint-Étienne,1–2,Lille,,Stade Geoffroy,Lionel Jaffredo,Match Report,
1,Sat,2012-08-11,,Rennes,0–1,Lyon,,ROAZHON PARK,Nicolas Rainville,Match Report,
1,Sat,2012-08-11,,Nice,0–1,Ajaccio,,Allianz Riviera,Ruddy Buquet,Match Report,
1,Sat,2012-08-11,,Nancy,1–0,Brest,,Stade Marcel Picot,Sébastien Moreira,Match Report,
1,Sat,2012-08-11,,Paris S-G,2–2,Lorient,,Parc des Princes,Tony Chapron,Match Report,
1,Sat,2012-08-11,,Evian,2–3,Bordeaux,,Parc des Sports d’Annecy,Benoît Bastien,Match Report,
1,Sun,2012-08-12,,Reims,0–1,Marseille,,Stade Auguste Delaune,Saïd Ennjimi,Match Report,
2,Fri,2012-08-17,,Lille,1–1,Nancy,,Stade Pierre Mauroy,Wilfried Bien,Match Report,
2,Sat,2012-08-18,,Lyon,4–1,Troyes,,Stade Municipal de Gerland,Benoît Millot,Match Report,
2,Sat,2012-08-18,,Lorient,2–1,Montpellier,,Stade Yves Allainmat,Olivier Thual,Match Report,
2,Sat,2012-08-18,,Valenciennes,0–0,Nice,,Stade du Hainaut,Amaury Delerue,Match Report,
2,Sat,2012-08-18,,Bastia,2–1,Reims,,Stade Armand Cesari,Nicolas Rainville,Match Report,
2,Sat,2012-08-18,,Toulouse,2–1,Saint-Étienne,,Stadium,Fredy Fautrel,Match Report,
2,Sat,2012-08-18,,Brest,1–0,Evian,,Stade Francis,Philippe Kalt,Match Report,
2,Sun,2012-08-19,,Ajaccio,0–0,Paris S-G,,Stade François Coty,Clément Turpin,Match Report,
2,Sun,2012-08-19,,Marseille,2–0,Sochaux,,Stade Vélodrome,Bartolomeu Varela,Match Report,
2,Sun,2012-08-19,,Bordeaux,1–0,Rennes,,Stade Chaban,Tony Chapron,Match Report,
3,Fri,2012-08-24,,Evian,1–1,Lyon,,Parc des Sports d’Annecy,Lionel Jaffredo,Match Report,
3,Sat,2012-08-25,,Reims,1–0,Sochaux,,Stade Auguste Delaune,Olivier Thual,Match Report,
3,Sat,2012-08-25,,Valenciennes,3–0,Ajaccio,,Stade du Hainaut,Nicolas Rainville,Match Report,
3,Sat,2012-08-25,,Nancy,0–1,Toulouse,,Stade Marcel Picot,Mikael Lesage,Match Report,
3,Sat,2012-08-25,,Nice,2–2,Lille,,Allianz Riviera,Sébastien Moreira,Match Report,
3,Sat,2012-08-25,,Troyes,2–2,Lorient,,Stade de l'Aube,Saïd Ennjimi,Match Report,
3,Sat,2012-08-25,,Rennes,3–2,Bastia,,ROAZHON PARK,Benoît Bastien,Match Report,
3,Sun,2012-08-26,,Saint-Étienne,4–0,Brest,,Stade Geoffroy,Clément Turpin,Match Report,
3,Sun,2012-08-26,,Montpellier,0–1,Marseille,,Stade de la Mosson et du Mondial 98,Ruddy Buquet,Match Report,
3,Sun,2012-08-26,,Paris S-G,0–0,Bordeaux,,Parc des Princes,Antony Gautier,Match Report,
4,Sat,2012-09-01,,Ajaccio,2–0,Evian,,Stade François Coty,Sébastien Moreira,Match Report,
4,Sat,2012-09-01,,Bastia,0–3,Saint-Étienne,,Stade Armand Cesari,Bartolomeu Varela,Match Report,
4,Sat,2012-09-01,,Lorient,3–0,Nancy,,Stade Yves Allainmat,Antony Gautier,Match Report,
4,Sat,2012-09-01,,Sochaux,1–3,Montpellier,,Stade Bonal,Benoît Bastien,Match Report,
4,Sat,2012-09-01,,Toulouse,1–1,Reims,,Stadium,Benoît Millot,Match Report,
4,Sat,2012-09-01,,Lyon,3–2,Valenciennes,,Stade Municipal de Gerland,Fredy Fautrel,Match Report,
4,Sat,2012-09-01,,Brest,2–1,Troyes,,Stade Francis,Amaury Delerue,Match Report,
4,Sun,2012-09-02,,Bordeaux,1–1,Nice,,Stade Chaban,Philippe Kalt,Match Report,
4,Sun,2012-09-02,,Lille,1–2,Paris S-G,,Stade Pierre Mauroy,Ruddy Buquet,Match Report,
4,Sun,2012-09-02,,Marseille,3–1,Rennes,,Stade Vélodrome,Olivier Thual,Match Report,
5,Fri,2012-09-14,,Reims,3–1,Montpellier,,Stade Auguste Delaune,Tony Chapron,Match Report,
5,Fri,2012-09-14,,Paris S-G,2–0,Toulouse,,Parc des Princes,Alexandre Castro,Match Report,
5,Sat,2012-09-15,,Evian,3–0,Bastia,,Parc des Sports d’Annecy,Clément Turpin,Match Report,
5,Sat,2012-09-15,,Saint-Étienne,0–1,Sochaux,,Stade Geoffroy,Saïd Ennjimi,Match Report,
5,Sat,2012-09-15,,Nice,4–2,Brest,,Allianz Riviera,Wilfried Bien,Match Report,
5,Sat,2012-09-15,,Troyes,1–1,Lille,,Stade de l'Aube,Jean-Charles Cailleux,Match Report,
5,Sat,2012-09-15,,Valenciennes,0–0,Bordeaux,,Stade du Hainaut,Lionel Jaffredo,Match Report,
5,Sun,2012-09-16,,Nancy,0–1,Marseille,,Stade Marcel Picot,Philippe Kalt,Match Report,
5,Sun,2012-09-16,,Rennes,1–2,Lorient,,ROAZHON PARK,Mikael Lesage,Match Report,
5,Sun,2012-09-16,,Lyon,2–0,Ajaccio,,Stade Municipal de Gerland,Bartolomeu Varela,Match Report,
6,Fri,2012-09-21,,Montpellier,1–1,Saint-Étienne,,Stade de la Mosson et du Mondial 98,Lionel Jaffredo,Match Report,
6,Sat,2012-09-22,,Sochaux,3–1,Troyes,,Stade Bonal,Philippe Kalt,Match Report,
6,Sat,2012-09-22,,Toulouse,2–2,Rennes,,Stadium,Wilfried Bien,Match Report,
6,Sat,2012-09-22,,Lorient,1–1,Nice,,Stade Yves Allainmat,Amaury Delerue,Match Report,
6,Sat,2012-09-22,,Brest,2–1,Valenciennes,,Stade Francis,Sébastien Moreira,Match Report,
6,Sat,2012-09-22,,Reims,2–0,Nancy,,Stade Auguste Delaune,Jean-Charles Cailleux,Match Report,
6,Sat,2012-09-22,,Bastia,0–4,Paris S-G,,Stade Armand Cesari,Saïd Ennjimi,Match Report,
6,Sun,2012-09-23,,Bordeaux,2–2,Ajaccio,,Stade Chaban,Antony Gautier,Match Report,
6,Sun,2012-09-23,,Lille,1–1,Lyon,,Stade Pierre Mauroy,Clément Turpin,Match Report,
6,Sun,2012-09-23,,Marseille,1–0,Evian,,Stade Vélodrome,Nicolas Rainville,Match Report,
7,Fri,2012-09-28,,Rennes,2–0,Lille,,ROAZHON PARK,Nicolas Rainville,Match Report,
7,Sat,2012-09-29,,Paris S-G,2–0,Sochaux,,Parc des Princes,Wilfried Bien,Match Report,
7,Sat,2012-09-29,,Troyes,0–2,Toulouse,,Stade de l'Aube,Ruddy Buquet,Match Report,
7,Sat,2012-09-29,,Nice,2–2,Bastia,,Allianz Riviera,Alexandre Castro,Match Report,
7,Sat,2012-09-29,,Nancy,0–2,Montpellier,,Stade Marcel Picot,Benoît Millot,Match Report,
7,Sat,2012-09-29,,Ajaccio,1–0,Brest,,Stade François Coty,Olivier Thual,Match Report,
7,Sat,2012-09-29,,Evian,1–1,Lorient,,Parc des Sports d’Annecy,Benoît Bastien,Match Report,
7,Sun,2012-09-30,,Valenciennes,4–1,Marseille,,Stade du Hainaut,Bartolomeu Varela,Match Report,
7,Sun,2012-09-30,,Saint-Étienne,0–0,Reims,,Stade Geoffroy,Amaury Delerue,Match Report,
7,Sun,2012-09-30,,Lyon,0–2,Bordeaux,,Stade Municipal de Gerland,Laurent Duhamel,Match Report,
8,Fri,2012-10-05,,Saint-Étienne,4–0,Nancy,,Stade Geoffroy,Sébastien Moreira,Match Report,
8,Sat,2012-10-06,,Montpellier,2–3,Evian,,Stade de la Mosson et du Mondial 98,Philippe Kalt,Match Report,
8,Sat,2012-10-06,,Toulouse,2–2,Valenciennes,,Stadium,Jean-Charles Cailleux,Match Report,
8,Sat,2012-10-06,,Sochaux,0–1,Rennes,,Stade Bonal,Benoît Millot,Match Report,
8,Sat,2012-10-06,,Lille,2–0,Ajaccio,,Stade Pierre Mauroy,Lionel Jaffredo,Match Report,
8,Sat,2012-10-06,,Reims,3–1,Nice,,Stade Auguste Delaune,Fredy Fautrel,Match Report,
8,Sat,2012-10-06,,Bastia,3–2,Troyes,,Stade Armand Cesari,Mikael Lesage,Match Report,
8,Sun,2012-10-07,,Lorient,1–1,Lyon,,Stade Yves Allainmat,Saïd Ennjimi,Match Report,
8,Sun,2012-10-07,,Brest,1–1,Bordeaux,,Stade Francis,Clément Turpin,Match Report,
8,Sun,2012-10-07,,Marseille,2–2,Paris S-G,,Stade Vélodrome,Tony Chapron,Match Report,
9,Fri,2012-10-19,,Bordeaux,1–1,Lille,,Stade Chaban,Ruddy Buquet,Match Report,
9,Sat,2012-10-20,,Rennes,2–1,Montpellier,,ROAZHON PARK,Antony Gautier,Match Report,
9,Sat,2012-10-20,,Evian,0–4,Toulouse,,Parc des Sports d’Annecy,Saïd Ennjimi,Match Report,
9,Sat,2012-10-20,,Paris S-G,1–0,Reims,,Parc des Princes,Benoît Bastien,Match Report,
9,Sat,2012-10-20,,Valenciennes,6–1,Lorient,,Stade du Hainaut,Alexandre Castro,Match Report,
9,Sat,2012-10-20,,Nice,1–1,Saint-Étienne,,Allianz Riviera,Bartolomeu Varela,Match Report,
9,Sat,2012-10-20,,Nancy,1–1,Sochaux,,Stade Marcel Picot,Fredy Fautrel,Match Report,
9,Sun,2012-10-21,,Lyon,1–0,Brest,,Stade Municipal de Gerland,Amaury Delerue,Match Report,
9,Sun,2012-10-21,,Troyes,1–0,Marseille,,Stade de l'Aube,Wilfried Bien,Match Report,
9,Sun,2012-10-21,,Ajaccio,0–0,Bastia,,Stade François Coty,Laurent Duhamel,Match Report,
10,Fri,2012-10-26,,Saint-Étienne,2–0,Rennes,,Stade Geoffroy,Philippe Kalt,Match Report,
10,Sat,2012-10-27,,Montpellier,3–1,Nice,,Stade de la Mosson et du Mondial 98,Benoît Bastien,Match Report,
10,Sat,2012-10-27,,Toulouse,3–1,Brest,,Stadium,Benoît Millot,Match Report,
10,Sat,2012-10-27,,Reims,1–1,Troyes,,Stade Auguste Delaune,Tony Chapron,Match Report,
10,Sat,2012-10-27,,Lille,2–1,Valenciennes,,Stade Pierre Mauroy,Fredy Fautrel,Match Report,
10,Sat,2012-10-27,,Nancy,0–1,Paris S-G,,Stade Marcel Picot,Alexandre Castro,Match Report,
10,Sun,2012-10-28,,Bastia,3–1,Bordeaux,,Stade Armand Cesari,Sébastien Moreira,Match Report,
10,Sun,2012-10-28,,Lorient,4–4,Ajaccio,,Stade Yves Allainmat,Jean-Charles Cailleux,Match Report,
11,Fri,2012-11-02,,Brest,2–0,Lorient,,Stade Francis,Tony Chapron,Match Report,
11,Sat,2012-11-03,,Paris S-G,1–2,Saint-Étienne,,Parc des Princes,Laurent Duhamel,Match Report,
11,Sat,2012-11-03,,Evian,0–2,Lille,,Parc des Sports d’Annecy,Amaury Delerue,Match Report,
11,Sat,2012-11-03,,Troyes,1–1,Montpellier,,Stade de l'Aube,Benoît Millot,Match Report,
11,Sat,2012-11-03,,Nice,2–1,Nancy,,Allianz Riviera,Wilfried Bien,Match Report,
11,Sat,2012-11-03,,Valenciennes,3–1,Sochaux,,Stade du Hainaut,Ruddy Buquet,Match Report,
11,Sat,2012-11-03,,Rennes,1–0,Reims,,ROAZHON PARK,Clément Turpin,Match Report,
11,Sun,2012-11-04,,Bordeaux,1–0,Toulouse,,Stade Chaban,Nicolas Rainville,Match Report,
11,Sun,2012-11-04,,Lyon,5–2,Bastia,,Stade Municipal de Gerland,Fredy Fautrel,Match Report,
11,Sun,2012-11-04,,Ajaccio,0–2,Marseille,,Stade François Coty,Alexandre Castro,Match Report,
10,Wed,2012-11-07,,Sochaux,2–1,Evian,,Stade Bonal,Laurent Duhamel,Match Report,
12,Fri,2012-11-09,,Nancy,1–3,Rennes,,Stade Marcel Picot,Mikael Lesage,Match Report,
12,Sat,2012-11-10,,Lille,1–0,Brest,,Stade Pierre Mauroy,Jean-Charles Cailleux,Match Report,
12,Sat,2012-11-10,,Toulouse,2–4,Ajaccio,,Stadium,Bartolomeu Varela,Match Report,
12,Sat,2012-11-10,,Reims,1–2,Evian,,Stade Auguste Delaune,Sébastien Moreira,Match Report,
12,Sat,2012-11-10,,Bastia,2–3,Valenciennes,,Stade Armand Cesari,Lionel Jaffredo,Match Report,
12,Sat,2012-11-10,,Saint-Étienne,2–0,Troyes,,Stade Geoffroy,Ruddy Buquet,Match Report,
12,Sun,2012-11-11,,Marseille,2–2,Nice,,Stade Vélodrome,Saïd Ennjimi,Match Report,
12,Sun,2012-11-11,,Sochaux,1–1,Lyon,,Stade Bonal,Antony Gautier,Match Report,
12,Sun,2012-11-11,,Montpellier,1–1,Paris S-G,,Stade de la Mosson et du Mondial 98,Clément Turpin,Match Report,
12,Sun,2012-11-11,,Lorient,0–4,Bordeaux,,Stade Yves Allainmat,Philippe Kalt,Match Report,
13,Fri,2012-11-16,,Lorient,2–0,Lille,,Stade Yves Allainmat,Olivier Thual,Match Report,
13,Sat,2012-11-17,,Ajaccio,0–1,Sochaux,,Stade François Coty,Amaury Delerue,Match Report,
13,Sat,2012-11-17,,Evian,2–2,Saint-Étienne,,Parc des Sports d’Annecy,Wilfried Bien,Match Report,
13,Sat,2012-11-17,,Valenciennes,1–1,Montpellier,,Stade du Hainaut,Laurent Duhamel,Match Report,
